report_month,fyear,month_name,paimana_id,part,filename,archive_path
2024-01,2023-24,January,58,,FR_jan_2024.pdf,Content\ArchiveReport\flash\2023-24\FR_jan_2024.pdf
2024-02,2023-24,February,59,,FR_feb_2024.pdf,Content\ArchiveReport\flash\2023-24\FR_feb_2024.pdf
2024-03,2023-24,March,60,,FR_mar_2024.pdf,Content\ArchiveReport\flash\2023-24\FR_mar_2024.pdf
2024-04,2024-25,,61,I,April_Part-I_Synopsis.pdf,Content\ArchiveReport\flash\2024-25\April_Part-I_Synopsis.pdf
2024-04,2024-25,,62,II,April_Part-II_List_of_tables.pdf,Content\ArchiveReport\flash\2024-25\April_Part-II_List_of_tables.pdf
2024-05,2024-25,,63,I,May_Part-1.pdf,Content\ArchiveReport\flash\2024-25\May_Part-1.pdf
2024-05,2024-25,,64,II,May_Part-2.pdf,Content\ArchiveReport\flash\2024-25\May_Part-2.pdf
2024-06,2024-25,June,65,,June.pdf,Content\ArchiveReport\flash\2024-25\June.pdf
2024-07,2024-25,,66,I,July_Part-I.pdf,Content\ArchiveReport\flash\2024-25\July_Part-I.pdf
2024-07,2024-25,,67,II,July_Part-II.pdf,Content\ArchiveReport\flash\2024-25\July_Part-II.pdf
2024-08,2024-25,,68,I,August_Part-1(synopsis).pdf,Content\ArchiveReport\flash\2024-25\August_Part-1(synopsis).pdf
2024-08,2024-25,,69,II,August_Part-2(List_of_tables).pdf,Content\ArchiveReport\flash\2024-25\August_Part-2(List_of_tables).pdf
2024-09,2024-25,,70,I,September_Part-1(synopsis).pdf,Content\ArchiveReport\flash\2024-25\September_Part-1(synopsis).pdf
2024-09,2024-25,,71,II,September_Part-2(List_of_tables).pdf,Content\ArchiveReport\flash\2024-25\September_Part-2(List_of_tables).pdf
2024-10,2024-25,October,72,,October.pdf,Content\ArchiveReport\flash\2024-25\October.pdf
2024-11,2024-25,November,73,,November.pdf,Content\ArchiveReport\flash\2024-25\November.pdf
2024-12,2024-25,December,74,,December.pdf,Content\ArchiveReport\flash\2024-25\December.pdf
2025-01,2024-25,January,75,,January.pdf,Content\ArchiveReport\flash\2024-25\January.pdf
2025-02,2024-25,February,1154,,FRFebruary2025.pdf,Content\ArchiveReport\flash\2024-25\FRFebruary2025.pdf
2025-03,2024-25,March,1150,,FRMarch2025.pdf,Content\ArchiveReport\flash\2024-25\FRMarch2025.pdf
