legacy_ocms_code,synthetic_project_code,surviving_project_code,reviewed_by,rationale
N24001962,ocms:N24001962,618045,,ocms:N24001962 was minted by the truncated-read run of load-mospi-historical; 618045 is the MoSPI project_code that already carried legacy_ocms_code N24001962
N24001902,ocms:N24001902,618046,,ocms:N24001902 was minted by the truncated-read run of load-mospi-historical; 618046 is the MoSPI project_code that already carried legacy_ocms_code N24001902
N24001422,ocms:N24001422,618050,,ocms:N24001422 was minted by the truncated-read run of load-mospi-historical; 618050 is the MoSPI project_code that already carried legacy_ocms_code N24001422
N24002150,ocms:N24002150,618054,,ocms:N24002150 was minted by the truncated-read run of load-mospi-historical; 618054 is the MoSPI project_code that already carried legacy_ocms_code N24002150
N24002016,ocms:N24002016,618055,,ocms:N24002016 was minted by the truncated-read run of load-mospi-historical; 618055 is the MoSPI project_code that already carried legacy_ocms_code N24002016
N24002121,ocms:N24002121,618056,,ocms:N24002121 was minted by the truncated-read run of load-mospi-historical; 618056 is the MoSPI project_code that already carried legacy_ocms_code N24002121
N24001997,ocms:N24001997,618057,,ocms:N24001997 was minted by the truncated-read run of load-mospi-historical; 618057 is the MoSPI project_code that already carried legacy_ocms_code N24001997
N24002175,ocms:N24002175,618059,,ocms:N24002175 was minted by the truncated-read run of load-mospi-historical; 618059 is the MoSPI project_code that already carried legacy_ocms_code N24002175
N24001923,ocms:N24001923,618060,,ocms:N24001923 was minted by the truncated-read run of load-mospi-historical; 618060 is the MoSPI project_code that already carried legacy_ocms_code N24001923
N24001587,ocms:N24001587,618063,,ocms:N24001587 was minted by the truncated-read run of load-mospi-historical; 618063 is the MoSPI project_code that already carried legacy_ocms_code N24001587
N24001917,ocms:N24001917,618064,,ocms:N24001917 was minted by the truncated-read run of load-mospi-historical; 618064 is the MoSPI project_code that already carried legacy_ocms_code N24001917
N24002169,ocms:N24002169,618065,,ocms:N24002169 was minted by the truncated-read run of load-mospi-historical; 618065 is the MoSPI project_code that already carried legacy_ocms_code N24002169
N24002020,ocms:N24002020,618068,,ocms:N24002020 was minted by the truncated-read run of load-mospi-historical; 618068 is the MoSPI project_code that already carried legacy_ocms_code N24002020
N24002167,ocms:N24002167,618069,,ocms:N24002167 was minted by the truncated-read run of load-mospi-historical; 618069 is the MoSPI project_code that already carried legacy_ocms_code N24002167
N24001369,ocms:N24001369,618070,,ocms:N24001369 was minted by the truncated-read run of load-mospi-historical; 618070 is the MoSPI project_code that already carried legacy_ocms_code N24001369
N24001442,ocms:N24001442,618071,,ocms:N24001442 was minted by the truncated-read run of load-mospi-historical; 618071 is the MoSPI project_code that already carried legacy_ocms_code N24001442
N24001466,ocms:N24001466,618072,,ocms:N24001466 was minted by the truncated-read run of load-mospi-historical; 618072 is the MoSPI project_code that already carried legacy_ocms_code N24001466
N24002031,ocms:N24002031,618075,,ocms:N24002031 was minted by the truncated-read run of load-mospi-historical; 618075 is the MoSPI project_code that already carried legacy_ocms_code N24002031
N24001919,ocms:N24001919,618078,,ocms:N24001919 was minted by the truncated-read run of load-mospi-historical; 618078 is the MoSPI project_code that already carried legacy_ocms_code N24001919
N24002115,ocms:N24002115,618081,,ocms:N24002115 was minted by the truncated-read run of load-mospi-historical; 618081 is the MoSPI project_code that already carried legacy_ocms_code N24002115
N24001479,ocms:N24001479,618082,,ocms:N24001479 was minted by the truncated-read run of load-mospi-historical; 618082 is the MoSPI project_code that already carried legacy_ocms_code N24001479
N24001922,ocms:N24001922,618084,,ocms:N24001922 was minted by the truncated-read run of load-mospi-historical; 618084 is the MoSPI project_code that already carried legacy_ocms_code N24001922
N24001963,ocms:N24001963,618085,,ocms:N24001963 was minted by the truncated-read run of load-mospi-historical; 618085 is the MoSPI project_code that already carried legacy_ocms_code N24001963
N24001944,ocms:N24001944,618087,,ocms:N24001944 was minted by the truncated-read run of load-mospi-historical; 618087 is the MoSPI project_code that already carried legacy_ocms_code N24001944
N24001903,ocms:N24001903,618089,,ocms:N24001903 was minted by the truncated-read run of load-mospi-historical; 618089 is the MoSPI project_code that already carried legacy_ocms_code N24001903
N24001002,ocms:N24001002,618090,,ocms:N24001002 was minted by the truncated-read run of load-mospi-historical; 618090 is the MoSPI project_code that already carried legacy_ocms_code N24001002
N24002168,ocms:N24002168,618092,,ocms:N24002168 was minted by the truncated-read run of load-mospi-historical; 618092 is the MoSPI project_code that already carried legacy_ocms_code N24002168
N24001927,ocms:N24001927,618093,,ocms:N24001927 was minted by the truncated-read run of load-mospi-historical; 618093 is the MoSPI project_code that already carried legacy_ocms_code N24001927
N24001106,ocms:N24001106,618094,,ocms:N24001106 was minted by the truncated-read run of load-mospi-historical; 618094 is the MoSPI project_code that already carried legacy_ocms_code N24001106
N24001057,ocms:N24001057,618097,,ocms:N24001057 was minted by the truncated-read run of load-mospi-historical; 618097 is the MoSPI project_code that already carried legacy_ocms_code N24001057
N24001908,ocms:N24001908,618098,,ocms:N24001908 was minted by the truncated-read run of load-mospi-historical; 618098 is the MoSPI project_code that already carried legacy_ocms_code N24001908
N24002007,ocms:N24002007,618104,,ocms:N24002007 was minted by the truncated-read run of load-mospi-historical; 618104 is the MoSPI project_code that already carried legacy_ocms_code N24002007
N24002010,ocms:N24002010,618105,,ocms:N24002010 was minted by the truncated-read run of load-mospi-historical; 618105 is the MoSPI project_code that already carried legacy_ocms_code N24002010
N24002009,ocms:N24002009,618106,,ocms:N24002009 was minted by the truncated-read run of load-mospi-historical; 618106 is the MoSPI project_code that already carried legacy_ocms_code N24002009
N24002014,ocms:N24002014,618108,,ocms:N24002014 was minted by the truncated-read run of load-mospi-historical; 618108 is the MoSPI project_code that already carried legacy_ocms_code N24002014
N24001948,ocms:N24001948,618109,,ocms:N24001948 was minted by the truncated-read run of load-mospi-historical; 618109 is the MoSPI project_code that already carried legacy_ocms_code N24001948
N24001469,ocms:N24001469,618110,,ocms:N24001469 was minted by the truncated-read run of load-mospi-historical; 618110 is the MoSPI project_code that already carried legacy_ocms_code N24001469
N24002015,ocms:N24002015,618111,,ocms:N24002015 was minted by the truncated-read run of load-mospi-historical; 618111 is the MoSPI project_code that already carried legacy_ocms_code N24002015
N24001867,ocms:N24001867,618118,,ocms:N24001867 was minted by the truncated-read run of load-mospi-historical; 618118 is the MoSPI project_code that already carried legacy_ocms_code N24001867
N24001122,ocms:N24001122,618172,,ocms:N24001122 was minted by the truncated-read run of load-mospi-historical; 618172 is the MoSPI project_code that already carried legacy_ocms_code N24001122
N24001123,ocms:N24001123,618173,,ocms:N24001123 was minted by the truncated-read run of load-mospi-historical; 618173 is the MoSPI project_code that already carried legacy_ocms_code N24001123
N24001884,ocms:N24001884,618175,,ocms:N24001884 was minted by the truncated-read run of load-mospi-historical; 618175 is the MoSPI project_code that already carried legacy_ocms_code N24001884
N24001060,ocms:N24001060,618177,,ocms:N24001060 was minted by the truncated-read run of load-mospi-historical; 618177 is the MoSPI project_code that already carried legacy_ocms_code N24001060
N24001082,ocms:N24001082,618180,,ocms:N24001082 was minted by the truncated-read run of load-mospi-historical; 618180 is the MoSPI project_code that already carried legacy_ocms_code N24001082
N24002177,ocms:N24002177,618181,,ocms:N24002177 was minted by the truncated-read run of load-mospi-historical; 618181 is the MoSPI project_code that already carried legacy_ocms_code N24002177
N24002003,ocms:N24002003,618186,,ocms:N24002003 was minted by the truncated-read run of load-mospi-historical; 618186 is the MoSPI project_code that already carried legacy_ocms_code N24002003
N24002173,ocms:N24002173,618188,,ocms:N24002173 was minted by the truncated-read run of load-mospi-historical; 618188 is the MoSPI project_code that already carried legacy_ocms_code N24002173
N24002005,ocms:N24002005,618190,,ocms:N24002005 was minted by the truncated-read run of load-mospi-historical; 618190 is the MoSPI project_code that already carried legacy_ocms_code N24002005
N24001942,ocms:N24001942,618192,,ocms:N24001942 was minted by the truncated-read run of load-mospi-historical; 618192 is the MoSPI project_code that already carried legacy_ocms_code N24001942
N24000937,ocms:N24000937,618194,,ocms:N24000937 was minted by the truncated-read run of load-mospi-historical; 618194 is the MoSPI project_code that already carried legacy_ocms_code N24000937
N24002008,ocms:N24002008,618196,,ocms:N24002008 was minted by the truncated-read run of load-mospi-historical; 618196 is the MoSPI project_code that already carried legacy_ocms_code N24002008
N24002001,ocms:N24002001,618197,,ocms:N24002001 was minted by the truncated-read run of load-mospi-historical; 618197 is the MoSPI project_code that already carried legacy_ocms_code N24002001
N24001107,ocms:N24001107,618198,,ocms:N24001107 was minted by the truncated-read run of load-mospi-historical; 618198 is the MoSPI project_code that already carried legacy_ocms_code N24001107
N24002178,ocms:N24002178,618199,,ocms:N24002178 was minted by the truncated-read run of load-mospi-historical; 618199 is the MoSPI project_code that already carried legacy_ocms_code N24002178
N24001928,ocms:N24001928,618200,,ocms:N24001928 was minted by the truncated-read run of load-mospi-historical; 618200 is the MoSPI project_code that already carried legacy_ocms_code N24001928
N24001999,ocms:N24001999,618204,,ocms:N24001999 was minted by the truncated-read run of load-mospi-historical; 618204 is the MoSPI project_code that already carried legacy_ocms_code N24001999
N24001998,ocms:N24001998,618205,,ocms:N24001998 was minted by the truncated-read run of load-mospi-historical; 618205 is the MoSPI project_code that already carried legacy_ocms_code N24001998
N24001915,ocms:N24001915,618216,,ocms:N24001915 was minted by the truncated-read run of load-mospi-historical; 618216 is the MoSPI project_code that already carried legacy_ocms_code N24001915
N24001916,ocms:N24001916,618217,,ocms:N24001916 was minted by the truncated-read run of load-mospi-historical; 618217 is the MoSPI project_code that already carried legacy_ocms_code N24001916
N24001897,ocms:N24001897,618220,,ocms:N24001897 was minted by the truncated-read run of load-mospi-historical; 618220 is the MoSPI project_code that already carried legacy_ocms_code N24001897
N24002180,ocms:N24002180,618221,,ocms:N24002180 was minted by the truncated-read run of load-mospi-historical; 618221 is the MoSPI project_code that already carried legacy_ocms_code N24002180
N24002119,ocms:N24002119,618222,,ocms:N24002119 was minted by the truncated-read run of load-mospi-historical; 618222 is the MoSPI project_code that already carried legacy_ocms_code N24002119
N24001899,ocms:N24001899,618225,,ocms:N24001899 was minted by the truncated-read run of load-mospi-historical; 618225 is the MoSPI project_code that already carried legacy_ocms_code N24001899
N24001898,ocms:N24001898,618226,,ocms:N24001898 was minted by the truncated-read run of load-mospi-historical; 618226 is the MoSPI project_code that already carried legacy_ocms_code N24001898
N24001850,ocms:N24001850,618227,,ocms:N24001850 was minted by the truncated-read run of load-mospi-historical; 618227 is the MoSPI project_code that already carried legacy_ocms_code N24001850
N24001201,ocms:N24001201,618228,,ocms:N24001201 was minted by the truncated-read run of load-mospi-historical; 618228 is the MoSPI project_code that already carried legacy_ocms_code N24001201
N24001470,ocms:N24001470,618230,,ocms:N24001470 was minted by the truncated-read run of load-mospi-historical; 618230 is the MoSPI project_code that already carried legacy_ocms_code N24001470
N24001447,ocms:N24001447,618231,,ocms:N24001447 was minted by the truncated-read run of load-mospi-historical; 618231 is the MoSPI project_code that already carried legacy_ocms_code N24001447
N24000943,ocms:N24000943,618234,,ocms:N24000943 was minted by the truncated-read run of load-mospi-historical; 618234 is the MoSPI project_code that already carried legacy_ocms_code N24000943
N24000969,ocms:N24000969,618237,,ocms:N24000969 was minted by the truncated-read run of load-mospi-historical; 618237 is the MoSPI project_code that already carried legacy_ocms_code N24000969
N24000964,ocms:N24000964,618238,,ocms:N24000964 was minted by the truncated-read run of load-mospi-historical; 618238 is the MoSPI project_code that already carried legacy_ocms_code N24000964
N24001958,ocms:N24001958,618256,,ocms:N24001958 was minted by the truncated-read run of load-mospi-historical; 618256 is the MoSPI project_code that already carried legacy_ocms_code N24001958
N24001471,ocms:N24001471,618266,,ocms:N24001471 was minted by the truncated-read run of load-mospi-historical; 618266 is the MoSPI project_code that already carried legacy_ocms_code N24001471
N24002023,ocms:N24002023,618282,,ocms:N24002023 was minted by the truncated-read run of load-mospi-historical; 618282 is the MoSPI project_code that already carried legacy_ocms_code N24002023
N24001368,ocms:N24001368,618285,,ocms:N24001368 was minted by the truncated-read run of load-mospi-historical; 618285 is the MoSPI project_code that already carried legacy_ocms_code N24001368
N24001246,ocms:N24001246,618289,,ocms:N24001246 was minted by the truncated-read run of load-mospi-historical; 618289 is the MoSPI project_code that already carried legacy_ocms_code N24001246
N24001258,ocms:N24001258,618290,,ocms:N24001258 was minted by the truncated-read run of load-mospi-historical; 618290 is the MoSPI project_code that already carried legacy_ocms_code N24001258
N24001257,ocms:N24001257,618291,,ocms:N24001257 was minted by the truncated-read run of load-mospi-historical; 618291 is the MoSPI project_code that already carried legacy_ocms_code N24001257
N24001255,ocms:N24001255,618292,,ocms:N24001255 was minted by the truncated-read run of load-mospi-historical; 618292 is the MoSPI project_code that already carried legacy_ocms_code N24001255
N24001288,ocms:N24001288,618293,,ocms:N24001288 was minted by the truncated-read run of load-mospi-historical; 618293 is the MoSPI project_code that already carried legacy_ocms_code N24001288
N24001287,ocms:N24001287,618296,,ocms:N24001287 was minted by the truncated-read run of load-mospi-historical; 618296 is the MoSPI project_code that already carried legacy_ocms_code N24001287
N24001282,ocms:N24001282,618297,,ocms:N24001282 was minted by the truncated-read run of load-mospi-historical; 618297 is the MoSPI project_code that already carried legacy_ocms_code N24001282
N24001400,ocms:N24001400,618298,,ocms:N24001400 was minted by the truncated-read run of load-mospi-historical; 618298 is the MoSPI project_code that already carried legacy_ocms_code N24001400
N24001274,ocms:N24001274,618300,,ocms:N24001274 was minted by the truncated-read run of load-mospi-historical; 618300 is the MoSPI project_code that already carried legacy_ocms_code N24001274
N24001332,ocms:N24001332,618302,,ocms:N24001332 was minted by the truncated-read run of load-mospi-historical; 618302 is the MoSPI project_code that already carried legacy_ocms_code N24001332
N24001331,ocms:N24001331,618303,,ocms:N24001331 was minted by the truncated-read run of load-mospi-historical; 618303 is the MoSPI project_code that already carried legacy_ocms_code N24001331
N24002128,ocms:N24002128,618314,,ocms:N24002128 was minted by the truncated-read run of load-mospi-historical; 618314 is the MoSPI project_code that already carried legacy_ocms_code N24002128
N24001270,ocms:N24001270,618346,,ocms:N24001270 was minted by the truncated-read run of load-mospi-historical; 618346 is the MoSPI project_code that already carried legacy_ocms_code N24001270
N24001269,ocms:N24001269,618347,,ocms:N24001269 was minted by the truncated-read run of load-mospi-historical; 618347 is the MoSPI project_code that already carried legacy_ocms_code N24001269
N24001970,ocms:N24001970,618352,,ocms:N24001970 was minted by the truncated-read run of load-mospi-historical; 618352 is the MoSPI project_code that already carried legacy_ocms_code N24001970
N24002130,ocms:N24002130,618354,,ocms:N24002130 was minted by the truncated-read run of load-mospi-historical; 618354 is the MoSPI project_code that already carried legacy_ocms_code N24002130
N24001403,ocms:N24001403,618355,,ocms:N24001403 was minted by the truncated-read run of load-mospi-historical; 618355 is the MoSPI project_code that already carried legacy_ocms_code N24001403
N24001354,ocms:N24001354,618356,,ocms:N24001354 was minted by the truncated-read run of load-mospi-historical; 618356 is the MoSPI project_code that already carried legacy_ocms_code N24001354
N24001436,ocms:N24001436,618357,,ocms:N24001436 was minted by the truncated-read run of load-mospi-historical; 618357 is the MoSPI project_code that already carried legacy_ocms_code N24001436
N24001437,ocms:N24001437,618358,,ocms:N24001437 was minted by the truncated-read run of load-mospi-historical; 618358 is the MoSPI project_code that already carried legacy_ocms_code N24001437
N24002155,ocms:N24002155,618359,,ocms:N24002155 was minted by the truncated-read run of load-mospi-historical; 618359 is the MoSPI project_code that already carried legacy_ocms_code N24002155
N24001358,ocms:N24001358,618362,,ocms:N24001358 was minted by the truncated-read run of load-mospi-historical; 618362 is the MoSPI project_code that already carried legacy_ocms_code N24001358
N24001359,ocms:N24001359,618363,,ocms:N24001359 was minted by the truncated-read run of load-mospi-historical; 618363 is the MoSPI project_code that already carried legacy_ocms_code N24001359
N24001976,ocms:N24001976,618364,,ocms:N24001976 was minted by the truncated-read run of load-mospi-historical; 618364 is the MoSPI project_code that already carried legacy_ocms_code N24001976
N24001978,ocms:N24001978,618365,,ocms:N24001978 was minted by the truncated-read run of load-mospi-historical; 618365 is the MoSPI project_code that already carried legacy_ocms_code N24001978
N24001977,ocms:N24001977,618366,,ocms:N24001977 was minted by the truncated-read run of load-mospi-historical; 618366 is the MoSPI project_code that already carried legacy_ocms_code N24001977
N24002162,ocms:N24002162,618368,,ocms:N24002162 was minted by the truncated-read run of load-mospi-historical; 618368 is the MoSPI project_code that already carried legacy_ocms_code N24002162
N24002161,ocms:N24002161,618369,,ocms:N24002161 was minted by the truncated-read run of load-mospi-historical; 618369 is the MoSPI project_code that already carried legacy_ocms_code N24002161
N24002160,ocms:N24002160,618370,,ocms:N24002160 was minted by the truncated-read run of load-mospi-historical; 618370 is the MoSPI project_code that already carried legacy_ocms_code N24002160
N24001335,ocms:N24001335,618374,,ocms:N24001335 was minted by the truncated-read run of load-mospi-historical; 618374 is the MoSPI project_code that already carried legacy_ocms_code N24001335
N24001334,ocms:N24001334,618375,,ocms:N24001334 was minted by the truncated-read run of load-mospi-historical; 618375 is the MoSPI project_code that already carried legacy_ocms_code N24001334
N24001314,ocms:N24001314,618376,,ocms:N24001314 was minted by the truncated-read run of load-mospi-historical; 618376 is the MoSPI project_code that already carried legacy_ocms_code N24001314
N24001313,ocms:N24001313,618377,,ocms:N24001313 was minted by the truncated-read run of load-mospi-historical; 618377 is the MoSPI project_code that already carried legacy_ocms_code N24001313
N24000861,ocms:N24000861,618379,,ocms:N24000861 was minted by the truncated-read run of load-mospi-historical; 618379 is the MoSPI project_code that already carried legacy_ocms_code N24000861
N24000857,ocms:N24000857,618380,,ocms:N24000857 was minted by the truncated-read run of load-mospi-historical; 618380 is the MoSPI project_code that already carried legacy_ocms_code N24000857
N24000863,ocms:N24000863,618381,,ocms:N24000863 was minted by the truncated-read run of load-mospi-historical; 618381 is the MoSPI project_code that already carried legacy_ocms_code N24000863
N24000864,ocms:N24000864,618382,,ocms:N24000864 was minted by the truncated-read run of load-mospi-historical; 618382 is the MoSPI project_code that already carried legacy_ocms_code N24000864
N24000865,ocms:N24000865,618383,,ocms:N24000865 was minted by the truncated-read run of load-mospi-historical; 618383 is the MoSPI project_code that already carried legacy_ocms_code N24000865
N24000862,ocms:N24000862,618384,,ocms:N24000862 was minted by the truncated-read run of load-mospi-historical; 618384 is the MoSPI project_code that already carried legacy_ocms_code N24000862
N24002159,ocms:N24002159,618385,,ocms:N24002159 was minted by the truncated-read run of load-mospi-historical; 618385 is the MoSPI project_code that already carried legacy_ocms_code N24002159
N24002131,ocms:N24002131,618387,,ocms:N24002131 was minted by the truncated-read run of load-mospi-historical; 618387 is the MoSPI project_code that already carried legacy_ocms_code N24002131
N24001974,ocms:N24001974,618388,,ocms:N24001974 was minted by the truncated-read run of load-mospi-historical; 618388 is the MoSPI project_code that already carried legacy_ocms_code N24001974
N24001473,ocms:N24001473,618389,,ocms:N24001473 was minted by the truncated-read run of load-mospi-historical; 618389 is the MoSPI project_code that already carried legacy_ocms_code N24001473
N24000855,ocms:N24000855,618390,,ocms:N24000855 was minted by the truncated-read run of load-mospi-historical; 618390 is the MoSPI project_code that already carried legacy_ocms_code N24000855
N24002164,ocms:N24002164,618391,,ocms:N24002164 was minted by the truncated-read run of load-mospi-historical; 618391 is the MoSPI project_code that already carried legacy_ocms_code N24002164
N24002163,ocms:N24002163,618393,,ocms:N24002163 was minted by the truncated-read run of load-mospi-historical; 618393 is the MoSPI project_code that already carried legacy_ocms_code N24002163
N24001264,ocms:N24001264,618394,,ocms:N24001264 was minted by the truncated-read run of load-mospi-historical; 618394 is the MoSPI project_code that already carried legacy_ocms_code N24001264
N24001394,ocms:N24001394,618395,,ocms:N24001394 was minted by the truncated-read run of load-mospi-historical; 618395 is the MoSPI project_code that already carried legacy_ocms_code N24001394
N24001266,ocms:N24001266,618398,,ocms:N24001266 was minted by the truncated-read run of load-mospi-historical; 618398 is the MoSPI project_code that already carried legacy_ocms_code N24001266
N24001395,ocms:N24001395,618399,,ocms:N24001395 was minted by the truncated-read run of load-mospi-historical; 618399 is the MoSPI project_code that already carried legacy_ocms_code N24001395
N24001341,ocms:N24001341,618400,,ocms:N24001341 was minted by the truncated-read run of load-mospi-historical; 618400 is the MoSPI project_code that already carried legacy_ocms_code N24001341
N24000868,ocms:N24000868,618406,,ocms:N24000868 was minted by the truncated-read run of load-mospi-historical; 618406 is the MoSPI project_code that already carried legacy_ocms_code N24000868
N24001543,ocms:N24001543,618407,,ocms:N24001543 was minted by the truncated-read run of load-mospi-historical; 618407 is the MoSPI project_code that already carried legacy_ocms_code N24001543
N24001348,ocms:N24001348,618408,,ocms:N24001348 was minted by the truncated-read run of load-mospi-historical; 618408 is the MoSPI project_code that already carried legacy_ocms_code N24001348
N24001345,ocms:N24001345,618409,,ocms:N24001345 was minted by the truncated-read run of load-mospi-historical; 618409 is the MoSPI project_code that already carried legacy_ocms_code N24001345
N24001344,ocms:N24001344,618410,,ocms:N24001344 was minted by the truncated-read run of load-mospi-historical; 618410 is the MoSPI project_code that already carried legacy_ocms_code N24001344
N24001914,ocms:N24001914,618411,,ocms:N24001914 was minted by the truncated-read run of load-mospi-historical; 618411 is the MoSPI project_code that already carried legacy_ocms_code N24001914
N24001256,ocms:N24001256,618412,,ocms:N24001256 was minted by the truncated-read run of load-mospi-historical; 618412 is the MoSPI project_code that already carried legacy_ocms_code N24001256
N24001912,ocms:N24001912,618413,,ocms:N24001912 was minted by the truncated-read run of load-mospi-historical; 618413 is the MoSPI project_code that already carried legacy_ocms_code N24001912
N24001406,ocms:N24001406,618414,,ocms:N24001406 was minted by the truncated-read run of load-mospi-historical; 618414 is the MoSPI project_code that already carried legacy_ocms_code N24001406
N24001350,ocms:N24001350,618415,,ocms:N24001350 was minted by the truncated-read run of load-mospi-historical; 618415 is the MoSPI project_code that already carried legacy_ocms_code N24001350
N24001349,ocms:N24001349,618416,,ocms:N24001349 was minted by the truncated-read run of load-mospi-historical; 618416 is the MoSPI project_code that already carried legacy_ocms_code N24001349
N24001474,ocms:N24001474,618418,,ocms:N24001474 was minted by the truncated-read run of load-mospi-historical; 618418 is the MoSPI project_code that already carried legacy_ocms_code N24001474
N24002158,ocms:N24002158,618419,,ocms:N24002158 was minted by the truncated-read run of load-mospi-historical; 618419 is the MoSPI project_code that already carried legacy_ocms_code N24002158
N24002157,ocms:N24002157,618420,,ocms:N24002157 was minted by the truncated-read run of load-mospi-historical; 618420 is the MoSPI project_code that already carried legacy_ocms_code N24002157
N24002156,ocms:N24002156,618421,,ocms:N24002156 was minted by the truncated-read run of load-mospi-historical; 618421 is the MoSPI project_code that already carried legacy_ocms_code N24002156
N24001438,ocms:N24001438,618422,,ocms:N24001438 was minted by the truncated-read run of load-mospi-historical; 618422 is the MoSPI project_code that already carried legacy_ocms_code N24001438
N24000763,ocms:N24000763,618423,,ocms:N24000763 was minted by the truncated-read run of load-mospi-historical; 618423 is the MoSPI project_code that already carried legacy_ocms_code N24000763
N24001261,ocms:N24001261,618427,,ocms:N24001261 was minted by the truncated-read run of load-mospi-historical; 618427 is the MoSPI project_code that already carried legacy_ocms_code N24001261
N24001262,ocms:N24001262,618429,,ocms:N24001262 was minted by the truncated-read run of load-mospi-historical; 618429 is the MoSPI project_code that already carried legacy_ocms_code N24001262
N24001251,ocms:N24001251,618430,,ocms:N24001251 was minted by the truncated-read run of load-mospi-historical; 618430 is the MoSPI project_code that already carried legacy_ocms_code N24001251
N24001252,ocms:N24001252,618431,,ocms:N24001252 was minted by the truncated-read run of load-mospi-historical; 618431 is the MoSPI project_code that already carried legacy_ocms_code N24001252
N24001393,ocms:N24001393,618433,,ocms:N24001393 was minted by the truncated-read run of load-mospi-historical; 618433 is the MoSPI project_code that already carried legacy_ocms_code N24001393
N24000946,ocms:N24000946,618434,,ocms:N24000946 was minted by the truncated-read run of load-mospi-historical; 618434 is the MoSPI project_code that already carried legacy_ocms_code N24000946
N24000431,ocms:N24000431,618436,,ocms:N24000431 was minted by the truncated-read run of load-mospi-historical; 618436 is the MoSPI project_code that already carried legacy_ocms_code N24000431
N24000583,ocms:N24000583,618437,,ocms:N24000583 was minted by the truncated-read run of load-mospi-historical; 618437 is the MoSPI project_code that already carried legacy_ocms_code N24000583
N24001337,ocms:N24001337,618446,,ocms:N24001337 was minted by the truncated-read run of load-mospi-historical; 618446 is the MoSPI project_code that already carried legacy_ocms_code N24001337
N24001362,ocms:N24001362,618447,,ocms:N24001362 was minted by the truncated-read run of load-mospi-historical; 618447 is the MoSPI project_code that already carried legacy_ocms_code N24001362
N24001338,ocms:N24001338,618448,,ocms:N24001338 was minted by the truncated-read run of load-mospi-historical; 618448 is the MoSPI project_code that already carried legacy_ocms_code N24001338
N24001336,ocms:N24001336,618449,,ocms:N24001336 was minted by the truncated-read run of load-mospi-historical; 618449 is the MoSPI project_code that already carried legacy_ocms_code N24001336
N24001327,ocms:N24001327,618450,,ocms:N24001327 was minted by the truncated-read run of load-mospi-historical; 618450 is the MoSPI project_code that already carried legacy_ocms_code N24001327
N24001568,ocms:N24001568,618456,,ocms:N24001568 was minted by the truncated-read run of load-mospi-historical; 618456 is the MoSPI project_code that already carried legacy_ocms_code N24001568
N24001567,ocms:N24001567,618457,,ocms:N24001567 was minted by the truncated-read run of load-mospi-historical; 618457 is the MoSPI project_code that already carried legacy_ocms_code N24001567
N24001612,ocms:N24001612,618458,,ocms:N24001612 was minted by the truncated-read run of load-mospi-historical; 618458 is the MoSPI project_code that already carried legacy_ocms_code N24001612
N24001515,ocms:N24001515,618459,,ocms:N24001515 was minted by the truncated-read run of load-mospi-historical; 618459 is the MoSPI project_code that already carried legacy_ocms_code N24001515
N24001519,ocms:N24001519,618460,,ocms:N24001519 was minted by the truncated-read run of load-mospi-historical; 618460 is the MoSPI project_code that already carried legacy_ocms_code N24001519
N24001520,ocms:N24001520,618462,,ocms:N24001520 was minted by the truncated-read run of load-mospi-historical; 618462 is the MoSPI project_code that already carried legacy_ocms_code N24001520
N24000834,ocms:N24000834,618463,,ocms:N24000834 was minted by the truncated-read run of load-mospi-historical; 618463 is the MoSPI project_code that already carried legacy_ocms_code N24000834
N24001789,ocms:N24001789,618465,,ocms:N24001789 was minted by the truncated-read run of load-mospi-historical; 618465 is the MoSPI project_code that already carried legacy_ocms_code N24001789
N24001504,ocms:N24001504,618468,,ocms:N24001504 was minted by the truncated-read run of load-mospi-historical; 618468 is the MoSPI project_code that already carried legacy_ocms_code N24001504
N24001506,ocms:N24001506,618469,,ocms:N24001506 was minted by the truncated-read run of load-mospi-historical; 618469 is the MoSPI project_code that already carried legacy_ocms_code N24001506
N24001507,ocms:N24001507,618470,,ocms:N24001507 was minted by the truncated-read run of load-mospi-historical; 618470 is the MoSPI project_code that already carried legacy_ocms_code N24001507
N24001521,ocms:N24001521,618471,,ocms:N24001521 was minted by the truncated-read run of load-mospi-historical; 618471 is the MoSPI project_code that already carried legacy_ocms_code N24001521
N24001508,ocms:N24001508,618472,,ocms:N24001508 was minted by the truncated-read run of load-mospi-historical; 618472 is the MoSPI project_code that already carried legacy_ocms_code N24001508
N24001608,ocms:N24001608,618473,,ocms:N24001608 was minted by the truncated-read run of load-mospi-historical; 618473 is the MoSPI project_code that already carried legacy_ocms_code N24001608
N24001720,ocms:N24001720,618477,,ocms:N24001720 was minted by the truncated-read run of load-mospi-historical; 618477 is the MoSPI project_code that already carried legacy_ocms_code N24001720
N24001718,ocms:N24001718,618478,,ocms:N24001718 was minted by the truncated-read run of load-mospi-historical; 618478 is the MoSPI project_code that already carried legacy_ocms_code N24001718
N24001717,ocms:N24001717,618479,,ocms:N24001717 was minted by the truncated-read run of load-mospi-historical; 618479 is the MoSPI project_code that already carried legacy_ocms_code N24001717
N24001719,ocms:N24001719,618481,,ocms:N24001719 was minted by the truncated-read run of load-mospi-historical; 618481 is the MoSPI project_code that already carried legacy_ocms_code N24001719
