legacy_ocms_code,synthetic_project_code,surviving_project_code,reviewed_by,rationale
N22000028,ocms:N22000028,400280,,ocms:N22000028 was minted by the truncated-read run of load-mospi-historical; 400280 is the MoSPI project_code that already carried legacy_ocms_code N22000028
N22000318,ocms:N22000318,400291,,ocms:N22000318 was minted by the truncated-read run of load-mospi-historical; 400291 is the MoSPI project_code that already carried legacy_ocms_code N22000318
N22000286,ocms:N22000286,400298,,ocms:N22000286 was minted by the truncated-read run of load-mospi-historical; 400298 is the MoSPI project_code that already carried legacy_ocms_code N22000286
N16000234,ocms:N16000234,400301,,ocms:N16000234 was minted by the truncated-read run of load-mospi-historical; 400301 is the MoSPI project_code that already carried legacy_ocms_code N16000234
N06000240,ocms:N06000240,400352,,ocms:N06000240 was minted by the truncated-read run of load-mospi-historical; 400352 is the MoSPI project_code that already carried legacy_ocms_code N06000240
N06000171,ocms:N06000171,400392,,ocms:N06000171 was minted by the truncated-read run of load-mospi-historical; 400392 is the MoSPI project_code that already carried legacy_ocms_code N06000171
N06000098,ocms:N06000098,400425,,ocms:N06000098 was minted by the truncated-read run of load-mospi-historical; 400425 is the MoSPI project_code that already carried legacy_ocms_code N06000098
180100221,ocms:180100221,602096,,ocms:180100221 was minted by the truncated-read run of load-mospi-historical; 602096 is the MoSPI project_code that already carried legacy_ocms_code 180100221
N42000008,ocms:N42000008,602099,,ocms:N42000008 was minted by the truncated-read run of load-mospi-historical; 602099 is the MoSPI project_code that already carried legacy_ocms_code N42000008
N18000325,ocms:N18000325,602181,,ocms:N18000325 was minted by the truncated-read run of load-mospi-historical; 602181 is the MoSPI project_code that already carried legacy_ocms_code N18000325
N18000014,ocms:N18000014,602185,,ocms:N18000014 was minted by the truncated-read run of load-mospi-historical; 602185 is the MoSPI project_code that already carried legacy_ocms_code N18000014
N18000042,ocms:N18000042,602195,,ocms:N18000042 was minted by the truncated-read run of load-mospi-historical; 602195 is the MoSPI project_code that already carried legacy_ocms_code N18000042
