pc_code,ac_code,state_ut,pc_no,pc_name,ac_no,ac_name,ac_reserved,district_order,spatial_agrees,spatial_pc
37-1,37-10,Andhra Pradesh,1,Araku,10,Palakonda,ST,Srikakulam,true,Andhra Pradesh 1-Araku
37-1,37-11,Andhra Pradesh,1,Araku,11,Kurupam,ST,Vizianagaram,true,Andhra Pradesh 1-Araku
37-1,37-12,Andhra Pradesh,1,Araku,12,Parvathipuram,SC,Vizianagaram,true,Andhra Pradesh 1-Araku
37-1,37-13,Andhra Pradesh,1,Araku,13,Salur,ST,Vizianagaram,true,Andhra Pradesh 1-Araku
37-1,37-28,Andhra Pradesh,1,Araku,28,Araku Valley,ST,Visakhapatnam,true,Andhra Pradesh 1-Araku
37-1,37-29,Andhra Pradesh,1,Araku,29,Paderu,ST,Visakhapatnam,true,Andhra Pradesh 1-Araku
37-1,37-53,Andhra Pradesh,1,Araku,53,Rampachodovaram,ST,East Godavari,,
37-2,37-1,Andhra Pradesh,2,Srikakulam,1,Ichchapuram,GEN,Srikakulam,true,Andhra Pradesh 2-Srikakulam
37-2,37-2,Andhra Pradesh,2,Srikakulam,2,Palasa,GEN,Srikakulam,true,Andhra Pradesh 2-Srikakulam
37-2,37-3,Andhra Pradesh,2,Srikakulam,3,Tekkali,GEN,Srikakulam,true,Andhra Pradesh 2-Srikakulam
37-2,37-4,Andhra Pradesh,2,Srikakulam,4,Pathapatnam,GEN,Srikakulam,true,Andhra Pradesh 2-Srikakulam
37-2,37-5,Andhra Pradesh,2,Srikakulam,5,Srikakulam,GEN,Srikakulam,true,Andhra Pradesh 2-Srikakulam
37-2,37-6,Andhra Pradesh,2,Srikakulam,6,Amadalavalasa,GEN,Srikakulam,true,Andhra Pradesh 2-Srikakulam
37-2,37-8,Andhra Pradesh,2,Srikakulam,8,Narasannapeta,GEN,Srikakulam,true,Andhra Pradesh 2-Srikakulam
37-3,37-7,Andhra Pradesh,3,Vizianagaram,7,Etcherla,GEN,Srikakulam,true,Andhra Pradesh 3-Vizianagaram
37-3,37-9,Andhra Pradesh,3,Vizianagaram,9,Rajam,SC,Srikakulam,true,Andhra Pradesh 3-Vizianagaram
37-3,37-14,Andhra Pradesh,3,Vizianagaram,14,Bobbili,GEN,Vizianagaram,true,Andhra Pradesh 3-Vizianagaram
37-3,37-15,Andhra Pradesh,3,Vizianagaram,15,Cheepurupalli,GEN,Vizianagaram,,
37-3,37-16,Andhra Pradesh,3,Vizianagaram,16,Gajapathinagaram,GEN,Vizianagaram,true,Andhra Pradesh 3-Vizianagaram
37-3,37-17,Andhra Pradesh,3,Vizianagaram,17,Nellimarla,GEN,Vizianagaram,true,Andhra Pradesh 3-Vizianagaram
37-3,37-18,Andhra Pradesh,3,Vizianagaram,18,Vizianagaram,GEN,Vizianagaram,true,Andhra Pradesh 3-Vizianagaram
37-4,37-19,Andhra Pradesh,4,Visakhapatnam,19,Srungavarapukota,GEN,Vizianagaram,true,Andhra Pradesh 4-Visakhapatnam
37-4,37-20,Andhra Pradesh,4,Visakhapatnam,20,Bhimli,GEN,Visakhapatnam,,
37-4,37-21,Andhra Pradesh,4,Visakhapatnam,21,Visakhapatnam East,GEN,Visakhapatnam,true,Andhra Pradesh 4-Visakhapatnam
37-4,37-22,Andhra Pradesh,4,Visakhapatnam,22,Visakhapatnam South,GEN,Visakhapatnam,true,Andhra Pradesh 4-Visakhapatnam
37-4,37-23,Andhra Pradesh,4,Visakhapatnam,23,Visakhapatnam North,GEN,Visakhapatnam,true,Andhra Pradesh 4-Visakhapatnam
37-4,37-24,Andhra Pradesh,4,Visakhapatnam,24,Visakhapatnam West,GEN,Visakhapatnam,true,Andhra Pradesh 4-Visakhapatnam
37-4,37-25,Andhra Pradesh,4,Visakhapatnam,25,Gajuwaka,GEN,Visakhapatnam,true,Andhra Pradesh 4-Visakhapatnam
37-5,37-26,Andhra Pradesh,5,Anakapalle,26,Chodavaram,GEN,Visakhapatnam,true,Andhra Pradesh 5-Anakapalle
37-5,37-27,Andhra Pradesh,5,Anakapalle,27,Madugula,GEN,Visakhapatnam,true,Andhra Pradesh 5-Anakapalle
37-5,37-30,Andhra Pradesh,5,Anakapalle,30,Anakapalle,GEN,Visakhapatnam,true,Andhra Pradesh 5-Anakapalle
37-5,37-31,Andhra Pradesh,5,Anakapalle,31,Pendurthi,GEN,Visakhapatnam,true,Andhra Pradesh 5-Anakapalle
37-5,37-32,Andhra Pradesh,5,Anakapalle,32,Yelamanchili,GEN,,true,Andhra Pradesh 5-Anakapalle
37-5,37-33,Andhra Pradesh,5,Anakapalle,33,Payakaraopet,SC,Visakhapatnam,true,Andhra Pradesh 5-Anakapalle
37-5,37-34,Andhra Pradesh,5,Anakapalle,34,Narsipatnam,GEN,Visakhapatnam,true,Andhra Pradesh 5-Anakapalle
37-6,37-35,Andhra Pradesh,6,Kakinada,35,Tuni,GEN,East Godavari,true,Andhra Pradesh 6-Kakinada
37-6,37-36,Andhra Pradesh,6,Kakinada,36,Prathipadu,GEN,East Godavari,true,Andhra Pradesh 6-Kakinada
37-6,37-37,Andhra Pradesh,6,Kakinada,37,Pithapuram,GEN,East Godavari,true,Andhra Pradesh 6-Kakinada
37-6,37-38,Andhra Pradesh,6,Kakinada,38,Kakinada Rural,GEN,East Godavari,true,Andhra Pradesh 6-Kakinada
37-6,37-39,Andhra Pradesh,6,Kakinada,39,Peddapuram,GEN,East Godavari,true,Andhra Pradesh 6-Kakinada
37-6,37-41,Andhra Pradesh,6,Kakinada,41,Kakinada City,GEN,East Godavari,true,Andhra Pradesh 6-Kakinada
37-6,37-52,Andhra Pradesh,6,Kakinada,52,Jaggampeta,GEN,East Godavari,true,Andhra Pradesh 6-Kakinada
37-7,37-42,Andhra Pradesh,7,Amalapuram,42,Ramachandrapuram,GEN,East Godavari,true,Andhra Pradesh 7-Amalapuram
37-7,37-43,Andhra Pradesh,7,Amalapuram,43,Mummidivaram,GEN,East Godavari,true,Andhra Pradesh 7-Amalapuram
37-7,37-44,Andhra Pradesh,7,Amalapuram,44,Amalapuram,SC,East Godavari,true,Andhra Pradesh 7-Amalapuram
37-7,37-45,Andhra Pradesh,7,Amalapuram,45,Razole,SC,East Godavari,true,Andhra Pradesh 7-Amalapuram
37-7,37-46,Andhra Pradesh,7,Amalapuram,46,Gannavaram,SC,East Godavari,false,Andhra Pradesh 11-Machilipatnam
37-7,37-47,Andhra Pradesh,7,Amalapuram,47,Kothapeta,GEN,East Godavari,true,Andhra Pradesh 7-Amalapuram
37-7,37-48,Andhra Pradesh,7,Amalapuram,48,Mandapeta,GEN,East Godavari,true,Andhra Pradesh 7-Amalapuram
37-8,37-40,Andhra Pradesh,8,Rajahmundry,40,Anaparthy,GEN,East Godavari,true,Andhra Pradesh 8-Rajahmundry
37-8,37-49,Andhra Pradesh,8,Rajahmundry,49,Rajanagaram,GEN,East Godavari,true,Andhra Pradesh 8-Rajahmundry
37-8,37-50,Andhra Pradesh,8,Rajahmundry,50,Rajahmundry City,GEN,East Godavari,true,Andhra Pradesh 8-Rajahmundry
37-8,37-51,Andhra Pradesh,8,Rajahmundry,51,Rajahmundry Rural,GEN,East Godavari,true,Andhra Pradesh 8-Rajahmundry
37-8,37-54,Andhra Pradesh,8,Rajahmundry,54,Kovvur,SC,West Godavari,true,Andhra Pradesh 8-Rajahmundry
37-8,37-55,Andhra Pradesh,8,Rajahmundry,55,Nidadavole,GEN,West Godavari,true,Andhra Pradesh 8-Rajahmundry
37-8,37-66,Andhra Pradesh,8,Rajahmundry,66,Gopalapuram,SC,West Godavari,true,Andhra Pradesh 8-Rajahmundry
37-9,37-56,Andhra Pradesh,9,Narsapuram,56,Achanta,GEN,West Godavari,true,Andhra Pradesh 9-Narsapuram
37-9,37-57,Andhra Pradesh,9,Narsapuram,57,Palacole,GEN,West Godavari,true,Andhra Pradesh 9-Narsapuram
37-9,37-58,Andhra Pradesh,9,Narsapuram,58,Narsapuram,GEN,West Godavari,,
37-9,37-59,Andhra Pradesh,9,Narsapuram,59,Bhimavaram,GEN,West Godavari,true,Andhra Pradesh 9-Narsapuram
37-9,37-60,Andhra Pradesh,9,Narsapuram,60,Undi,GEN,West Godavari,true,Andhra Pradesh 9-Narsapuram
37-9,37-61,Andhra Pradesh,9,Narsapuram,61,Tanuku,GEN,West Godavari,true,Andhra Pradesh 9-Narsapuram
37-9,37-62,Andhra Pradesh,9,Narsapuram,62,Tadepalligudem,GEN,West Godavari,true,Andhra Pradesh 9-Narsapuram
37-10,37-63,Andhra Pradesh,10,Eluru,63,Unguturu,GEN,West Godavari,,
37-10,37-64,Andhra Pradesh,10,Eluru,64,Denduluru,GEN,West Godavari,true,Andhra Pradesh 10-Eluru
37-10,37-65,Andhra Pradesh,10,Eluru,65,Eluru,GEN,West Godavari,true,Andhra Pradesh 10-Eluru
37-10,37-67,Andhra Pradesh,10,Eluru,67,Polavaram,ST,West Godavari,true,Andhra Pradesh 10-Eluru
37-10,37-68,Andhra Pradesh,10,Eluru,68,Chintalapudi,SC,West Godavari,true,Andhra Pradesh 10-Eluru
37-10,37-70,Andhra Pradesh,10,Eluru,70,Nuzvid,GEN,Krishna,true,Andhra Pradesh 10-Eluru
37-10,37-73,Andhra Pradesh,10,Eluru,73,Kaikalur,GEN,Krishna,true,Andhra Pradesh 10-Eluru
37-11,37-71,Andhra Pradesh,11,Machilipatnam,71,Gannavaram,GEN,Krishna,true,Andhra Pradesh 11-Machilipatnam
37-11,37-72,Andhra Pradesh,11,Machilipatnam,72,Gudivada,GEN,Krishna,true,Andhra Pradesh 11-Machilipatnam
37-11,37-74,Andhra Pradesh,11,Machilipatnam,74,Pedana,GEN,Krishna,true,Andhra Pradesh 11-Machilipatnam
37-11,37-75,Andhra Pradesh,11,Machilipatnam,75,Machilipatnam,GEN,Krishna,true,Andhra Pradesh 11-Machilipatnam
37-11,37-76,Andhra Pradesh,11,Machilipatnam,76,Avanigadda,GEN,Krishna,true,Andhra Pradesh 11-Machilipatnam
37-11,37-77,Andhra Pradesh,11,Machilipatnam,77,Pamarru,SC,Krishna,true,Andhra Pradesh 11-Machilipatnam
37-11,37-78,Andhra Pradesh,11,Machilipatnam,78,Penamaluru,GEN,Krishna,true,Andhra Pradesh 11-Machilipatnam
37-12,37-69,Andhra Pradesh,12,Vijayawada,69,Tiruvuru,SC,Krishna,true,Andhra Pradesh 12-Vijayawada
37-12,37-79,Andhra Pradesh,12,Vijayawada,79,Vijayawada West,GEN,Krishna,true,Andhra Pradesh 12-Vijayawada
37-12,37-80,Andhra Pradesh,12,Vijayawada,80,Vijayawada Central,GEN,Krishna,true,Andhra Pradesh 12-Vijayawada
37-12,37-81,Andhra Pradesh,12,Vijayawada,81,Vijayawada East,GEN,Krishna,true,Andhra Pradesh 12-Vijayawada
37-12,37-82,Andhra Pradesh,12,Vijayawada,82,Mylavaram,GEN,Krishna,true,Andhra Pradesh 12-Vijayawada
37-12,37-83,Andhra Pradesh,12,Vijayawada,83,Nandigama,SC,Krishna,true,Andhra Pradesh 12-Vijayawada
37-12,37-84,Andhra Pradesh,12,Vijayawada,84,Jaggayyapeta,GEN,Krishna,true,Andhra Pradesh 12-Vijayawada
37-13,37-86,Andhra Pradesh,13,Guntur,86,Tadikonda,SC,Guntur,true,Andhra Pradesh 13-Guntur
37-13,37-87,Andhra Pradesh,13,Guntur,87,Mangalagiri,GEN,Guntur,true,Andhra Pradesh 13-Guntur
37-13,37-88,Andhra Pradesh,13,Guntur,88,Ponnuru,GEN,Guntur,,
37-13,37-91,Andhra Pradesh,13,Guntur,91,Tenali,GEN,Guntur,true,Andhra Pradesh 13-Guntur
37-13,37-93,Andhra Pradesh,13,Guntur,93,Prathipadu,SC,Guntur,false,Andhra Pradesh 6-Kakinada
37-13,37-94,Andhra Pradesh,13,Guntur,94,Guntur West,GEN,Guntur,true,Andhra Pradesh 13-Guntur
37-13,37-95,Andhra Pradesh,13,Guntur,95,Guntur East,GEN,Guntur,true,Andhra Pradesh 13-Guntur
37-14,37-85,Andhra Pradesh,14,Narasaraopet,85,Pedakurapadu,GEN,Guntur,true,Andhra Pradesh 14-Narasaraopet
37-14,37-96,Andhra Pradesh,14,Narasaraopet,96,Chilakaluripet,GEN,Guntur,true,Andhra Pradesh 14-Narasaraopet
37-14,37-97,Andhra Pradesh,14,Narasaraopet,97,Narasaraopet,GEN,Guntur,true,Andhra Pradesh 14-Narasaraopet
37-14,37-98,Andhra Pradesh,14,Narasaraopet,98,Sattenapalli,GEN,Guntur,,
37-14,37-99,Andhra Pradesh,14,Narasaraopet,99,Vinukonda,GEN,Guntur,true,Andhra Pradesh 14-Narasaraopet
37-14,37-100,Andhra Pradesh,14,Narasaraopet,100,Gurajala,GEN,,true,Andhra Pradesh 14-Narasaraopet
37-14,37-101,Andhra Pradesh,14,Narasaraopet,101,Macherla,GEN,Guntur,true,Andhra Pradesh 14-Narasaraopet
37-15,37-89,Andhra Pradesh,15,Bapatla,89,Vemuru,SC,Guntur,true,Andhra Pradesh 15-Bapatla
37-15,37-90,Andhra Pradesh,15,Bapatla,90,Repalle,GEN,Guntur,true,Andhra Pradesh 15-Bapatla
37-15,37-92,Andhra Pradesh,15,Bapatla,92,Bapatla,GEN,Guntur,true,Andhra Pradesh 15-Bapatla
37-15,37-104,Andhra Pradesh,15,Bapatla,104,Parchur,GEN,Prakasam,true,Andhra Pradesh 15-Bapatla
37-15,37-105,Andhra Pradesh,15,Bapatla,105,Addanki,GEN,Prakasam,true,Andhra Pradesh 15-Bapatla
37-15,37-106,Andhra Pradesh,15,Bapatla,106,Chirala,GEN,Prakasam,true,Andhra Pradesh 15-Bapatla
37-15,37-107,Andhra Pradesh,15,Bapatla,107,Santhanuthalapadu,SC,Prakasam,true,Andhra Pradesh 15-Bapatla
37-16,37-102,Andhra Pradesh,16,Ongole,102,Yerragondapalem,SC,Prakasam,true,Andhra Pradesh 16-Ongole
37-16,37-103,Andhra Pradesh,16,Ongole,103,Darsi,GEN,Prakasam,true,Andhra Pradesh 16-Ongole
37-16,37-108,Andhra Pradesh,16,Ongole,108,Ongole,GEN,Prakasam,true,Andhra Pradesh 16-Ongole
37-16,37-110,Andhra Pradesh,16,Ongole,110,Kondapi,SC,Prakasam,true,Andhra Pradesh 16-Ongole
37-16,37-111,Andhra Pradesh,16,Ongole,111,Markapuram,GEN,Prakasam,true,Andhra Pradesh 16-Ongole
37-16,37-112,Andhra Pradesh,16,Ongole,112,Giddalur,GEN,Prakasam,true,Andhra Pradesh 16-Ongole
37-16,37-113,Andhra Pradesh,16,Ongole,113,Kanigiri,GEN,Prakasam,true,Andhra Pradesh 16-Ongole
37-17,37-134,Andhra Pradesh,17,Nandyal,134,Allagadda,GEN,Kurnool,true,Andhra Pradesh 17-Nandyal
37-17,37-135,Andhra Pradesh,17,Nandyal,135,Srisailam,GEN,Kurnool,true,Andhra Pradesh 17-Nandyal
37-17,37-136,Andhra Pradesh,17,Nandyal,136,Nandikotkur,SC,Kurnool,true,Andhra Pradesh 17-Nandyal
37-17,37-138,Andhra Pradesh,17,Nandyal,138,Panyam,GEN,Kurnool,true,Andhra Pradesh 17-Nandyal
37-17,37-139,Andhra Pradesh,17,Nandyal,139,Nandyal,GEN,Kurnool,true,Andhra Pradesh 17-Nandyal
37-17,37-140,Andhra Pradesh,17,Nandyal,140,Banaganapalle,GEN,,true,Andhra Pradesh 17-Nandyal
37-17,37-141,Andhra Pradesh,17,Nandyal,141,Dhone,GEN,Kurnool,true,Andhra Pradesh 17-Nandyal
37-18,37-137,Andhra Pradesh,18,Kurnool,137,Kurnool,GEN,Kurnool,true,Andhra Pradesh 18-Kurnool
37-18,37-142,Andhra Pradesh,18,Kurnool,142,Pattikonda,GEN,Kurnool,true,Andhra Pradesh 18-Kurnool
37-18,37-143,Andhra Pradesh,18,Kurnool,143,Kodumur,SC,Kurnool,true,Andhra Pradesh 18-Kurnool
37-18,37-144,Andhra Pradesh,18,Kurnool,144,Yemmiganur,GEN,Kurnool,true,Andhra Pradesh 18-Kurnool
37-18,37-145,Andhra Pradesh,18,Kurnool,145,Mantralayam,GEN,Kurnool,true,Andhra Pradesh 18-Kurnool
37-18,37-146,Andhra Pradesh,18,Kurnool,146,Adoni,GEN,Kurnool,true,Andhra Pradesh 18-Kurnool
37-18,37-147,Andhra Pradesh,18,Kurnool,147,Alur,GEN,Kurnool,true,Andhra Pradesh 18-Kurnool
37-19,37-148,Andhra Pradesh,19,Anantapur,148,Rayadurg,GEN,Anantapur,true,Andhra Pradesh 19-Anantapur
37-19,37-149,Andhra Pradesh,19,Anantapur,149,Uravakonda,GEN,Anantapur,true,Andhra Pradesh 19-Anantapur
37-19,37-150,Andhra Pradesh,19,Anantapur,150,Guntakal,GEN,Anantapur,true,Andhra Pradesh 19-Anantapur
37-19,37-151,Andhra Pradesh,19,Anantapur,151,Tadpatri,GEN,Anantapur,true,Andhra Pradesh 19-Anantapur
37-19,37-152,Andhra Pradesh,19,Anantapur,152,Singanamala,SC,Anantapur,true,Andhra Pradesh 19-Anantapur
37-19,37-153,Andhra Pradesh,19,Anantapur,153,Anantapur Urban,GEN,Anantapur,true,Andhra Pradesh 19-Anantapur
37-19,37-154,Andhra Pradesh,19,Anantapur,154,Kalyandurg,GEN,Anantapur,true,Andhra Pradesh 19-Anantapur
37-20,37-155,Andhra Pradesh,20,Hindupur,155,Raptadu,GEN,Anantapur,true,Andhra Pradesh 20-Hindupur
37-20,37-156,Andhra Pradesh,20,Hindupur,156,Madakasira,SC,Anantapur,true,Andhra Pradesh 20-Hindupur
37-20,37-157,Andhra Pradesh,20,Hindupur,157,Hindupur,GEN,Anantapur,true,Andhra Pradesh 20-Hindupur
37-20,37-158,Andhra Pradesh,20,Hindupur,158,Penukonda,GEN,Anantapur,true,Andhra Pradesh 20-Hindupur
37-20,37-159,Andhra Pradesh,20,Hindupur,159,Puttaparthi,GEN,Anantapur,true,Andhra Pradesh 20-Hindupur
37-20,37-160,Andhra Pradesh,20,Hindupur,160,Dharmavaram,GEN,Anantapur,true,Andhra Pradesh 20-Hindupur
37-20,37-161,Andhra Pradesh,20,Hindupur,161,Kadiri,GEN,Anantapur,true,Andhra Pradesh 20-Hindupur
37-21,37-124,Andhra Pradesh,21,Kadapa,124,Badvel,SC,Kadapa,true,Andhra Pradesh 21-Kadapa
37-21,37-126,Andhra Pradesh,21,Kadapa,126,Kadapa,GEN,Kadapa,true,Andhra Pradesh 21-Kadapa
37-21,37-129,Andhra Pradesh,21,Kadapa,129,Pulivendla,GEN,Kadapa,true,Andhra Pradesh 21-Kadapa
37-21,37-130,Andhra Pradesh,21,Kadapa,130,Kamalapuram,GEN,Kadapa,true,Andhra Pradesh 21-Kadapa
37-21,37-131,Andhra Pradesh,21,Kadapa,131,Jammalamadugu,GEN,Kadapa,true,Andhra Pradesh 21-Kadapa
37-21,37-132,Andhra Pradesh,21,Kadapa,132,Proddatur,GEN,Kadapa,true,Andhra Pradesh 21-Kadapa
37-21,37-133,Andhra Pradesh,21,Kadapa,133,Mydukur,GEN,Kadapa,true,Andhra Pradesh 21-Kadapa
37-22,37-109,Andhra Pradesh,22,Nellore,109,Kandukur,GEN,Prakasam,true,Andhra Pradesh 22-Nellore
37-22,37-114,Andhra Pradesh,22,Nellore,114,Kavali,GEN,Nellore,true,Andhra Pradesh 22-Nellore
37-22,37-115,Andhra Pradesh,22,Nellore,115,Atmakur,GEN,Nellore,true,Andhra Pradesh 22-Nellore
37-22,37-116,Andhra Pradesh,22,Nellore,116,Kovur,GEN,Nellore,true,Andhra Pradesh 22-Nellore
37-22,37-117,Andhra Pradesh,22,Nellore,117,Nellore City,GEN,Nellore,true,Andhra Pradesh 22-Nellore
37-22,37-118,Andhra Pradesh,22,Nellore,118,Nellore Rural,GEN,Nellore,true,Andhra Pradesh 22-Nellore
37-22,37-123,Andhra Pradesh,22,Nellore,123,Udayagiri,GEN,Nellore,true,Andhra Pradesh 22-Nellore
37-23,37-119,Andhra Pradesh,23,Tirupati,119,Sarvepalli,GEN,Nellore,true,Andhra Pradesh 23-Tirupati
37-23,37-120,Andhra Pradesh,23,Tirupati,120,Gudur,SC,Nellore,true,Andhra Pradesh 23-Tirupati
37-23,37-121,Andhra Pradesh,23,Tirupati,121,Sullurpeta,SC,Nellore,true,Andhra Pradesh 23-Tirupati
37-23,37-122,Andhra Pradesh,23,Tirupati,122,Venkatagiri,GEN,Nellore,true,Andhra Pradesh 23-Tirupati
37-23,37-167,Andhra Pradesh,23,Tirupati,167,Tirupati,GEN,Chittoor,true,Andhra Pradesh 23-Tirupati
37-23,37-168,Andhra Pradesh,23,Tirupati,168,Srikalahasti,GEN,Chittoor,true,Andhra Pradesh 23-Tirupati
37-23,37-169,Andhra Pradesh,23,Tirupati,169,Satyavedu,SC,Chittoor,true,Andhra Pradesh 23-Tirupati
37-24,37-125,Andhra Pradesh,24,Rajampet,125,Rajampet,GEN,Kadapa,true,Andhra Pradesh 24-Rajampet
37-24,37-127,Andhra Pradesh,24,Rajampet,127,Kodur,SC,Kadapa,true,Andhra Pradesh 24-Rajampet
37-24,37-128,Andhra Pradesh,24,Rajampet,128,Rayachoti,GEN,Kadapa,true,Andhra Pradesh 24-Rajampet
37-24,37-162,Andhra Pradesh,24,Rajampet,162,Thamballapalle,GEN,Chittoor,true,Andhra Pradesh 24-Rajampet
37-24,37-163,Andhra Pradesh,24,Rajampet,163,Pileru,GEN,Chittoor,true,Andhra Pradesh 24-Rajampet
37-24,37-164,Andhra Pradesh,24,Rajampet,164,Madanapalle,GEN,Chittoor,true,Andhra Pradesh 24-Rajampet
37-24,37-165,Andhra Pradesh,24,Rajampet,165,Punganur,GEN,Chittoor,true,Andhra Pradesh 24-Rajampet
37-25,37-166,Andhra Pradesh,25,Chittoor,166,Chandragiri,GEN,Chittoor,true,Andhra Pradesh 25-Chittoor
37-25,37-170,Andhra Pradesh,25,Chittoor,170,Nagari,GEN,Chittoor,true,Andhra Pradesh 25-Chittoor
37-25,37-171,Andhra Pradesh,25,Chittoor,171,Gangadhara Nellore,SC,Chittoor,true,Andhra Pradesh 25-Chittoor
37-25,37-172,Andhra Pradesh,25,Chittoor,172,Chittoor,GEN,Chittoor,true,Andhra Pradesh 25-Chittoor
37-25,37-173,Andhra Pradesh,25,Chittoor,173,Puthalapattu,SC,Chittoor,true,Andhra Pradesh 25-Chittoor
37-25,37-174,Andhra Pradesh,25,Chittoor,174,Palamaner,GEN,Chittoor,true,Andhra Pradesh 25-Chittoor
37-25,37-175,Andhra Pradesh,25,Chittoor,175,Kuppam,GEN,Chittoor,true,Andhra Pradesh 25-Chittoor
12-1,12-1,Arunachal Pradesh,1,Arunachal West,1,Lumla,ST,Tawang,true,Arunachal Pradesh 1-Arunachal West
12-1,12-2,Arunachal Pradesh,1,Arunachal West,2,Tawang,ST,Tawang,true,Arunachal Pradesh 1-Arunachal West
12-1,12-3,Arunachal Pradesh,1,Arunachal West,3,Mukto,ST,Tawang,true,Arunachal Pradesh 1-Arunachal West
12-1,12-4,Arunachal Pradesh,1,Arunachal West,4,Dirang,ST,West Kameng,true,Arunachal Pradesh 1-Arunachal West
12-1,12-5,Arunachal Pradesh,1,Arunachal West,5,Kalaktang,ST,West Kameng,true,Arunachal Pradesh 1-Arunachal West
12-1,12-6,Arunachal Pradesh,1,Arunachal West,6,Thrizino-Buragaon,ST,West Kameng,true,Arunachal Pradesh 1-Arunachal West
12-1,12-7,Arunachal Pradesh,1,Arunachal West,7,Bomdila,ST,West Kameng,true,Arunachal Pradesh 1-Arunachal West
12-1,12-8,Arunachal Pradesh,1,Arunachal West,8,Bameng,ST,East Kameng,true,Arunachal Pradesh 1-Arunachal West
12-1,12-9,Arunachal Pradesh,1,Arunachal West,9,Chayangtajo,ST,East Kameng,true,Arunachal Pradesh 1-Arunachal West
12-1,12-10,Arunachal Pradesh,1,Arunachal West,10,Seppa East,ST,East Kameng,true,Arunachal Pradesh 1-Arunachal West
12-1,12-11,Arunachal Pradesh,1,Arunachal West,11,Seppa West,ST,East Kameng,true,Arunachal Pradesh 1-Arunachal West
12-1,12-12,Arunachal Pradesh,1,Arunachal West,12,Pakke-Kasang,ST,East Kameng,true,Arunachal Pradesh 1-Arunachal West
12-1,12-13,Arunachal Pradesh,1,Arunachal West,13,Itanagar,ST,Lower Subansiri,true,Arunachal Pradesh 1-Arunachal West
12-1,12-14,Arunachal Pradesh,1,Arunachal West,14,Doimukh,ST,Lower Subansiri,true,Arunachal Pradesh 1-Arunachal West
12-1,12-15,Arunachal Pradesh,1,Arunachal West,15,Sagalee,ST,Lower Subansiri,true,Arunachal Pradesh 1-Arunachal West
12-1,12-16,Arunachal Pradesh,1,Arunachal West,16,Yachuli,ST,Lower Subansiri,true,Arunachal Pradesh 1-Arunachal West
12-1,12-17,Arunachal Pradesh,1,Arunachal West,17,Ziro-Hapoli,ST,Lower Subansiri,true,Arunachal Pradesh 1-Arunachal West
12-1,12-18,Arunachal Pradesh,1,Arunachal West,18,Palin,ST,Lower Subansiri,true,Arunachal Pradesh 1-Arunachal West
12-1,12-19,Arunachal Pradesh,1,Arunachal West,19,Nyapin,ST,Lower Subansiri,true,Arunachal Pradesh 1-Arunachal West
12-1,12-20,Arunachal Pradesh,1,Arunachal West,20,Tali,ST,Lower Subansiri,true,Arunachal Pradesh 1-Arunachal West
12-1,12-21,Arunachal Pradesh,1,Arunachal West,21,Koloriang,ST,Lower Subansiri,true,Arunachal Pradesh 1-Arunachal West
12-1,12-22,Arunachal Pradesh,1,Arunachal West,22,Nacho,ST,Upper Subansiri,true,Arunachal Pradesh 1-Arunachal West
12-1,12-23,Arunachal Pradesh,1,Arunachal West,23,Taliha,ST,Upper Subansiri,true,Arunachal Pradesh 1-Arunachal West
12-1,12-24,Arunachal Pradesh,1,Arunachal West,24,Daporijo,ST,Upper Subansiri,true,Arunachal Pradesh 1-Arunachal West
12-1,12-25,Arunachal Pradesh,1,Arunachal West,25,Raga,ST,Upper Subansiri,true,Arunachal Pradesh 1-Arunachal West
12-1,12-26,Arunachal Pradesh,1,Arunachal West,26,Damporijo,ST,Upper Subansiri,true,Arunachal Pradesh 1-Arunachal West
12-1,12-27,Arunachal Pradesh,1,Arunachal West,27,Liromoba,ST,West Siang,true,Arunachal Pradesh 1-Arunachal West
12-1,12-28,Arunachal Pradesh,1,Arunachal West,28,Likabali,ST,West Siang,true,Arunachal Pradesh 1-Arunachal West
12-1,12-29,Arunachal Pradesh,1,Arunachal West,29,Basar,ST,West Siang,true,Arunachal Pradesh 1-Arunachal West
12-1,12-30,Arunachal Pradesh,1,Arunachal West,30,Along West,ST,West Siang,true,Arunachal Pradesh 1-Arunachal West
12-1,12-31,Arunachal Pradesh,1,Arunachal West,31,Along East,ST,West Siang,true,Arunachal Pradesh 1-Arunachal West
12-1,12-32,Arunachal Pradesh,1,Arunachal West,32,Rumgong,ST,West Siang,true,Arunachal Pradesh 1-Arunachal West
12-1,12-33,Arunachal Pradesh,1,Arunachal West,33,Mechuka,ST,West Siang,true,Arunachal Pradesh 1-Arunachal West
12-2,12-34,Arunachal Pradesh,2,Arunachal East,34,Tuting-Yingkiong,ST,East Siang,,
12-2,12-35,Arunachal Pradesh,2,Arunachal East,35,Pangin,ST,East Siang,true,Arunachal Pradesh 2-Arunachal East
12-2,12-36,Arunachal Pradesh,2,Arunachal East,36,Nari-Koyu,ST,East Siang,true,Arunachal Pradesh 2-Arunachal East
12-2,12-37,Arunachal Pradesh,2,Arunachal East,37,Pasighat West,ST,East Siang,true,Arunachal Pradesh 2-Arunachal East
12-2,12-38,Arunachal Pradesh,2,Arunachal East,38,Pasighat East,ST,East Siang,true,Arunachal Pradesh 2-Arunachal East
