report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2010-04-01,020100041,1,KAIGA 3 and 4 UNITS (NPCIL),Atomic Energy,,,2001-05-01,2009-10-01,2010-07-01,4213,3282,2531,,,2007-09-01,34(R1),71/75,untitled/10col,27
2010-04-01,N02000007,2,URANIUM ORE MINE & PROCESSING PLANT AT TUMMALAPALL,Atomic Energy,,,2007-09-01,,2011-04-01,1106.29,1106.29,486.37,,,,,0/1,untitled/10col,27
2010-04-01,020100040,3,KUDANKULAM APP (NPCIL),Atomic Energy,,,2001-12-01,2008-12-01,2011-06-01,13171,13171,12977,,,,30(O),99/119,untitled/10col,27
2010-04-01,020100044,4,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",Atomic Energy,,,2003-09-01,2010-09-01,2011-09-01,3492,5677,2415.88,,,,12(O),8/80,untitled/10col,27
2010-04-01,N04000017,5,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BLDG. A,Civil Aviation,,,2007-02-01,,2010-06-01,290.92,290.92,239.59,,,,,1/24,untitled/10col,27
2010-04-01,N04000040,6,D/O OF TERMINAL BLDG. AND PAVEMENT WORKS AT CHENNA,Civil Aviation,,,2008-01-01,2010-06-01,2010-06-01,535,535,143.97,,,,0(O),0/0,untitled/10col,27
2010-04-01,N04000068,7,CONSTRACTION OF RCC/PRE STRESSD CONCRETE BRIDGE K3,Civil Aviation,,,2009-06-01,2010-09-01,2010-11-01,213.35,213.35,112,,,,2(O),0/0,untitled/10col,27
2010-04-01,N04000038,8,D/O KAMARAJ DOMESTIC TER-PH-II & EXP. ANNA INT. TE(K1),Civil Aviation,,,2008-08-01,2011-01-01,2011-01-01,1273,1273,255.24,,1212,,0(O),0/0,untitled/10col,27
2010-04-01,N04000056,9,Extension of Secondary Runway(K2),Civil Aviation,,,2008-08-01,2011-01-01,2011-01-01,230,230,188.12,,,,0(O),0/0,untitled/10col,27
2010-04-01,N04000037,10,C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT,Civil Aviation,,,2008-08-01,2011-05-01,2011-08-01,1942.51,1942.51,579.26,,,,3(O),0/0,untitled/10col,27
2010-04-01,N04000050,11,C/o new Airport-SH: E/W in cutting and filling geogrid,Civil Aviation,,,2009-01-01,2011-01-01,,264.29,264.29,10.02,,,,,0/0,untitled/10col,27
2010-04-01,N04000065,12,GAGAN PROJECT,Civil Aviation,,,2008-09-01,2013-06-01,,393.6,393.6,160.29,,,,,0/0,untitled/10col,27
2010-04-01,N06000044,13,BALRAM OCP EXTENSION,Coal,,,2007-12-01,2009-03-01,2010-03-01,172.08,172.08,473.97,,,,12(O),0/0,untitled/10col,27
2010-04-01,060100090,14,BARSINGSAR MINE 2.10 MTPA LIGNITE (NLC),Coal,,,2004-12-01,2009-06-01,2010-05-01,254.07,254.6,215.84,,254.6,,11(O),18/21,untitled/10col,27
2010-04-01,060100089,15,BARSINGSAR TPS (2X125MW) (NLC),Coal,,,2004-12-01,2009-06-01,2010-09-01,1114.18,1626.09,1420.58,,1626.09,,15(O),32/26,untitled/10col,27
2010-04-01,060100087,16,TPS-II EXPANSION (1470MW TO 1970MW) (NLC),Coal,,,2004-10-01,2009-06-01,2011-06-01,2030.78,2453.57,1958.95,,2453.57,,24(O),24/24,untitled/10col,27
2010-04-01,060100092,17,KULDA OCP (MAHANADI COALFIELDS LTD.),Coal,,,2005-01-01,2010-03-01,2012-03-01,302.96,302.96,57.9,,,,24(O),0/4,untitled/10col,27
2010-04-01,060100093,18,GEVRA EXPANSION OCP (SECL) (25 MTY),Coal,,,2005-07-01,2010-03-01,2012-03-01,1667.55,1667.55,993.52,,,,24(O),3/7,untitled/10col,27
2010-04-01,060100096,19,ASHOK EXPN.OCP -CCL (5 MTY),Coal,,,2006-04-01,2011-03-01,2012-03-01,471.66,341.63,101.57,,341.63,,12(O),0/0,untitled/10col,28
2010-04-01,N06000017,20,SHANTIKHANI LONGWALL PROJ- SCCL,Coal,,,2006-10-01,2012-03-01,2012-03-01,249.03,249.03,37.11,,,,0(O),0/36,untitled/10col,28
2010-04-01,N06000033,21,"NIGAHI OC EXPANSION PROJECT 10 MTY TO 15 MTY, SINGRAULI",Coal,,,2007-10-01,2012-03-01,2012-03-01,529.4,259.4,0.4,,,,0(O),0/0,untitled/10col,28
2010-04-01,N06000067,22,ANANTA OC EXPANSION PH-II,Coal,,,2008-08-01,2012-03-01,2012-03-01,207.28,207.28,249.85,,,,0(O),0/0,untitled/10col,28
2010-04-01,N06000078,23,RAMAGUNDAM OC-II EXTENSION,Coal,,,2009-12-01,2012-03-01,2012-03-01,418.57,418.57,37,,,,0(O),0/0,untitled/10col,28
2010-04-01,N06000080,24,MANUGURU OC-II EXTENSION PHASE-II,Coal,,,2010-03-01,2012-03-01,2012-03-01,181.91,181.19,,,,,0(O),0/0,untitled/10col,28
2010-04-01,N06000047,25,TUTICORIN THERMAL POWER PROJECT,Coal,,,2008-05-01,2012-08-01,2012-08-01,4904.54,4904.54,749.53,,,,0(O),0/0,untitled/10col,28
2010-04-01,N06000016,26,ADRIYALA SHAFT PROJECT,Coal,,,2006-09-01,2013-03-01,2012-09-01,212.34,779.26,97.74,,779.26,,-6(O),2/11,untitled/10col,28
2010-04-01,N06000048,27,KAKATIYA LAONGWALL,Coal,,,2008-12-01,,2012-12-01,453.63,453.63,47.19,,,,,0/50,untitled/10col,28
2010-04-01,N06000007,28,KRISHNASHILA (NCL) (4MTY),Coal,,,2006-05-01,2010-03-01,2013-03-01,789.88,741.56,134.93,,741.56,,36(O),0/1,untitled/10col,28
