report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2013-04-01,N02000010,1,KAKRAPAR ATOMIC POWER PROJECT - 3 and 4,Atomic Energy,NPCIL,Gujarat,2009-10-01,2015-12-01,,11459,11459,2771,,,,11(O),0/70,consolidated,53
2013-04-01,020100040,2,KUDANKULAM APP (NPCIL),Atomic Energy,NPCIL,Tamil Nadu,2001-12-01,2008-12-01,,13171,17270,16007,,,,,39/106,consolidated,53
2013-04-01,020100044,3,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",Atomic Energy,BHAVNI,Tamil Nadu,2003-09-01,2010-09-01,,3492,5677,4080.48,,,,,8/82,consolidated,53
2013-04-01,N02000027,4,RAJASTHAN ATOMIC POWER PROJECT -7 and 8 (2X700 MW),Atomic Energy,NPCIL,Rajasthan,2009-10-01,2016-12-01,,12320,12320,1937,,,,3(O),0/69,consolidated,53
2013-04-01,N04000037,5,C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT,Civil Aviation,AAI,West Bengal,2008-08-01,2011-05-01,,1942.51,2325,2462.84,,,,,0/0,consolidated,53
2013-04-01,N04000050,6,C/o new Airport at Pakyong(Sikkim) Airport,Civil Aviation,AAI,Sikkim,2009-01-01,2011-01-01,,309.46,309.46,226.7,,,2013-04-01,35(O),0/0,consolidated,53
2013-04-01,N04000069,7,Construction of New International Terminal Building,Civil Aviation,AAI,Goa,2010-05-01,2012-05-01,,335.61,335.61,208.92,,,,13(O),0/0,consolidated,53
2013-04-01,N04000038,8,D/O KAMARAJ DOMESTIC TER-PH-II And EXP. ANNA INT.,Civil Aviation,AAI,Tamil Nadu,2008-08-01,2011-01-01,,1808,2015,1902.09,,2015,2012-02-01,,0/0,consolidated,53
2013-04-01,N04000070,9,DEVELOPMENT OF CHANDIGARH INTERNATIONAL AIRPORT(MO,Civil Aviation,AAI,Punjab,2011-02-01,2015-03-01,,452,452,93.66,,,,0(O),0/0,consolidated,53
2013-04-01,N04000065,10,GAGAN PROJECT,Civil Aviation,AAI,Multi State,2008-09-01,2013-06-01,,626,626,376.97,,,,0(O),0/0,consolidated,53
2013-04-01,N06000016,11,ADRIYALA SHAFT PROJECT,Coal,SCCL,Andhra Pradesh,2009-12-01,2013-03-01,,212.34,977.53,704.17,,779.26,2012-09-01,16(O),7/22,consolidated,53
2013-04-01,N06000082,12,AMLAI OC EXPANSION SECTOR B (1.50 MTY),Coal,SECL,Chhatisgarh,2009-11-01,2016-03-01,,150.59,198.59,113.78,,,,0(O),2/6,consolidated,53
2013-04-01,N06000010,13,"AMLOHRI EPR (NCL) (6 MTY , INCR.)",Coal,NCL,Madhya pradesh,2009-12-01,2016-03-01,,1352.04,1143.54,437.14,,1143.54,2016-03-01,0(O),2/4,consolidated,53
