report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2021-10-01,020100044,1,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",Bhavini Limited,BHAVNI,TAMIL NADU,2003-09-01,2010-09-01,2022-10-01,3492,6840,6054.37,,6840,2022-10-01,,,delayed,262
2021-10-01,N04000086,1,"CO CIVIL AVIATION REASEARCH ORG. (PH-II) AT BEGUMPET AIRPORT, HYDRABAD",Airport Authority Of India Limited,,,2020-05-01,2022-05-01,2022-05-01,353.61,353.61,81.41,,,,,,on_schedule,220
2021-10-01,N06000127,1,PATHERDIH NLW WASHERY,Bharat Coking Coal Limited,BCCL,JHARKHAND,2012-10-01,2014-04-01,2020-04-01,269.82,,,,,,,,without_doc,333
2021-10-01,N06000173,1,SRP OC-II EXPANSION PROJECT,Singareni Colliers Company Limitted,SCCL,TELANGANA,2016-11-01,,2022-03-01,272.73,272.73,153.75,,,,,2/6,without_original_doc,371
2021-10-01,N02000010,2,KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4,Bhavini Limited,NPCIL,GUJARAT,2009-10-01,2015-12-01,2022-02-01,11459,16580,17298,,,,,,delayed,262
2021-10-01,N04000091,2,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,Airport Authority Of India Limited,,,2020-04-01,2023-03-01,2023-03-01,611.8,611.8,52.08,,,,,,on_schedule,220
2021-10-01,N06000067,2,ANANTA OC EXPANSION PH-III (15.0 MTY),Bharat Coking Coal Limited,MCL,ODISHA,2008-08-01,2012-03-01,2021-03-01,207.28,,,,,,,,without_doc,333
2021-10-01,N16000318,2,LPG BP PROJECT JODHPUR,Indian Oil Corporation Limited,IOCL,RAJASTHAN,2018-03-01,2022-05-01,2022-12-01,229.8,229.8,90.2,,,,7(R3),17/26,without_original_doc,371
2021-10-01,N28000150,2,C/O AIIMS AT AWANTIPORA (KASHMIR) JAMMU AND KASHMIR,Cpwd For Health,,,2019-03-01,2025-09-01,2024-05-01,1828,1828,201.8,,,,,,ahead,218
2021-10-01,N02000027,3,RAJASTHAN ATOMIC POWER PROJECT -7 AND 8 (2X700 MW),Bhavini Limited,NPCIL,RAJASTHAN,2009-10-01,2016-12-01,2023-03-01,12320,17079,13709,,,,,,delayed,262
2021-10-01,N06000182,3,NORTH URIMARI EXPANSION OCP,Central Coal Fields Limited,,,2019-03-01,2023-03-01,2023-03-01,1553.06,778.8,349.76,,,,,,on_schedule,220
2021-10-01,N06000189,3,TALABIRA II AND III OCP,Bharat Coking Coal Limited,NLC,ODISHA,2017-07-01,2020-07-01,2020-04-01,2401.07,,,,,,,,without_doc,333
2021-10-01,N16000336,3,"AUGMENTATION OF LPG IMPORT TERMINAL FROM 0.6 MMTPA TO 2.5 MMTPA AT KANDLA, GUJARAT",Indian Oil Corporation Limited,IOCL,GUJARAT,2018-03-01,2023-05-01,2023-05-01,588.2,730.2,157.01,,730.2,,0(R3),13/17,without_original_doc,371
2021-10-01,N02000028,4,KUDANKULAM NUCLEAR POWER PROJECT UNIT-3 and 4,Bhavini Limited,NPCIL,TAMIL NADU,2013-03-01,2020-11-01,2023-11-01,39849,39849,25603,,,,,,delayed,262
2021-10-01,N06000186,4,TETARIAKHAR EXPANSION OCP,Central Coal Fields Limited,,,2019-11-01,2023-03-01,2023-03-01,243.52,243.52,37.16,,,,,,on_schedule,220
2021-10-01,N06000095,4,NEYVELI NEW THERMAL POWER PROJECT(2X500 MW),Bharat Coking Coal Limited,NLC,TAMIL NADU,2011-06-01,2015-12-01,2021-02-01,5907.11,,,,7980.79,,,,without_doc,333
2021-10-01,N18000278,4,KIRU HYDRO ELECTRIC PROJECT,Chenab Velley Power Projects [P] Limited,CVPPPL,JAMMU AND KASHMIR,2019-03-01,2024-08-01,2024-08-01,4287.59,4287.59,597.82,,,,0(R3),0/0,without_original_doc,371
2021-10-01,N16000405,4,"SETTING UP LUBE COMPLEX AT VILLAGES AMULLAVOYAL AND VAIKKADU, CHENNAI AS RESITEMENT OF EXISTING FACI",Hindustan Petroleum Corporation Limited,,,2020-10-01,2023-12-01,2023-10-01,1398,1398,116.76,,,,,,ahead,218
2021-10-01,N04000084,5,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AND ASSOCIATED WORKS AT AGARTALA AIRPORT,Airport Authority Of India Limited,AAI,TRIPURA,2015-09-01,2019-06-01,2021-11-01,438.28,402,390.15,,,2021-10-01,NIL,,delayed,262
2021-10-01,N06000172,5,TILABONI UG MINE,Central Coal Fields Limited,,,2019-02-01,2027-03-01,2027-03-01,916.62,916.62,2.7,,,,,,on_schedule,220
2021-10-01,N06000144,5,HADLA LIGNITE MINE PROJECT(1.90 MTPA),Bharat Coking Coal Limited,NLC,RAJASTHAN,2015-03-01,2019-09-01,,522.45,,,,,,,,without_doc,333
2021-10-01,N21000023,5,HOSPITAL AND TEACHING- AIIMS NAGPUR,Ltd,HSCC,MAHARASHTRA,2018-03-01,,2021-10-01,582.99,582.99,541.38,,,,,0/0,without_original_doc,371
2021-10-01,N16000409,5,PETROCHEMICAL AND LUBE INTEGRATION PROJECT AT GUJARAT REFINERY,Hindustan Petroleum Corporation Limited,,,2020-09-01,2024-09-01,2024-08-01,18936,18936,796.97,,,,,,ahead,218
2021-10-01,N04000080,6,CONSTRUCTION OF ATC TOWER AND TECHNICAL BLOCK AT NSCBI AIRPORT KOLKATA,Airport Authority Of India Limited,AAI,WEST BENGAL,2016-01-01,2020-03-01,2022-04-01,458,458,157.18,,,2022-06-01,NIL,,delayed,262
2021-10-01,N06000143,6,HURA - C OC (3 MTY),Central Coal Fields Limited,,,2015-10-01,2022-03-01,2022-03-01,359.69,359.69,257.7,,,,,,on_schedule,220
2021-10-01,N06000187,6,BARSINGSAR THERMAL POWER STATION EXTENSION,Bharat Coking Coal Limited,NLC,RAJASTHAN,2015-03-01,2020-09-01,,2112.6,,,,,,,,without_doc,333
2021-10-01,N21000024,6,HOSPITAL AND TEACHING- AIIMS KALYANI,Ltd,HSCC,WEST BENGAL,2018-04-01,,2021-10-01,651.99,651.99,591.68,,,,,0/0,without_original_doc,371
2021-10-01,N04000089,7,EXT AND STR. OF EXISTING RUNWAY 08/26 AT TIRUPATI AIRPORT,Airport Authority Of India Limited,AAI,ANDHRA PRADESH,2017-08-01,2020-02-01,2022-05-01,177.1,177.1,104.49,,,2021-12-01,1. A portion of the site,,delayed,263
2021-10-01,N06000191,7,SHYAMSUNDARPUR UG INCLUDING SAPI UNIT,Central Coal Fields Limited,,,2020-04-01,2025-03-01,2025-03-01,483.65,483.65,6.82,,,,,,on_schedule,220
2021-10-01,N06000188,7,BITHNOK LIGNITE THERMAL POWER STATION,Bharat Coking Coal Limited,NLC,RAJASTHAN,2015-03-01,2020-09-01,,2196.3,,,,,,,,without_doc,333
2021-10-01,N21000019,7,GERIATRICS BLOCK- AIIMS DLEHI,Ltd,HSCC,DELHI,2017-12-01,,2021-11-01,156.56,190.34,176.66,,,,,0/0,without_original_doc,371
2021-10-01,N04000073,8,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",Airport Authority Of India Limited,AAI,A & N ISLANDS,2013-10-01,2018-09-01,2022-06-01,417.23,707.73,476.54,,707.73,2022-06-01,NIL,,delayed,263
2021-10-01,N06000170,8,NAKRAKONDA KUMARDIH B OCP,Central Coal Fields Limited,,,2018-08-01,2029-03-01,2029-03-01,502.68,502.68,18.15,,,,,,on_schedule,220
2021-10-01,N06000145,8,BITHNOK LIGNITE MINE PROJECT (2.25 MTPA),Bharat Coking Coal Limited,NLC,RAJASTHAN,2015-03-01,2019-12-01,,513.63,,,,,,,,without_doc,333
2021-10-01,N21000020,8,HOSPITAL AND TEACHING- AIIMS GUNTUR,Ltd,HSCC,ANDHRA PRADESH,2018-03-01,,2021-12-01,601.02,601.02,487.74,,,,,0/0,without_original_doc,371
2021-10-01,N18000295,8,GUJARAT 200 MW (GUVNL TENDER),National Thermal Power Corporation,,,2021-01-01,2022-07-01,2022-06-01,842.27,842.27,92.08,,,,,,ahead,218
2021-10-01,N04000076,9,"CONSTRUCTION OF COMBINED OPERATIONAL OFFICES FOR DGCA, BCAS, AAIB, AERA AND AAI AT SAFDARJUNG AIRPOR",Airport Authority Of India Limited,AAI,DELHI,2016-11-01,2020-04-01,2022-06-01,303.8,303.8,189.25,,351.21,,NIL,,delayed,263
2021-10-01,N06000165,9,SIDULI MINE (OC AND UG),Central Coal Fields Limited,,,2018-05-01,2026-03-01,2026-03-01,535.18,535.18,1.75,,,,,,on_schedule,220
