report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2013-10-01,N02000010,1,KAKRAPAR ATOMIC POWER PROJECT - 3 and 4,Atomic Energy,NPCIL,Gujarat,2009-10-01,2015-12-01,2016-11-01,11459,11459,3478,,,,11(O),1/70,consolidated,55
2013-10-01,020100040,2,KUDANKULAM APP (NPCIL),Atomic Energy,NPCIL,Tamil Nadu,2001-12-01,2008-12-01,2014-09-01,13171,17270,16746,,17270,,69(O),39/106,consolidated,55
2013-10-01,020100044,3,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",Atomic Energy,BHAVNI,Tamil Nadu,2003-09-01,2010-09-01,2015-03-01,3492,5677,4309.83,,,,54(O),8/82,consolidated,55
2013-10-01,N02000027,4,RAJASTHAN ATOMIC POWER PROJECT -7 and 8 (2X700 MW),Atomic Energy,NPCIL,Rajasthan,2009-10-01,2016-12-01,2017-03-01,12320,12320,2379,,,,3(O),0/69,consolidated,55
2013-10-01,N04000037,5,C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT,Civil Aviation,AAI,West Bengal,2008-08-01,2011-05-01,2013-03-01,1942.51,2325,2474.41,,,,,0/0,consolidated,55
2013-10-01,N04000050,6,C/o new Airport at Pakyong(Sikkim) Airport,Civil Aviation,AAI,Sikkim,2009-01-01,2011-01-01,2015-03-01,309.46,309.46,231.71,,,2013-04-01,50(O),0/0,consolidated,55
2013-10-01,N04000069,7,Construction of New International Terminal Building(Goa),Civil Aviation,AAI,Goa,2010-05-01,2012-05-01,2013-11-01,335.61,335.61,249.31,,,,18(O),0/0,consolidated,55
2013-10-01,N04000038,8,D/O KAMARAJ DOMESTIC TER-PH-II And EXP. ANNA INT. TER BLDG(K1),Civil Aviation,AAI,Tamil Nadu,2008-08-01,2011-01-01,2012-02-01,1808,2015,1907.17,,2015,2012-02-01,,0/0,consolidated,55
2013-10-01,N04000070,9,DEVELOPMENT OF CHANDIGARH INTERNATIONAL AIRPORT(MOHALI) PH - II,Civil Aviation,AAI,Chandigarh,2011-02-01,2015-03-01,2015-03-01,452,452,160.72,,,,0(O),0/0,consolidated,55
2013-10-01,N04000072,10,ESTABLISHMENT OF AIRPORT OPERATIONS CONTROL CENTRES AT 10 AIRPORTS,Civil Aviation,AAI,Multi State,2010-02-01,2014-03-01,2014-06-01,344.28,344.28,,,,,3(O),0/0,consolidated,55
2013-10-01,N04000065,11,GAGAN PROJECT,Civil Aviation,AAI,Multi State,2008-09-01,2013-06-01,2013-06-01,626,626,450.38,,,,,0/0,consolidated,55
2013-10-01,N04000071,12,SUPPLY OF 56 Nos AIRFIELD FIRE TENDERS AT VARIOUS AIRPORTS,Civil Aviation,AAI,Multi State,2012-10-01,2015-03-01,2015-03-01,217.6,217.6,0.02,,,,0(O),0/0,consolidated,55
2013-10-01,N06000016,13,ADRIYALA SHAFT PROJECT,Coal,SCCL,Andhra Pradesh,2009-12-01,2013-03-01,2015-02-01,212.34,977.53,805.16,,779.26,2012-09-01,23(O),18/22,consolidated,55
2013-10-01,N06000082,14,AMLAI OC EXPANSION SECTOR B (1.50 MTY),Coal,SECL,Chhatisgarh,2009-11-01,2016-03-01,2016-03-01,150.59,198.59,90.05,,,,0(O),2/7,consolidated,55
2013-10-01,N06000010,15,"AMLOHRI EPR (NCL) (6 MTY , INCR.)",Coal,NCL,Madhya pradesh,2009-12-01,2016-03-01,2016-03-01,1352.04,1143.54,582,,1143.54,2016-03-01,0(O),0/4,consolidated,55
2013-10-01,N06000103,16,AMRAPALI OC(12MTY),Coal,CCL,Jharkhand,2012-02-01,2020-03-01,2020-03-01,858.11,858.11,49.4,,,,0(O),0/3,consolidated,55
2013-10-01,N06000067,17,ANANTA OC EXPANSION PH-III (15.0 Mty),Coal,MCL,Odisha,2008-08-01,2012-03-01,2014-03-01,207.28,207.28,117.75,,,,24(O),5/6,consolidated,56
2013-10-01,060100096,18,ASHOK EXPN.OCP -CCL (10 MTY),Coal,CCL,Jharkhand,2007-12-01,2011-03-01,2014-03-01,471.66,341.63,118.26,,341.63,,36(O),0/2,consolidated,56
2013-10-01,N06000044,19,"BALRAM OCP EXTENSION,MCL 8.00 Mty",Coal,MCL,Odisha,2007-12-01,2010-03-01,2015-03-01,172.08,172.08,129.2,,,,60(O),3/4,consolidated,56
2013-10-01,N06000099,20,BAROUD OC EXPANSION (RCE)- 3MTY,Coal,SECL,Chhatisgarh,2012-04-01,2016-03-01,2016-03-01,258.56,258.56,53.45,,,,0(O),0/6,consolidated,56
2013-10-01,N06000034,21,"BHUBANESWARI OCP, MCL (20.0 Mty)",Coal,MCL,Odisha,2007-12-01,2017-03-01,2017-03-01,490,490.1,152.13,,,,0(O),4/12,consolidated,56
2013-10-01,N06000019,22,BINA EXTN. PROJ(6.0 Mtpa),Coal,NCL,Multi State,2006-11-01,2014-03-01,2014-03-01,168.97,168.97,45.02,,,,0(O),0/2,consolidated,56
2013-10-01,N06000009,23,BLOCK-B OCP NCL (3.5 MTY),Coal,NCL,Madhya pradesh,2011-06-01,2015-03-01,2015-03-01,746.04,535.1,162.71,,,,0(O),0/3,consolidated,56
2013-10-01,N06000049,24,Batura OCP (2.0 MTY),Coal,SECL,Madhya pradesh,2008-09-01,2015-03-01,2015-03-01,203.82,203.82,,,,,0(O),1/6,consolidated,56
2013-10-01,N06000046,25,CHURCHA ROUG(1.35MTY),Coal,SECL,Chhatisgarh,2008-06-01,2014-03-01,2016-03-01,462.35,462.35,268.23,,,,24(O),2/8,consolidated,56
