report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2010-10-01,020100041,1,KAIGA 3 and 4 UNITS (NPCIL),Atomic Energy,NPCIL,Karnataka,2001-05-01,2009-10-01,2010-12-01,4213,4213,2582,,,2007-09-01,39(R1),71/75,untitled/10col,35
2010-10-01,N02000007,2,URANIUM ORE MINE & PROCESSING PLANT AT TUMMALAPALL,Atomic Energy,UCIL,Andhra Pradesh,2007-09-01,,2011-04-01,1106.29,1106.29,778.6,,,,,0/1,untitled/10col,35
2010-10-01,020100044,3,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",Atomic Energy,BHAVNI,Tamil Nadu,2003-09-01,2010-09-01,2011-09-01,3492,5677,2592.29,,,,12(O),8/80,untitled/10col,35
2010-10-01,020100040,4,KUDANKULAM APP (NPCIL),Atomic Energy,NPCIL,Tamil Nadu,2001-12-01,2008-12-01,2011-12-01,13171,13171,13183,,,,36(O),61/119,untitled/10col,35
2010-10-01,N04000068,5,CONSTRACTION OF RCC/PRE STRESSD CONCRETE BRIDGE K3,Civil Aviation,AAI,Tamil Nadu,2009-06-01,2010-09-01,2010-11-01,213.35,213.35,153.05,,,,2(O),0/0,untitled/10col,35
2010-10-01,N04000040,6,D/O OF TERMINAL BLDG. AND PAVEMENT WORKS AT CHENNA,Civil Aviation,AAI,Tamil Nadu,2008-01-01,2010-06-01,2010-12-01,535,535,331.8,,,2010-06-01,6(R3),0/0,untitled/10col,35
2010-10-01,N04000038,7,D/O KAMARAJ DOMESTIC TER-PH-II & EXP. ANNA INT. TE(K1),Civil Aviation,AAI,Tamil Nadu,2008-08-01,2011-01-01,2011-01-01,1273,1273,594.84,,,,0(O),0/0,untitled/10col,35
2010-10-01,N04000050,8,C/o new Airport at Pakyong(Sikkim) Airport,Civil Aviation,AAI,Sikkim,2009-01-01,2011-01-01,2011-01-01,264.29,264.29,264.29,,,,0(O),0/0,untitled/10col,35
2010-10-01,N04000056,9,Extension of Secondary Runway(K2),Civil Aviation,AAI,Tamil Nadu,2008-08-01,2011-01-01,2011-01-01,230,230,188.12,,,,0(O),0/0,untitled/10col,35
2010-10-01,N04000037,10,C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT,Civil Aviation,AAI,West Bengal,2008-08-01,2011-05-01,2011-08-01,1942.51,1942.51,860.83,,,,3(O),0/0,untitled/10col,35
2010-10-01,N04000069,11,Construction of New International Terminal Building,Civil Aviation,AAI,Goa,2010-05-01,2012-05-01,2012-05-01,204.73,204.73,5.97,,,,0(O),0/0,untitled/10col,35
2010-10-01,N04000065,12,GAGAN PROJECT,Civil Aviation,AAI,Multi State,2008-09-01,2013-06-01,2013-06-01,393.6,393.6,202.26,,,,0(O),0/0,untitled/10col,35
2010-10-01,N04000017,13,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BLDG. A,Civil Aviation,AAI,Gujarat,2007-02-01,,,290.92,290.92,185.74,,,,,1/24,untitled/10col,35
