report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2016-04-01,020100040,1,KUDANKULAM APP (NPCIL),ATOMIC ENERGY,NPCIL,"TAMIL NADU, .",2001-12-01,2008-12-01,2016-05-01,13171,22462,21600,,17270,2013-10-01,89(O),55/102,consolidated,81
2016-04-01,020100044,2,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",ATOMIC ENERGY,BHAVNI,"TAMIL NADU, .",2003-09-01,2010-09-01,2016-09-01,3492,5677,4933.84,,,2016-09-01,72(O),12/88,consolidated,81
2016-04-01,N02000010,3,KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4,ATOMIC ENERGY,NPCIL,"GUJARAT, .",2009-10-01,2015-12-01,2018-11-01,11459,11459,8362,,,2016-11-01,35(O),42/70,consolidated,81
2016-04-01,N02000027,4,RAJASTHAN ATOMIC POWER PROJECT -7 AND 8 (2X700 MW),ATOMIC ENERGY,NPCIL,"RAJASTHAN, .",2009-10-01,2016-12-01,2019-12-01,12320,12320,6196,,,2017-03-01,36(O),29/69,consolidated,81
2016-04-01,N04000069,5,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BUILDING(GOA),CIVIL AVIATION,AAI,"GOA, .",2010-05-01,2012-05-01,2015-03-01,335.61,318,301.13,,,,,0/0,consolidated,81
2016-04-01,N04000050,6,CONSTRUCTION OF NEW AIRPORT AT PAKYONG(SIKKIM) AIRPORT,CIVIL AVIATION,AAI,"SIKKIM, .",2009-01-01,2011-01-01,2017-09-01,309.46,309.46,338.57,,,2016-06-01,80(O),0/0,consolidated,81
2016-04-01,N04000071,7,SUPPLY OF 56 NOS AIRFIELD FIRE TENDERS AT VARIOUS AIRPORTS,CIVIL AVIATION,AAI,"MULTI STATE, .",2012-10-01,2015-03-01,2015-09-01,217.6,244.1,0.04,,,,,0/0,consolidated,81
2016-04-01,N04000073,8,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",CIVIL AVIATION,AAI,"ANDAMAN & NICOBAR ISLANDS, .",2013-10-01,2018-09-01,2018-09-01,314.61,314.61,17.82,,,,0(O),0/0,consolidated,81
2016-04-01,N06000025,9,JALLARAM SHAFT PROJECT,COAL,SCCL,"TELANGANA, .",2007-09-01,2013-03-01,,467.78,467.78,2.85,,,,,6/83,consolidated,81
2016-04-01,060100092,10,KULDA OCP (MAHANADI COALFIELDS LTD),COAL,MCL,"ODISHA, .",2005-01-01,2010-03-01,2016-03-01,302.96,302.96,318.74,,,,,8/10,consolidated,81
2016-04-01,060100093,11,GEVRA EXPANSION OCP (SECL) (25-35) MTY,COAL,SECL,"CHHATISGARH, .",2010-06-01,2014-03-01,2016-03-01,2675.67,2675.67,1808.74,,,,,11/16,consolidated,81
2016-04-01,060100096,12,ASHOK EXPN OCP CCL (10 MTY),COAL,CCL,"JHARKHAND, .",2007-12-01,2011-03-01,2017-03-01,341.63,341.63,121.94,,,,72(O),2/5,consolidated,81
2016-04-01,N06000008,13,KUSMUNDA EXPN.OCP(SECL)(15-50)MTY,COAL,SECL,"CHHATISGARH, .",2013-08-01,2023-03-01,2023-03-01,7612.33,7612.33,813.94,,7612.33,2023-03-01,0(O),2/17,consolidated,81
2016-04-01,N06000015,14,MAGADH OC 20 MTY (CCL),COAL,CCL,"JHARKHAND, .",2008-08-01,2012-07-01,2021-03-01,706.4,706.4,79.49,,,2017-03-01,104(O),1/1,consolidated,81
