report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2016-10-01,020100040,1,KUDANKULAM APP (NPCIL),ATOMIC ENERGY,NPCIL,TAMIL NADU,2001-12-01,2008-12-01,2017-01-01,13171,22462,21813,,17270,2013-10-01,97(O),63/102,untitled/10col,44
2016-10-01,020100044,2,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",ATOMIC ENERGY,BHAVNI,TAMIL NADU,2003-09-01,2010-09-01,2017-10-01,3492,6000,5303.33,,5677,2016-09-01,85(O),12/88,untitled/10col,44
2016-10-01,N02000010,3,KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4,ATOMIC ENERGY,NPCIL,GUJARAT,2009-10-01,2015-12-01,2018-11-01,11459,11459,8966,,,2016-11-01,35(O),43/70,untitled/10col,44
2016-10-01,N02000027,4,RAJASTHAN ATOMIC POWER PROJECT -7 AND 8 (2X700 MW),ATOMIC ENERGY,NPCIL,RAJASTHAN,2009-10-01,2016-12-01,2019-12-01,12320,12320,6793,,,2017-03-01,36(O),30/68,untitled/10col,44
2016-10-01,N04000069,5,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BUILDING(GOA),CIVIL AVIATION,AAI,GOA,2010-05-01,2012-05-01,,335.61,318,305.59,,,,,0/0,untitled/10col,44
2016-10-01,N04000071,6,SUPPLY OF 56 NOS AIRFIELD FIRE TENDERS AT VARIOUS AIRPORTS,CIVIL AVIATION,AAI,MULTI STATE,2012-10-01,2015-03-01,,217.6,244.1,66.65,,,,,0/0,untitled/10col,44
2016-10-01,N04000050,7,CONSTRUCTION OF NEW AIRPORT AT PAKYONG(SIKKIM) AIRPORT,CIVIL AVIATION,AAI,SIKKIM,2009-01-01,2011-01-01,2017-09-01,309.46,309.46,440.65,,,,80(O),0/0,untitled/10col,44
2016-10-01,N04000073,8,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",CIVIL AVIATION,AAI,ANDAMAN & NICOBAR ISLANDS,2013-10-01,2018-09-01,2018-09-01,314.61,314.61,26.35,,,,0(O),0/0,untitled/10col,44
2016-10-01,N06000025,9,JALLARAM SHAFT PROJECT,COAL,SCCL,TELANGANA,2007-09-01,2013-03-01,,467.78,467.78,2.85,,,,,6/83,untitled/10col,44
2016-10-01,060100092,10,KULDA OCP (MAHANADI COALFIELDS LTD),COAL,MCL,ODISHA,2005-01-01,2010-03-01,2017-03-01,302.96,302.96,321.82,,,,84(O),8/10,untitled/10col,44
2016-10-01,060100093,11,GEVRA EXPANSION OCP (SECL) (35-70) MTY,COAL,SECL,CHHATISGARH,2010-06-01,2023-03-01,2023-03-01,11816.4,11816.4,2120.66,,,,0(O),11/16,untitled/10col,44
2016-10-01,N06000008,12,KUSMUNDA EXPN.OCP(SECL)(15-50)MTY,COAL,SECL,CHHATISGARH,2013-08-01,2023-03-01,2023-03-01,7612.33,7612.33,925.19,,7612.33,2023-03-01,0(O),2/18,untitled/10col,44
2016-10-01,N06000015,13,MAGADH OC 20 MTY (CCL),COAL,CCL,JHARKHAND,2008-08-01,2012-07-01,2021-03-01,706.4,706.4,79.5,,,2017-03-01,104(O),1/3,untitled/10col,44
2016-10-01,N06000017,14,SHANTIKHANI LONGWALL PROJ-SCCL,COAL,SCCL,TELANGANA,2006-10-01,2012-03-01,2018-03-01,249.03,249.03,122.12,,,,72(O),32/42,untitled/10col,44
2016-10-01,N06000020,15,JHANJRA COMBINED PR(3.50 MTY),COAL,ECL,WEST BENGAL,2015-11-01,2022-03-01,2022-03-01,602.86,602.86,193.77,,,,0(O),4/8,untitled/10col,44
2016-10-01,N06000033,16,"NIGAHI OC EXPANSION PROJECT 10 MTY TO 15 MTY, SINGRAULI",COAL,NCL,MADHYA PRADESH,2007-10-01,2012-03-01,2017-03-01,259.4,486.57,226.46,,486.57,2018-03-01,60(O),1/1,untitled/10col,44
2016-10-01,N06000044,17,"BALRAM OCP EXTENSION,MCL 8.00 MTY",COAL,MCL,ODISHA,2007-12-01,2010-03-01,2019-03-01,172.08,172.08,222.67,,,,108(O),2/4,untitled/10col,44
2016-10-01,N06000045,18,PELMA OCP(15.00MTY),COAL,SECL,CHHATISGARH,2014-11-01,2023-03-01,2023-03-01,1624.59,1624.59,5.61,,1624.59,2023-03-01,0(O),1/10,untitled/10col,45
2016-10-01,N06000048,19,KAKATIYA LONGWALL,COAL,SCCL,TELANGANA,2008-12-01,2012-12-01,2017-03-01,453.63,453.63,122.22,,,,51(O),11/44,untitled/10col,45
2016-10-01,N06000049,20,RAMPUR BATURA OCP (4.0 MTY),COAL,SECL,MADHYA PRADESH,2015-08-01,2023-03-01,2023-03-01,1186.64,1186.64,18.01,,,,0(O),2/10,untitled/10col,45
