report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2014-10-01,N02000010,1,KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4,ATOMIC ENERGY,NPCIL,GUJARAT,2009-10-01,2015-12-01,2017-10-01,11459,11459,5572,,,,22(O),4/70,consolidated,47
2014-10-01,020100040,2,KUDANKULAM APP (NPCIL),ATOMIC ENERGY,NPCIL,TAMIL NADU,2001-12-01,2008-12-01,2015-03-01,13171,17270,17975,,17270,2013-10-01,75(O),40/102,consolidated,47
2014-10-01,020100044,3,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",ATOMIC ENERGY,BHAVNI,TAMIL NADU,2003-09-01,2010-09-01,2015-03-01,3492,5677,4754.19,,5677,2015-03-01,54(O),12/88,consolidated,47
2014-10-01,N02000027,4,RAJASTHAN ATOMIC POWER PROJECT -7 AND 8 (2X700 MW),ATOMIC ENERGY,NPCIL,RAJASTHAN,2009-10-01,2016-12-01,2018-04-01,12320,12320,3410,,,,16(O),4/69,consolidated,47
2014-10-01,N04000050,5,C/O NEW AIRPORT AT PAKYONG(SIKKIM) AIRPORT,CIVIL AVIATION,AAI,SIKKIM,2009-01-01,2011-01-01,2016-06-01,309.46,309.46,311.25,,,2013-04-01,65(O),0/0,consolidated,47
2014-10-01,N04000073,6,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",CIVIL AVIATION,AAI,ANDAMAN & NICOBAR ISLANDS,2013-10-01,,,314.61,314.61,16.59,,,,,0/0,consolidated,47
2014-10-01,N04000069,7,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BUILDING(GOA),CIVIL AVIATION,AAI,GOA,2010-05-01,2012-05-01,2014-11-01,335.61,388.53,285,,335.61,,30(O),0/0,consolidated,47
2014-10-01,N04000070,8,DEVELOPMENT OF CHANDIGARH INTERNATIONAL AIRPORT(MOHALI) PH - II,CIVIL AVIATION,AAI,CHANDIGARH,2011-02-01,2015-03-01,2015-02-01,452,452,321.56,,,,-1(O),0/0,consolidated,47
2014-10-01,N04000072,9,ESTABLISHMENT OF AIRPORT OPERATIONS CONTROL CENTRES AT 10 AIRPORTS,CIVIL AVIATION,AAI,MULTI STATE,2010-02-01,2014-03-01,2015-01-01,344.28,344.28,19.61,,,,10(O),0/0,consolidated,47
2014-10-01,N04000065,10,GAGAN PROJECT,CIVIL AVIATION,AAI,MULTI STATE,2008-09-01,2013-06-01,2013-06-01,626,626,499.08,,,,,0/0,consolidated,47
2014-10-01,N04000071,11,SUPPLY OF 56 NOS AIRFIELD FIRE TENDERS AT VARIOUS AIRPORTS,CIVIL AVIATION,AAI,MULTI STATE,2012-10-01,2015-03-01,2016-03-01,217.6,217.6,0.04,,,,12(O),0/0,consolidated,47
2014-10-01,N06000016,12,ADRIYALA SHAFT PROJECT,COAL,SCCL,TELANGANA,2009-12-01,2013-03-01,2015-09-01,212.34,1228.39,1248.89,,1228.39,2012-09-01,30(O),21/22,consolidated,47
2014-10-01,N06000082,13,AMLAI OC EXPANSION SECTOR B (1.50 MTY),COAL,SECL,CHHATISGARH,2009-11-01,2016-03-01,2016-03-01,150.59,198.59,94.9,,,,0(O),2/7,consolidated,47
2014-10-01,N06000010,14,"AMLOHRI EPR (NCL) (6 MTY , INCR.)",COAL,NCL,MADHYA PRADESH,2009-12-01,2016-03-01,2016-03-01,1352.04,1143.54,664.83,,1143.54,2016-03-01,0(O),0/4,consolidated,47
2014-10-01,N06000103,15,AMRAPALI OC(12MTY),COAL,CCL,JHARKHAND,2012-02-01,2020-03-01,2020-03-01,858.11,858.11,97.36,,,,0(O),0/3,consolidated,47
2014-10-01,N06000067,16,ANANTA OC EXPANSION PH-III (15.0 MTY),COAL,MCL,ODISHA,2008-08-01,2012-03-01,2017-03-01,207.28,207.28,171.09,,,,60(O),4/5,consolidated,47
2014-10-01,060100096,17,ASHOK EXPN.OCP -CCL (10 MTY),COAL,CCL,JHARKHAND,2007-12-01,2011-03-01,2017-03-01,471.66,341.63,103.34,,341.63,,72(O),0/2,consolidated,48
2014-10-01,N06000044,18,"BALRAM OCP EXTENSION,MCL 8.00 MTY",COAL,MCL,ODISHA,2007-12-01,2010-03-01,2017-03-01,172.08,172.08,147.28,,,,84(O),3/4,consolidated,48
2014-10-01,N06000099,19,BAROUD OC EXPANSION (RCE)- 3MTY,COAL,SECL,CHHATISGARH,2012-04-01,2016-03-01,2016-03-01,258.56,258.56,60.25,,,,0(O),0/6,consolidated,48
2014-10-01,N06000112,20,BASUNDHARA (WEST) OC EXTN(7.00 MTY),COAL,MCL,ODISHA,2014-05-01,2019-03-01,2019-03-01,479.15,479.15,,,,,0(O),1/8,consolidated,48
2014-10-01,N06000049,21,BATURA OCP (2.0 MTY),COAL,SECL,MADHYA PRADESH,2008-09-01,2015-03-01,2015-03-01,203.82,203.82,,,,,0(O),1/6,consolidated,48
2014-10-01,N06000034,22,"BHUBANESWARI OCP, MCL (20.0 MTY)",COAL,MCL,ODISHA,2007-12-01,2017-03-01,2017-03-01,490,490.1,183.86,,,,0(O),3/11,consolidated,48
2014-10-01,N06000111,23,BIJARI OC RCE (1.50 MTY),COAL,SECL,CHHATISGARH,2014-05-01,2020-03-01,2020-03-01,164.49,164.49,22.1,,,,0(O),0/0,consolidated,48
2014-10-01,N06000009,24,BLOCK-B OCP NCL (3.5 MTY),COAL,NCL,MADHYA PRADESH,2011-06-01,2015-03-01,2015-03-01,746.04,535.1,280.76,,,,0(O),0/3,consolidated,48
2014-10-01,N06000104,25,CHHAL OC SEAM -III (6.00 MTY),COAL,SECL,CHHATISGARH,2013-12-01,2022-03-01,2022-03-01,610.33,610.33,,,,,0(O),0/7,consolidated,48
2014-10-01,N06000046,26,CHURCHA ROUG(1.35MTY),COAL,SECL,CHHATISGARH,2008-06-01,2014-03-01,2016-03-01,462.35,462.35,273,,,,24(O),2/9,consolidated,48
2014-10-01,N06000083,27,CHURI BENTI UG (0.81 MTY),COAL,CCL,JHARKHAND,2007-08-01,2011-03-01,2016-03-01,163.51,163.51,35.52,,,,60(O),0/2,consolidated,48
2014-10-01,060100094,28,DIPKA EXPANSION OCP (SECL) (20-25) MTY,COAL,SECL,CHHATISGARH,2009-12-01,2014-03-01,2016-03-01,1943.66,1943.66,1571.43,,,,24(O),6/13,consolidated,48
2014-10-01,060100093,29,GEVRA EXPANSION OCP (SECL) (25-35) MTY,COAL,SECL,CHHATISGARH,2010-06-01,2014-03-01,2016-03-01,2675.67,2675.67,1596.14,,,,24(O),10/16,consolidated,48
2014-10-01,N06000042,30,GOPAL PRASAD OCP (15MTY),COAL,MCL,ODISHA,2008-02-01,2015-03-01,2021-03-01,395.87,395.87,76.74,,,,72(O),1/12,consolidated,48
2014-10-01,N06000068,31,HINGULA OC-II EXP. PH-III (15 MTY),COAL,MCL,ODISHA,2008-11-01,2013-03-01,2017-03-01,479.63,479.63,118.51,,,,48(O),2/7,consolidated,48
2014-10-01,N06000114,32,JAGANNATH RE-ORGANISATION OC.(6.00 MTY),COAL,MCL,ODISHA,2014-05-01,2019-03-01,2019-03-01,337.66,337.66,,,,,0(O),2/5,consolidated,48
2014-10-01,N06000075,33,JAGANNATHPOR OC,COAL,SECL,CHHATISGARH,2008-09-01,2015-03-01,2017-03-01,152.43,152.43,21.55,,,,24(O),1/7,consolidated,48
2014-10-01,N06000094,34,JALAGAM VENGALA RAO OCP-II,COAL,SCCL,TELANGANA,2011-07-01,2015-03-01,2018-03-01,447.06,447.06,29.03,,,,36(O),4/31,consolidated,48
2014-10-01,N06000025,35,JALLARAM SHAFT PROJECT,COAL,SCCL,TELANGANA,2007-09-01,2013-03-01,,467.78,467.78,2.85,,,,,6/83,consolidated,48
2014-10-01,N06000020,36,JHANJRA R-VI SEAM PSLW,COAL,ECL,WEST BENGAL,2006-11-01,2011-03-01,2017-03-01,287.18,287.17,44.71,,,,72(O),0/1,consolidated,48
2014-10-01,N06000048,37,KAKATIYA LONGWALL,COAL,SCCL,TELANGANA,2008-12-01,2012-12-01,2015-03-01,453.63,453.63,105.41,,,,27(O),11/44,consolidated,48
2014-10-01,N06000101,38,KALYANIKHANI OPENCAST PROJECT,COAL,SCCL,TELANGANA,2012-07-01,2016-07-01,2017-03-01,417.33,417.33,2.22,,,,8(O),3/39,consolidated,48
2014-10-01,N06000035,39,"KANIHA OCP, MCL, (10.0 MTY)",COAL,MCL,ODISHA,2007-12-01,2013-03-01,2017-03-01,457.77,457.77,120.75,,,,48(O),3/9,consolidated,48
2014-10-01,N06000108,40,KAPURIA UG(PSLW),COAL,BCCL,JHARKHAND,2011-08-01,2017-04-01,2017-04-01,988.35,988.35,6.84,,,,0(O),0/0,consolidated,48
2014-10-01,N06000088,41,KARMA OCP (1.0MTY),COAL,CCL,JHARKHAND,2009-06-01,2014-03-01,2017-03-01,162.46,162.46,56.22,,,,36(O),0/2,consolidated,48
2014-10-01,N06000076,42,KARTALI (EAST) OCP (2.50 MTY),COAL,SECL,CHHATISGARH,2008-07-01,2014-03-01,2016-03-01,178.44,178.44,,,,,24(O),1/7,consolidated,48
2014-10-01,N06000091,43,"KHADIA EXPANSION OPENCAST PROJECT(4 TO 10 MTPA,6MTPA INCREMENTAL)",COAL,NCL,UTTAR PRADESH,2011-06-01,2018-03-01,2018-03-01,1131.28,1131.28,43.25,,,,0(O),0/4,consolidated,49
2014-10-01,N06000089,44,KISTARAM OCP,COAL,SCCL,TELANGANA,2010-11-01,2015-03-01,2018-03-01,242.29,242.29,0.3,,,,36(O),0/28,consolidated,49
2014-10-01,N06000007,45,KRISHNASHILA (NCL) (4MTY),COAL,NCL,UTTAR PRADESH,2011-06-01,2013-03-01,2014-03-01,789.88,741.62,404.39,,,,,0/2,consolidated,49
2014-10-01,N06000115,46,KULDA EXPN OC. (5.00 MTY),COAL,MCL,ODISHA,2014-06-01,2018-03-01,2018-03-01,289.03,289.03,,,,,0(O),0/5,consolidated,49
2014-10-01,060100092,47,KULDA OCP (MAHANADI COALFIELDS LTD),COAL,MCL,ODISHA,2005-01-01,2010-03-01,2017-03-01,302.96,302.96,131.24,,,,84(O),8/10,consolidated,49
