report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2014-04-01,N02000010,1,KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4,ATOMIC ENERGY,NPCIL,GUJARAT,2009-10-01,2015-12-01,2016-11-01,11459,11459,4551,,,,11(O),4/70,consolidated,54
2014-04-01,020100040,2,KUDANKULAM APP (NPCIL),ATOMIC ENERGY,NPCIL,TAMIL NADU,2001-12-01,2008-12-01,2015-03-01,13171,17270,17562,,,,75(O),40/102,consolidated,54
2014-04-01,020100044,3,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",ATOMIC ENERGY,BHAVNI,TAMIL NADU,2003-09-01,2010-09-01,2015-03-01,3492,5677,4564.17,,,,54(O),12/88,consolidated,54
2014-04-01,N02000027,4,RAJASTHAN ATOMIC POWER PROJECT -7 AND 8 (2X700 MW),ATOMIC ENERGY,NPCIL,RAJASTHAN,2009-10-01,2016-12-01,2017-03-01,12320,12320,2933,,,,3(O),4/69,consolidated,54
2014-04-01,N04000037,5,C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT,CIVIL AVIATION,AAI,WEST BENGAL,2008-08-01,2011-05-01,2013-03-01,1942.51,2593.13,2573.92,,2325,,,0/2,consolidated,54
2014-04-01,N04000050,6,C/O NEW AIRPORT AT PAKYONG(SIKKIM) AIRPORT,CIVIL AVIATION,AAI,SIKKIM,2009-01-01,2011-01-01,2016-12-01,309.46,309.46,269.55,,,2013-04-01,71(O),0/0,consolidated,54
2014-04-01,N04000069,7,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BUILDING(GOA),CIVIL AVIATION,AAI,GOA,2010-05-01,2012-05-01,2014-04-01,335.61,388.53,278.88,,335.61,,23(O),0/0,consolidated,54
2014-04-01,N04000038,8,D/O KAMARAJ DOMESTIC TER-PH-II AND EXP. ANNA INT. TER BLDG(K1),CIVIL AVIATION,AAI,TAMIL NADU,2008-08-01,2011-01-01,2012-02-01,1808,2015,1939.21,,2015,2012-02-01,,0/0,consolidated,54
2014-04-01,N04000070,9,DEVELOPMENT OF CHANDIGARH INTERNATIONAL AIRPORT(MOHALI) PH - II,CIVIL AVIATION,AAI,CHANDIGARH,2011-02-01,2015-03-01,2015-03-01,452,452,230.42,,,,0(O),0/0,consolidated,54
2014-04-01,N04000072,10,ESTABLISHMENT OF AIRPORT OPERATIONS CONTROL CENTRES AT 10 AIRPORTS,CIVIL AVIATION,AAI,MULTI STATE,2010-02-01,2014-03-01,2014-10-01,344.28,344.28,,,,,7(O),0/0,consolidated,54
2014-04-01,N04000065,11,GAGAN PROJECT,CIVIL AVIATION,AAI,MULTI STATE,2008-09-01,2013-06-01,2013-06-01,626,626,483.53,,,,,0/0,consolidated,54
2014-04-01,N04000071,12,SUPPLY OF 56 NOS AIRFIELD FIRE TENDERS AT VARIOUS AIRPORTS,CIVIL AVIATION,AAI,MULTI STATE,2012-10-01,2015-03-01,2015-03-01,217.6,217.6,0.04,,,,0(O),0/0,consolidated,54
2014-04-01,N06000016,13,ADRIYALA SHAFT PROJECT,COAL,SCCL,TELANGANA,2009-12-01,2013-03-01,2015-03-01,212.34,1228.39,1197.33,,1228.39,2012-09-01,24(O),19/22,consolidated,54
2014-04-01,N06000082,14,AMLAI OC EXPANSION SECTOR B (1.50 MTY),COAL,SECL,CHHATISGARH,2009-11-01,2016-03-01,2016-03-01,150.59,198.59,90.56,,,,0(O),2/7,consolidated,54
2014-04-01,N06000010,15,"AMLOHRI EPR (NCL) (6 MTY , INCR.)",COAL,NCL,MADHYA PRADESH,2009-12-01,2016-03-01,2016-03-01,1352.04,1143.54,619.15,,1143.54,2016-03-01,0(O),0/4,consolidated,54
2014-04-01,N06000103,16,AMRAPALI OC(12MTY),COAL,CCL,JHARKHAND,2012-02-01,2020-03-01,2020-03-01,858.11,858.11,95.88,,,,0(O),0/3,consolidated,54
2014-04-01,N06000067,17,ANANTA OC EXPANSION PH-III (15.0 MTY),COAL,MCL,ODISHA,2008-08-01,2012-03-01,2016-03-01,207.28,207.28,126.88,,,,48(O),5/6,consolidated,55
2014-04-01,060100096,18,ASHOK EXPN.OCP -CCL (10 MTY),COAL,CCL,JHARKHAND,2007-12-01,2011-03-01,2014-03-01,471.66,341.63,99,,341.63,,,0/2,consolidated,55
2014-04-01,N06000044,19,"BALRAM OCP EXTENSION,MCL 8.00 MTY",COAL,MCL,ODISHA,2007-12-01,2010-03-01,2016-03-01,172.08,172.08,131.41,,,,72(O),3/4,consolidated,55
2014-04-01,N06000099,20,BAROUD OC EXPANSION (RCE)- 3MTY,COAL,SECL,CHHATISGARH,2012-04-01,2016-03-01,2016-03-01,258.56,258.56,55.25,,,,0(O),0/6,consolidated,55
2014-04-01,N06000049,21,BATURA OCP (2.0 MTY),COAL,SECL,MADHYA PRADESH,2008-09-01,2015-03-01,2015-03-01,203.82,203.82,,,,,0(O),1/6,consolidated,55
2014-04-01,N06000034,22,"BHUBANESWARI OCP, MCL (20.0 MTY)",COAL,MCL,ODISHA,2007-12-01,2017-03-01,2017-03-01,490,490.1,160.06,,,,0(O),4/12,consolidated,55
2014-04-01,N06000019,23,BINA EXTN. PROJ(6.0 MTPA),COAL,NCL,MULTI STATE,2006-11-01,2014-03-01,2014-03-01,168.97,168.97,43.09,,,,,0/2,consolidated,55
2014-04-01,N06000009,24,BLOCK-B OCP NCL (3.5 MTY),COAL,NCL,MADHYA PRADESH,2011-06-01,2015-03-01,2015-03-01,746.04,535.1,227.23,,,,0(O),0/3,consolidated,55
2014-04-01,N06000104,25,CHHAL OC SEAM -III (6.00 MTY),COAL,SECL,CHHATISGARH,2013-12-01,2022-03-01,2022-03-01,610.33,610.33,,,,,0(O),0/0,consolidated,55
2014-04-01,N06000046,26,CHURCHA ROUG(1.35MTY),COAL,SECL,CHHATISGARH,2008-06-01,2014-03-01,2016-03-01,462.35,462.35,273.86,,,,24(O),2/8,consolidated,55
2014-04-01,N06000083,27,CHURI BENTI UG (0.81 MTY),COAL,CCL,JHARKHAND,2007-08-01,2011-03-01,2016-03-01,163.51,163.51,35.52,,,,60(O),0/2,consolidated,55
2014-04-01,060100094,28,DIPKA EXPANSION OCP (SECL) (20-25) MTY,COAL,SECL,CHHATISGARH,2009-12-01,2014-03-01,2016-03-01,1943.66,1943.66,1439.04,,,,24(O),6/12,consolidated,55
2014-04-01,060100093,29,GEVRA EXPANSION OCP (SECL) (25-35) MTY,COAL,SECL,CHHATISGARH,2010-06-01,2014-03-01,2016-03-01,2675.67,2675.67,1644.36,,,,24(O),10/15,consolidated,55
2014-04-01,N06000042,30,GOPAL PRASAD OCP (15MTY),COAL,MCL,ODISHA,2008-02-01,2015-03-01,2015-03-01,395.87,395.87,75.42,,,,0(O),1/13,consolidated,55
2014-04-01,N06000068,31,HINGULA OC-II EXP. PH-III (15 MTY),COAL,MCL,ODISHA,2008-11-01,2013-03-01,2015-03-01,479.63,479.63,120.15,,,,24(O),3/8,consolidated,55
2014-04-01,N06000075,32,JAGANNATHPOR OC,COAL,SECL,CHHATISGARH,2008-09-01,2015-03-01,2017-03-01,152.43,152.43,,,,,24(O),1/7,consolidated,55
2014-04-01,N06000094,33,JALAGAM VENGALA RAO OCP-II,COAL,SCCL,TELANGANA,2011-07-01,2015-03-01,2015-03-01,447.06,447.06,29.03,,,,0(O),4/31,consolidated,55
2014-04-01,N06000025,34,JALLARAM SHAFT PROJECT,COAL,SCCL,TELANGANA,2007-09-01,2013-03-01,,467.78,467.78,12.31,,,,,6/83,consolidated,55
2014-04-01,N06000020,35,JHANJRA R-VI SEAM PSLW,COAL,ECL,WEST BENGAL,2006-11-01,2011-03-01,2017-03-01,287.18,287.17,36.52,,,,72(O),0/2,consolidated,55
2014-04-01,N06000048,36,KAKATIYA LONGWALL,COAL,SCCL,TELANGANA,2008-12-01,2012-12-01,2016-03-01,453.63,453.63,101.83,,,,39(O),11/44,consolidated,55
2014-04-01,N06000101,37,KALYANIKHANI OPENCAST PROJECT,COAL,SCCL,TELANGANA,2012-07-01,2016-07-01,2016-07-01,417.33,417.33,0.27,,,,0(O),3/39,consolidated,55
2014-04-01,N06000035,38,"KANIHA OCP, MCL, (10.0 MTY)",COAL,MCL,ODISHA,2007-12-01,2013-03-01,2015-03-01,457.77,457.77,116.72,,,,24(O),5/10,consolidated,55
2014-04-01,N06000088,39,KARMA OCP (1.0MTY),COAL,CCL,JHARKHAND,2009-06-01,2014-03-01,2014-03-01,162.46,162.46,45.34,,,,,0/2,consolidated,55
2014-04-01,N06000076,40,KARTALI (EAST) OCP (2.50 MTY),COAL,SECL,CHHATISGARH,2008-07-01,2014-03-01,2016-03-01,178.44,178.44,,,,,24(O),1/7,consolidated,55
2014-04-01,N06000091,41,"KHADIA EXPANSION OPENCAST PROJECT(4 TO 10 MTPA,6MTPA INCREMENTAL)",COAL,NCL,UTTAR PRADESH,2011-06-01,2018-03-01,2018-03-01,1131.28,1131.28,25,,,,0(O),0/4,consolidated,55
2014-04-01,N06000089,42,KISTARAM OCP,COAL,SCCL,TELANGANA,2010-11-01,2015-03-01,2015-03-01,242.29,242.29,,,,,0(O),0/28,consolidated,56
2014-04-01,N06000007,43,KRISHNASHILA (NCL) (4MTY),COAL,NCL,UTTAR PRADESH,2011-06-01,2013-03-01,2014-03-01,789.88,741.62,392.24,,,,,0/2,consolidated,56
2014-04-01,060100092,44,KULDA OCP (MAHANADI COALFIELDS LTD),COAL,MCL,ODISHA,2005-01-01,2010-03-01,2017-03-01,302.96,302.96,118.59,,,,84(O),9/10,consolidated,56
2014-04-01,N06000008,45,KUSMUNDA EXPN.OCP(SECL)(10-15)MTY,COAL,SECL,CHHATISGARH,2008-06-01,2013-03-01,2023-03-01,1188.31,7612.33,747.82,,7612.33,2023-03-01,120(O),0/9,consolidated,56
2014-04-01,N06000015,46,MAGADH OC 20 MTY (CCL),COAL,CCL,JHARKHAND,2008-08-01,2012-07-01,2016-03-01,469.78,706.4,44.65,,,,44(O),0/3,consolidated,56
2014-04-01,N06000081,47,MANIKPUR OC EXPANSION (3.5 MTY),COAL,SECL,CHHATISGARH,2009-12-01,2014-03-01,2016-03-01,321.42,321.5,214.19,,,,24(O),1/6,consolidated,56
2014-04-01,N06000080,48,MANUGURU OC-II EXTENSION PHASE-II,COAL,SCCL,TELANGANA,2010-03-01,2012-03-01,2015-03-01,181.19,181.19,35.35,,,,36(O),4/6,consolidated,56
2014-04-01,N06000098,49,MOONIDIH XV SEAM UG,COAL,BCCL,JHARKHAND,2011-08-01,2015-04-01,2015-04-01,1230.27,1230.27,,,,,0(O),0/0,consolidated,56
2014-04-01,N06000096,50,MURAIDIH UG TURN-KEY PROJECT,COAL,BCCL,JHARKHAND,2011-02-01,2014-04-01,2014-04-01,339.88,339.88,,,,,0(O),0/0,consolidated,56
2014-04-01,N06000095,51,NEYVELI NEW THERMAL POWER PROJECT(2X500 MW),COAL,NLC,TAMIL NADU,2011-06-01,2015-12-01,2018-04-01,5907.11,5907.11,340.71,,,,28(O),5/33,consolidated,56
2014-04-01,N06000033,52,"NIGAHI OC EXPANSION PROJECT 10 MTY TO 15 MTY, SINGRAULI",COAL,NCL,MADHYA PRADESH,2007-10-01,2012-03-01,2015-03-01,259.4,259.4,6.99,,,,36(O),0/2,consolidated,56
2014-04-01,N06000084,53,NORTH URIMARI OCP (3.0 MTY),COAL,CCL,JHARKHAND,2007-12-01,2012-03-01,2017-03-01,179.87,179.87,59.08,,,,60(O),0/2,consolidated,56
2014-04-01,N06000045,54,PELMA OCP(10.00MTY),COAL,SECL,CHHATISGARH,2008-07-01,2015-03-01,2015-03-01,448.32,448.32,,,,,0(O),1/1,consolidated,56
2014-04-01,N06000066,55,PENGANGA OC,COAL,WCL,MAHARASHTRA,2008-10-01,2014-03-01,2016-03-01,339.77,339.77,1.43,,,,24(O),0/1,consolidated,56
2014-04-01,N06000085,56,PURNADIH OCP (3.0 MTY),COAL,CCL,JHARKHAND,2008-07-01,2013-03-01,2015-03-01,210.98,210.98,120.97,,,,24(O),0/3,consolidated,56
2014-04-01,N06000056,57,RAJMAHAL OC EXP.,COAL,ECL,JHARKHAND,2009-09-01,2014-03-01,2016-03-01,153.82,153.82,33.46,,,,24(O),0/2,consolidated,56
2014-04-01,N06000087,58,RAJRAPPA RCE OCP ( 3.0 MTY),COAL,CCL,JHARKHAND,2009-12-01,2016-03-01,2016-03-01,510.85,510.85,219.03,,,,0(O),0/2,consolidated,56
2014-04-01,N06000078,59,RAMAGUNDAM OC-II EXTENSION,COAL,SCCL,TELANGANA,2009-12-01,2012-03-01,2015-03-01,418.97,418.97,221.35,,,,36(O),24/27,consolidated,56
2014-04-01,N06000093,60,RCE OF INDARAM OCP(1.20 MTPA),COAL,SCCL,TELANGANA,2011-07-01,2015-03-01,2015-03-01,162.76,162.76,2.48,,,,0(O),4/29,consolidated,56
2014-04-01,N06000102,61,RFR OF MANUGURU OC PROJECT,COAL,SCCL,TELANGANA,2012-11-01,2016-03-01,2016-03-01,430.14,430.14,65.51,,,,0(O),5/48,consolidated,56
2014-04-01,N06000100,62,RG OC -III EXTENSION (PHASE -II) PROJECT,COAL,SCCL,TELANGANA,2012-06-01,2015-06-01,2015-06-01,365.01,365.01,5.43,,,,0(O),2/51,consolidated,56
