report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2015-10-01,N02000010,1,KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4,ATOMIC ENERGY,NPCIL,GUJARAT,2009-10-01,2015-12-01,2017-10-01,11459,11459,6555,,,,22(O),7/70,consolidated,55
2015-10-01,020100040,2,KUDANKULAM APP (NPCIL),ATOMIC ENERGY,NPCIL,TAMIL NADU,2001-12-01,2008-12-01,,13171,17270,,,,,,42/102,consolidated,55
2015-10-01,020100044,3,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",ATOMIC ENERGY,BHAVNI,TAMIL NADU,2003-09-01,2010-09-01,2016-09-01,3492,5677,5071.96,,5677,2016-09-01,72(O),12/88,consolidated,55
2015-10-01,N02000027,4,RAJASTHAN ATOMIC POWER PROJECT -7 AND 8 (2X700 MW),ATOMIC ENERGY,NPCIL,RAJASTHAN,2009-10-01,2016-12-01,2018-05-01,12320,12320,5171,,,,17(O),4/69,consolidated,55
2015-10-01,N04000050,5,CONSTRUCTION OF NEW AIRPORT AT PAKYONG(SIKKIM) AIRPORT,CIVIL AVIATION,AAI,SIKKIM,2009-01-01,2011-01-01,2017-09-01,309.46,309.46,402.44,,,2016-06-01,80(O),0/0,consolidated,55
2015-10-01,N04000073,6,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",CIVIL AVIATION,AAI,ANDAMAN & NICOBAR ISLANDS,2013-10-01,,2018-09-01,314.61,314.61,18.02,,,,,0/0,consolidated,55
2015-10-01,N04000069,7,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BUILDING(GOA),CIVIL AVIATION,AAI,GOA,2010-05-01,2012-05-01,2015-03-01,335.61,318,305.01,,,,,0/0,consolidated,55
2015-10-01,N04000072,8,ESTABLISHMENT OF AIRPORT OPERATIONS CONTROL CENTRES AT 10 AIRPORTS,CIVIL AVIATION,AAI,MULTI STATE,2010-02-01,2014-03-01,2015-05-01,344.28,344.28,80.6,,,,,0/0,consolidated,55
2015-10-01,N04000071,9,SUPPLY OF 56 NOS AIRFIELD FIRE TENDERS AT VARIOUS AIRPORTS,CIVIL AVIATION,AAI,MULTI STATE,2012-10-01,2015-03-01,2015-09-01,217.6,244.1,30.67,,,,,0/0,consolidated,55
2015-10-01,N06000133,10,ADASA UG TO OC,COAL,WCL,MAHARASHTRA,2015-08-01,2023-03-01,2023-03-01,288.9,288.9,,,,,0(O),2/15,consolidated,55
