report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2020-04-01,N02000010,1,KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4,ATOMIC ENERGY,NPCIL,GUJARAT,2009-10-01,2015-12-01,2021-09-01,11459,16580,14766,,,,69(O),54/70,consolidated,68
2020-04-01,N02000027,2,RAJASTHAN ATOMIC POWER PROJECT -7 AND 8 (2X700 MW),ATOMIC ENERGY,NPCIL,RAJASTHAN,2009-10-01,2016-12-01,2023-03-01,12320,17079,11852,,,,75(O),41/68,consolidated,68
2020-04-01,020100044,3,PROTOTYPE FAST BREEDER REACTOR (BHAVINI 500 MWE),ATOMIC ENERGY,BHAVNI,TAMIL NADU,2003-09-01,2010-09-01,2022-10-01,3492,6840,5872.78,,5677,2016-09-01,145(O),83/87,consolidated,68
2020-04-01,N02000028,4,KUDANKULAM NUCLEAR POWER PROJECT UNIT-3 and 4,ATOMIC ENERGY,NPCIL,"TAMIL NADU, Central Sector Projects",2013-03-01,2020-11-01,2023-11-01,39849,39849,18566,,,,36(O),26/76,consolidated,68
2020-04-01,N04000073,5,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT PORTBLAIR,CIVIL AVIATION,AAI,A & N ISLANDS,2013-10-01,2018-09-01,2020-06-01,314.61,441.33,85.79,,,,21(O),0/0,consolidated,68
2020-04-01,N04000083,6,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT LGBI AIRPORT GUWAHATI,CIVIL AVIATION,AAI,ASSAM,2016-12-01,2021-03-01,2021-03-01,859.86,860,232.44,,,,0(O),0/0,consolidated,68
2020-04-01,N04000082,7,CONSTRUCTION OF NEW DORNESTIC TERMINAL BUILDING AND OTHER STRUCTURES PHASE I AND II,CIVIL AVIATION,AAI,BIHAR,2018-05-01,2022-10-01,2022-10-01,539.2,539.2,25.64,,,,0(O),0/0,consolidated,68
2020-04-01,N04000076,8,CONSTRUCTION OF COMBINED OPERATIONAL OFFICES FOR DGCA BCAS AAIB AERA AND AAI AT SAFDARJUNG AIRPOR,CIVIL AVIATION,AAI,DELHI,2016-11-01,2020-04-01,2020-12-01,233.38,233.38,84.73,,,,8(O),0/0,consolidated,68
2020-04-01,N04000078,9,CONSTRUCTION OF TERMINAL BUILDING AND ASSOCIATED WORKS AT LEH AIRPORT,CIVIL AVIATION,AAI,JAMMU AND KASHMIR,2018-07-01,2021-09-01,2021-09-01,323.19,323.19,10.14,,,,0(O),0/0,consolidated,68
2020-04-01,N04000079,10,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING RECONSTRUCTION OF OLD TERMINAL BUILDING MODIFICAT,CIVIL AVIATION,AAI,MAHARASHTRA,2017-03-01,2021-04-01,2021-04-01,358.89,358.89,29.73,,,,0(O),0/0,consolidated,68
2020-04-01,N04000074,11,MODERNIZATION OF CHENNAI AIRPORT PHASE II CHENNAI,CIVIL AVIATION,AAI,TAMIL NADU,2018-06-01,2022-02-01,2022-08-01,2467,2467,213.17,,,,6(O),0/0,consolidated,68
2020-04-01,N04000075,12,UPGRADATION OF PASSENGER TERMINAL BUILDING AND AIRSIDE FACILITIES AT TIRUCHIRAPALLI INTERNATIONAL AI,CIVIL AVIATION,AAI,TAMIL NADU,2018-08-01,2021-10-01,2021-10-01,951.28,951.28,71.55,,,,0(O),0/0,consolidated,68
2020-04-01,N04000084,13,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AND ASSOCIATED WORKS AT AGARTALA AIRPORT,CIVIL AVIATION,AAI,TRIPURA,2015-09-01,2019-06-01,,338.93,339,213.5,,,,,0/0,consolidated,68
2020-04-01,N04000077,14,CCS INTERNATIONAL AIRPORT LUCKNOW,CIVIL AVIATION,AAI,UTTAR PRADESH,2018-06-01,2021-09-01,2021-09-01,1383,1383,210.62,,,,0(O),0/0,consolidated,68
2020-04-01,N04000085,15,CONSTRUCTION OF DOMESTIC PASSENGER TERMINAL BUILDING AT DEHRADUN AIRPORT DEHRADUN,CIVIL AVIATION,AAI,UTTARAKHAND,2018-07-01,2020-09-01,2020-09-01,353.27,353.27,114.29,,,,0(O),0/0,consolidated,69
2020-04-01,N04000080,16,CONSTRUCTION OF ATC TOWER AND TECHNICAL BLOCK AT NSCBI AIRPORT KOLKATA,CIVIL AVIATION,AAI,WEST BENGAL,2016-01-01,2020-03-01,2020-12-01,219.91,219.91,65.45,,,,9(O),0/0,consolidated,69
2020-04-01,N04000081,17,AIRSIDE CAPACITY ENHANCEMENT OF NSBI AIRPORT KOLKATA,CIVIL AVIATION,AAI,WEST BENGAL,2019-01-01,2021-11-01,2021-11-01,264.99,264.99,0.42,,,,0(O),0/0,consolidated,69
2020-04-01,060100093,18,GEVRA EXPANSION OCP (SECL) (35-70) MTY,COAL,SECL,CHHATISGARH,2010-06-01,2023-03-01,2023-03-01,11816.4,11816.4,2924.87,,,2016-03-01,0(O),14/21,consolidated,69
2020-04-01,N06000008,19,KUSMUNDA EXPN.OCP(SECL)(15-50)MTY,COAL,SECL,CHHATISGARH,2013-08-01,2023-03-01,2023-03-01,7612.33,7612.33,2317.67,,,,0(O),7/22,consolidated,69
2020-04-01,N06000045,20,PELMA OCP(15.00MTY),COAL,SECL,CHHATISGARH,2014-11-01,2023-03-01,2023-03-01,1624.59,1624.59,6.58,,,,0(O),1/12,consolidated,69
2020-04-01,N06000075,21,JAGANNATHPOR OCP(3.00MTY),COAL,SECL,CHHATISGARH,2008-09-01,2015-03-01,2022-03-01,152.43,459.49,195.93,,459.49,2020-03-01,84(O),6/11,consolidated,69
2020-04-01,N06000076,22,KARTALI (EAST) OCP (2.50 MTY),COAL,SECL,CHHATISGARH,2008-07-01,2014-03-01,2022-03-01,178.44,178.44,2.92,,,,96(O),2/9,consolidated,69
2020-04-01,N06000081,23,MANIKPUR OC EXPANSION (3.5 MTY),COAL,SECL,CHHATISGARH,2009-12-01,2014-03-01,2021-03-01,321.5,321.5,198.35,,,,84(O),1/6,consolidated,69
2020-04-01,N06000099,24,BAROUD OC EXPANSION (RCE)- 3MTY,COAL,SECL,CHHATISGARH,2012-04-01,2016-03-01,2021-03-01,258.56,258.56,182.04,,,,60(O),4/8,consolidated,69
2020-04-01,N06000104,25,CHHAL OC SEAM -III (6.00 MTY),COAL,SECL,CHHATISGARH,2013-12-01,2022-03-01,2022-03-01,610.63,610.63,116.03,,,,0(O),2/11,consolidated,69
2020-04-01,N06000111,26,BIJARI OC RCE (1.50 MTY),COAL,SECL,CHHATISGARH,2014-05-01,2020-03-01,2021-03-01,164.49,164.49,82.6,,,,12(O),7/9,consolidated,69
2020-04-01,N06000123,27,AMERA OC RCE,COAL,SECL,CHHATISGARH,2015-02-01,2018-03-01,2023-03-01,335.97,335.97,51.21,,,,60(O),1/7,consolidated,69
2020-04-01,N06000135,28,AMGAON OPENCAST PROJECT RCE,COAL,SECL,CHHATISGARH,2015-07-01,2020-03-01,2023-03-01,316.1,316.1,118.13,,,,36(O),1/6,consolidated,69
2020-04-01,N06000136,29,DURGAPUR OPENCAST PROJECT,COAL,SECL,CHHATISGARH,2015-02-01,2023-03-01,2023-03-01,916.24,916.24,4.94,,,,0(O),1/11,consolidated,69
2020-04-01,N06000140,30,MADANNAGAR OPENCAST PROJECT,COAL,SECL,CHHATISGARH,2015-10-01,2024-03-01,2024-03-01,1875.32,1875.32,0,,,,0(O),1/6,consolidated,69
2020-04-01,N06000158,31,VIJAY WEST OPENCAST PROJECT,COAL,SECL,CHHATISGARH,2017-05-01,2026-03-01,2026-03-01,976.95,976.95,75.96,,,,0(O),0/2,consolidated,69
2020-04-01,N06000164,32,MAHAMAYA OPENCAST PROJECT,COAL,SECL,CHHATISGARH,2018-05-01,2026-03-01,2026-03-01,410.26,410.26,9.53,,,,0(O),0/2,consolidated,69
2020-04-01,N06000166,33,JHIRIA WEST OPENCAST PROJECT,COAL,SECL,CHHATISGARH,2018-11-01,2026-03-01,2026-03-01,389.97,389.97,0,,,,0(O),1/2,consolidated,69
2020-04-01,N06000015,34,MAGADH OC 20 MTY (CCL),COAL,CCL,JHARKHAND,2008-08-01,2012-07-01,2025-03-01,706.4,706.4,516.76,,,2025-03-01,152(O),6/6,consolidated,69
2020-04-01,N06000083,35,CHURI BENTI UG (0.81 MTY),COAL,CCL,JHARKHAND,2007-08-01,2011-03-01,2021-03-01,163.51,163.51,107.37,,,,120(O),6/6,consolidated,69
2020-04-01,N06000087,36,RAJRAPPA RCE OCP ( 3.0 MTY),COAL,CCL,JHARKHAND,2009-12-01,2016-03-01,2021-03-01,510.85,510.85,400.97,,,,60(O),6/6,consolidated,69
2020-04-01,N06000088,37,KARMA OCP (1.0MTY),COAL,CCL,JHARKHAND,2009-06-01,2014-03-01,2021-03-01,162.46,162.46,90.75,,,,84(O),6/6,consolidated,70
2020-04-01,N06000096,38,MURAIDIH UG TURN-KEY PROJECT,COAL,BCCL,JHARKHAND,2011-02-01,2014-04-01,,339.88,339.88,12.08,,,,,4/7,consolidated,70
2020-04-01,N06000098,39,MOONIDIH XV SEAM UG,COAL,BCCL,JHARKHAND,2011-08-01,2015-04-01,2022-03-01,1230.27,1230.27,425.41,,,2022-03-01,83(O),2/6,consolidated,70
2020-04-01,N06000103,40,AMRAPALI OC(12MTY),COAL,CCL,JHARKHAND,2012-02-01,2020-03-01,2024-03-01,858.11,858.11,192.47,,,2024-03-01,48(O),7/7,consolidated,70
2020-04-01,N06000106,41,NORTH TISRA AND SOUTH TISRA EXPANSION OCP (6MTY),COAL,BCCL,JHARKHAND,2014-02-01,2021-03-01,2021-03-01,555.52,555.52,5.38,,,,0(O),0/2,consolidated,70
2020-04-01,N06000108,42,KAPURIA UG(PSLW),COAL,BCCL,JHARKHAND,2011-08-01,2017-04-01,,988.35,988.35,45.26,,,,,1/3,consolidated,70
2020-04-01,N06000126,43,MADHUBAND NLW WASHERY,COAL,BCCL,JHARKHAND,2010-08-01,2014-05-01,2020-09-01,289.45,289.45,269.78,,,2020-03-01,76(O),0/8,consolidated,70
2020-04-01,N06000127,44,PATHERDIH NLW WASHERY,COAL,BCCL,JHARKHAND,2012-10-01,2014-04-01,2020-04-01,269.82,269.82,182.14,,,,72(O),0/10,consolidated,70
2020-04-01,N06000143,45,HURA - C OC (3 MTY),COAL,ECL,JHARKHAND,2015-10-01,2022-03-01,2022-03-01,359.69,359.69,119.06,,,,0(O),4/22,consolidated,70
2020-04-01,N06000169,46,CHITRA EAST (RCE) OCP,COAL,ECL,JHARKHAND,2018-08-01,2024-03-01,2024-03-01,513.98,513.98,95.22,,,,0(O),0/17,consolidated,70
2020-04-01,N06000182,47,NORTH URIMARI EXPANSION OCP,COAL,CCL,JHARKHAND,2019-03-01,2023-03-01,2023-03-01,1553.06,1553.06,204.37,,,,0(O),1/1,consolidated,70
2020-04-01,N06000186,48,TETARIAKHAR EXPANSION OCP,COAL,CCL,"JHARKHAND, Central Sector Projects",2019-11-01,2023-03-01,2023-03-01,243.52,243.52,0,,,,0(O),0/0,consolidated,70
2020-04-01,N06000122,49,AMRITDHARA OC PROJECT,COAL,SECL,MADHYA PRADESH,2015-02-01,2023-03-01,2023-03-01,481.6,481.6,0,,,,0(O),2/10,consolidated,70
2020-04-01,N06000124,50,RAJNAGAR OCP RPR (1.70 MTY),COAL,SECL,MADHYA PRADESH,2014-12-01,2021-03-01,2021-03-01,357.8,357.8,105.24,,,,0(O),3/10,consolidated,70
2020-04-01,N06000125,51,KANCHAN OC EXPANSION,COAL,SECL,MADHYA PRADESH,2014-12-01,2021-03-01,2021-03-01,371.04,371.04,47.27,,,,0(O),3/9,consolidated,70
2020-04-01,N06000134,52,BATURA HIGHWALL PROJECT,COAL,SECL,MADHYA PRADESH,2015-07-01,2022-03-01,2022-03-01,231.92,231.92,0,,,,0(O),1/9,consolidated,70
2020-04-01,N06000139,53,MALACHUA OPENCAST PROJECT,COAL,SECL,MADHYA PRADESH,2015-10-01,2023-03-01,2023-03-01,488.33,488.33,27.98,,,,0(O),0/4,consolidated,70
2020-04-01,N06000148,54,AMADAND OPENCAST EXPANSION PROJECT,COAL,SECL,MADHYA PRADESH,2016-03-01,2021-03-01,2021-03-01,869.44,869.44,120.62,,,,0(O),3/6,consolidated,70
2020-04-01,N06000153,55,COAL PROJECT NAME JAMUNIA UG (0.84 MTY),COAL,WCL,MADHYA PRADESH,2016-07-01,2022-03-01,2022-03-01,409.87,409.87,19.96,,,,0(O),0/0,consolidated,70
2020-04-01,N06000159,56,JAYANT EXPANSION OCP 10 TO 20 MTPA,COAL,NCL,"MADHYA PRADESH, Central Sector Projects",2017-05-01,2021-03-01,2021-03-01,1783.09,1783.09,310.55,,,,0(O),2/9,consolidated,70
2020-04-01,N06000162,57,DUDHICHUA EXPANSION OCP (10 TO 20 MTPA),COAL,NCL,MADHYA PRADESH,2017-11-01,2022-03-01,2022-03-01,1255.17,1255.17,123.16,,,,0(O),1/9,consolidated,70
2020-04-01,N06000176,58,SEMARIA OPENCAST PROJECT,COAL,NCL,MADHYA PRADESH,2019-05-01,2026-03-01,2026-03-01,396.58,396.58,0,,,,0(O),1/5,consolidated,70
2020-04-01,N06000178,59,VISHNUPURI UG TO OC MINE,COAL,WCL,MADHYA PRADESH,2018-07-01,2025-03-01,2025-03-01,195.57,195.57,2.94,,,,0(O),0/7,consolidated,70
2020-04-01,N06000183,60,GANDHIGRAM UG MINE,COAL,WCL,MADHYA PRADESH,2019-08-01,2026-03-01,2026-03-01,414.16,414.16,0.5,,,,0(O),0/7,consolidated,70
2020-04-01,N06000184,61,BLOCK-B EXPANSION OPENCAST PROJECT,COAL,NCL,MADHYA PRADESH,2019-07-01,2023-03-01,2023-03-01,998.71,998.71,0,,,,0(O),0/7,consolidated,70
2020-04-01,N06000066,62,PENGANGA OCP(REVISED),COAL,WCL,MAHARASHTRA,2014-09-01,2020-03-01,2020-03-01,441.82,441.82,222.14,,,,,8/11,consolidated,71
2020-04-01,N06000118,63,DINESH OCP,COAL,WCL,MAHARASHTRA,2014-11-01,2020-03-01,2020-03-01,611.16,611.16,415.5,,,,,5/8,consolidated,71
2020-04-01,N06000121,64,BHANEGAON OC,COAL,WCL,MAHARASHTRA,2015-02-01,2023-03-01,2023-03-01,187.94,409.68,130.17,,,,0(O),7/11,consolidated,71
2020-04-01,N06000128,65,NEW MAJRI UG TO OC,COAL,WCL,MAHARASHTRA,2015-05-01,2019-03-01,,295.56,295.56,121.46,,,,,10/13,consolidated,71
2020-04-01,N06000130,66,SINGHORI OC MINE,COAL,WCL,MAHARASHTRA,2015-06-01,2020-03-01,2020-03-01,205.49,205.49,124.43,,,,,7/10,consolidated,71
2020-04-01,N06000131,67,AMALGAMATED PAUNI-II III OC MINE,COAL,WCL,MAHARASHTRA,2015-06-01,2021-03-01,2021-03-01,483.69,483.69,226.74,,,,0(O),3/6,consolidated,71
