report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2017-04-01,N02000010,1,KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4,ATOMIC ENERGY,NPCIL,GUJARAT,2009-10-01,2015-12-01,2019-11-01,11459,11459,9891,,,2016-11-01,47(O),43/70,consolidated,57
2017-04-01,N02000027,2,RAJASTHAN ATOMIC POWER PROJECT -7 AND 8 (2X700 MW),ATOMIC ENERGY,NPCIL,RAJASTHAN,2009-10-01,2016-12-01,2020-12-01,12320,12320,7615,,,2017-03-01,48(O),32/68,consolidated,57
2017-04-01,020100040,3,KUDANKULAM APP (NPCIL),ATOMIC ENERGY,NPCIL,TAMIL NADU,2001-12-01,2008-12-01,2017-03-01,13171,22462,21600,,17270,2013-10-01,,102/102,consolidated,57
2017-04-01,020100044,4,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",ATOMIC ENERGY,BHAVNI,TAMIL NADU,2003-09-01,2010-09-01,2017-10-01,3492,6000,5408.88,,5677,2016-09-01,85(O),81/87,consolidated,57
2017-04-01,N04000073,5,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",CIVIL AVIATION,AAI,ANDAMAN & NICOBAR ISLANDS,2013-10-01,2018-09-01,2020-06-01,314.61,441.33,24.13,,,,21(O),0/0,consolidated,57
2017-04-01,N04000069,6,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BUILDING(GOA),CIVIL AVIATION,AAI,GOA,2010-05-01,2012-05-01,,335.61,318,305.59,,,,,0/0,consolidated,57
2017-04-01,N04000071,7,SUPPLY OF 56 NOS AIRFIELD FIRE TENDERS AT VARIOUS AIRPORTS,CIVIL AVIATION,AAI,MULTI STATE,2012-10-01,2015-03-01,2017-09-01,217.6,244.1,0.04,,,,30(O),0/0,consolidated,57
2017-04-01,N04000050,8,CONSTRUCTION OF NEW AIRPORT AT PAKYONG(SIKKIM) AIRPORT,CIVIL AVIATION,AAI,SIKKIM,2009-01-01,2011-01-01,2017-12-01,309.46,553.53,428.12,,,,83(O),0/0,consolidated,57
2017-04-01,060100093,9,GEVRA EXPANSION OCP (SECL) (35-70) MTY,COAL,SECL,CHHATISGARH,2010-06-01,2023-03-01,2023-03-01,11816.4,11816.4,2019.4,,,,0(O),11/16,consolidated,57
2017-04-01,N06000008,10,KUSMUNDA EXPN.OCP(SECL)(15-50)MTY,COAL,SECL,CHHATISGARH,2013-08-01,2023-03-01,2023-03-01,7612.33,7612.33,,,7612.33,2023-03-01,0(O),2/18,consolidated,57
