report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2012-04-01,N02000010,1,KAKRAPAR ATOMIC POWER PROJECT - 3 and 4,Atomic Energy,NPCIL,Gujarat,2009-10-01,2015-12-01,2016-11-01,11459,11459,1679,,,,11(O),0/70,consolidated,38
2012-04-01,020100040,2,KUDANKULAM APP (NPCIL),Atomic Energy,NPCIL,Tamil Nadu,2001-12-01,2008-12-01,2013-03-01,13171,15824,14714,,,,51(O),39/106,consolidated,38
2012-04-01,020100044,3,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",Atomic Energy,BHAVNI,Tamil Nadu,2003-09-01,2010-09-01,2012-01-01,3492,5677,3641.6,,,,16(O),6/80,consolidated,38
2012-04-01,N02000027,4,RAJASTHAN ATOMIC POWER PROJECT -7 and 8 (2X700 MW),Atomic Energy,NPCIL,Rajasthan,2009-10-01,2016-12-01,2017-03-01,12320,12320,1000,,,,3(O),0/69,consolidated,38
2012-04-01,N02000007,5,URANIUM ORE MINE and PROCESSING PLANT AT TUMMALAP,Atomic Energy,UCIL,Andhra Pradesh,2007-09-01,2011-04-01,2012-04-01,1106.29,1106.29,1084.24,,,2011-04-01,12(O),0/0,consolidated,38
2012-04-01,N04000037,6,C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT,Civil Aviation,AAI,West Bengal,2008-08-01,2011-05-01,2012-10-01,1942.51,2325,1927.29,,,2012-03-01,17(O),0/0,consolidated,38
2012-04-01,N04000050,7,C/o new Airport at Pakyong(Sikkim) Airport,Civil Aviation,AAI,Sikkim,2009-01-01,2011-01-01,2013-04-01,309.46,309.46,182.97,,,2013-04-01,27(O),0/0,consolidated,38
2012-04-01,N04000069,8,Construction of New International Terminal Building,Civil Aviation,AAI,Goa,2010-05-01,2012-05-01,2012-08-01,335.61,335.61,105.04,,,,3(O),0/0,consolidated,38
2012-04-01,N04000038,9,D/O KAMARAJ DOMESTIC TER-PH-II And EXP. ANNA INT.,Civil Aviation,AAI,Tamil Nadu,2008-08-01,2011-01-01,2012-02-01,1808,2015,1658.13,,2015,2012-02-01,13(O),0/0,consolidated,38
2012-04-01,N04000065,10,GAGAN PROJECT,Civil Aviation,AAI,Multi State,2008-09-01,2013-06-01,2013-06-01,626,626,346.33,,,,0(O),0/0,consolidated,38
2012-04-01,N06000016,11,ADRIYALA SHAFT PROJECT,Coal,SCCL,Andhra Pradesh,2006-09-01,2013-03-01,2014-10-01,212.34,779.26,281.16,,779.26,2012-09-01,19(O),7/22,consolidated,38
2012-04-01,N06000082,12,AMLAI OC EXPANSION SECTOR 1.50 MTY,Coal,SECL,Chhatisgarh,2009-11-01,,2016-03-01,150.59,198.59,95.25,,,,,0/6,consolidated,38
2012-04-01,N06000010,13,AMLOHRI EPR (NCL) (6 MTY),Coal,NCL,Madhya pradesh,2006-05-01,2014-03-01,2016-03-01,1352.04,1143.54,317.4,,1143.54,2016-03-01,24(O),2/2,consolidated,39
2012-04-01,N06000067,14,ANANTA OC EXPANSION PH-III 15.0 Mty,Coal,MCL,Orissa,2008-08-01,2012-03-01,2014-03-01,207.28,207.28,99.57,,,2012-03-01,24(O),5/7,consolidated,39
2012-04-01,060100096,15,ASHOK EXPN.OCP -CCL (10 MTY),Coal,CCL,Jharkhandd,2006-04-01,2011-03-01,2013-03-01,471.66,341.63,108.58,,341.63,2012-03-01,24(O),0/2,consolidated,39
2012-04-01,N06000044,16,"BALRAM OCP EXTENSION,MCL (8.00 Mty)",Coal,MCL,Orissa,2007-12-01,2010-03-01,2015-03-01,172.08,172.08,101.78,,,,60(O),4/4,consolidated,39
2012-04-01,N06000099,17,BAROUD OC EXPANSION (RCE)- 3MTY,Coal,SECL,Chhatisgarh,2012-04-01,2016-03-01,2016-03-01,258.56,258.56,33.55,,,,0(O),0/0,consolidated,39
2012-04-01,N06000034,18,"BHUBANESWARI OCP, MCL (20.0 Mty)",Coal,MCL,Orissa,2007-12-01,2017-03-01,2017-03-01,490,490.1,108.89,,,2017-03-01,0(O),6/12,consolidated,39
2012-04-01,N06000019,19,BINA EXTN. PROJ(6.0 Mtpa),Coal,NCL,Multi State,2006-11-01,2014-03-01,2014-03-01,168.97,168.97,40.35,,168.97,2014-03-01,0(O),1/2,consolidated,39
2012-04-01,N06000009,20,BLOCK-B OCP NCL (3.5 MTY),Coal,NCL,Madhya pradesh,2006-06-01,2012-03-01,2015-03-01,746.04,535.1,161.77,,535.1,2015-03-01,36(O),0/0,consolidated,39
2012-04-01,N06000049,21,Batura OCP (2.0 MTY),Coal,SECL,Madhya pradesh,2008-09-01,2015-03-01,2015-03-01,203.82,203.82,,,,,0(O),0/1,consolidated,39
2012-04-01,N06000046,22,CHURCHA ROUG (1.35MTY),Coal,SECL,Chhatisgarh,2008-06-01,2014-03-01,2014-03-01,462.35,462.35,272.54,,,,0(R),0/7,consolidated,39
2012-04-01,N06000083,23,Churi Benti UG,Coal,CCL,Jharkhandd,2007-06-01,2011-03-01,2014-03-01,163.51,163.51,34.06,,,2012-03-01,36(O),1/2,consolidated,39
2012-04-01,060100094,24,DIPKA EXPANSION OCP (SECL) (20- 25 MTY),Coal,SECL,Chhatisgarh,2005-07-01,2010-03-01,2014-03-01,1268.53,1943.66,1271.5,,,,48(O),0/12,consolidated,39
2012-04-01,060100093,25,GEVRA EXPANSION OCP (SECL) (25- 35) MTY,Coal,SECL,Chhatisgarh,2005-07-01,2010-03-01,2014-03-01,1667.55,2675.67,1391.03,,,,48(O),0/15,consolidated,39
2012-04-01,N06000042,26,GOPAL PRASAD OCP,Coal,MCL,Orissa,2008-02-01,2015-03-01,2015-03-01,395.87,395.87,59.64,,,2015-03-01,0(O),2/12,consolidated,39
2012-04-01,N06000068,27,HINGULA OC-II EXP PH-III (15 MTY),Coal,MCL,Orissa,2008-11-01,2013-03-01,2013-03-01,475.93,479.53,94.67,,,2013-03-01,0(O),5/7,consolidated,39
2012-04-01,N06000075,28,JAGANNATHPUR OCP(3.00 MTY),Coal,SECL,Chhatisgarh,2008-09-01,,2015-03-01,152.43,152.43,,,,,,0/6,consolidated,39
2012-04-01,N06000094,29,JALAGAM VENGALA RAO OCP,Coal,SCCL,Andhra Pradesh,2011-07-01,2015-03-01,2015-03-01,447.06,447.06,,,,,0(O),4/31,consolidated,39
2012-04-01,N06000025,30,JALLARAM SHAFT PROJECT,Coal,SCCL,Andhra Pradesh,2013-03-01,2013-03-01,2013-03-01,467.78,467.78,12.31,,,,0(O),4/83,consolidated,39
2012-04-01,N06000020,31,JHANJRA R-VI SEAM PSLW,Coal,ECL,West Bengal,2006-11-01,2011-03-01,2015-03-01,287.18,287.17,,,,,48(O),0/1,consolidated,39
2012-04-01,N06000048,32,KAKATIYA LAONGWALL,Coal,SCCL,Multi State,2008-12-01,2012-12-01,2015-01-01,453.63,453.63,71.37,,,,25(O),8/44,consolidated,39
2012-04-01,N06000035,33,"KANIHA OCP, MCL, (10.0 Mty)",Coal,MCL,Orissa,2007-12-01,2013-03-01,2013-03-01,457.77,457.77,118.26,,,2013-03-01,0(O),6/11,consolidated,39
2012-04-01,N06000088,34,KARMA OCP,Coal,CCL,Jharkhandd,2009-06-01,2014-03-01,2014-03-01,162.46,162.46,34.19,,,,0(O),0/0,consolidated,39
2012-04-01,N06000076,35,KARTALI (EAST) OCP(2.50 MTY),Coal,SECL,Chhatisgarh,2008-07-01,,2014-03-01,178.44,178.44,,,,,,0/6,consolidated,39
2012-04-01,N06000091,36,"KHADIA EXPANSION OPENCAST PROJECT 4 TO 10 MTPA,6MT",Coal,NCL,Uttar Pradesh,2011-06-01,2018-03-01,2018-03-01,1131.28,1131.28,,,1131.28,2018-03-01,0(O),0/0,consolidated,40
2012-04-01,N06000007,37,KRISHNASHILA (NCL) (4MTY),Coal,NCL,Uttar Pradesh,2006-05-01,2010-03-01,2013-03-01,789.88,741.62,331.78,,741.62,,36(O),2/2,consolidated,40
2012-04-01,060100092,38,KULDA OCP (MAHANADI COALFIELDS LTD),Coal,MCL,Orissa,2005-01-01,2010-03-01,2014-03-01,302.96,302.96,91.51,,,,48(O),9/11,consolidated,40
2012-04-01,N06000008,39,KUSMUNDA EXPN.OCP(SECL)(10- 15MTY),Coal,SECL,Chhatisgarh,2006-06-01,2013-03-01,2013-03-01,737.65,1188.31,683.58,,,,0(R),0/8,consolidated,40
2012-04-01,N06000089,40,Kistaram OCP,Coal,SCCL,Andhra Pradesh,2010-11-01,2015-03-01,2015-03-01,242.29,242.29,,,,,0(O),0/28,consolidated,40
2012-04-01,N06000015,41,MAGADH OC (CCL),Coal,CCL,Jharkhandd,2006-07-01,2012-07-01,2016-03-01,469.78,706.4,18.16,,706.4,2014-03-01,44(O),1/2,consolidated,40
2012-04-01,N06000081,42,MANIKPUR OC EXPANTION (3.50 MTY),Coal,SECL,Chhatisgarh,2009-11-01,2014-03-01,2014-03-01,321.42,321.5,210.36,,,,0(R),0/5,consolidated,40
2012-04-01,N06000080,43,MANUGURU OC-II EXTENSION PHASE-II,Coal,SCCL,Andhra Pradesh,2010-03-01,2012-03-01,2013-03-01,181.19,181.19,36.96,,,,12(O),10/34,consolidated,40
2012-04-01,N06000098,44,Moonidih XV Seam UG,Coal,BCCL,Jharkhandd,2011-08-01,2015-04-01,2015-04-01,1230.27,1230.27,,,,,0(O),0/0,consolidated,40
2012-04-01,N06000096,45,Muraidih UG,Coal,BCCL,Jharkhandd,2011-02-01,2014-04-01,2014-04-01,339.88,339.88,,,,,0(O),0/0,consolidated,40
2012-04-01,N06000095,46,NEYVELI NEW THERMAL POWER PROJECT(2x500 MW),Coal,NLC,Tamil Nadu,2011-06-01,2015-12-01,2015-12-01,5907.11,5907.11,15.94,,,,0(O),0/33,consolidated,40
2012-04-01,N06000033,47,"NIGAHI OC EXPANSION PROJECT 10 MTY TO 15 MTY, SINGRAULI",Coal,NCL,Madhya pradesh,2007-10-01,2012-03-01,2015-03-01,259.4,259.4,1.2,,,,36(O),0/1,consolidated,40
2012-04-01,N06000084,48,North Urimari OCP,Coal,CCL,Jharkhandd,2007-12-01,2012-03-01,2014-03-01,179.87,179.87,62.6,,,2012-03-01,24(O),0/2,consolidated,40
2012-04-01,N06000045,49,PELMA OCP(10.00MTY),Coal,SECL,Chhatisgarh,2008-07-01,2015-03-01,2015-03-01,448.32,448.32,,,,,0(O),0/1,consolidated,40
2012-04-01,N06000066,50,PENGANGA OC,Coal,WCL,Maharashtra,2008-10-01,2014-03-01,2015-03-01,339.77,339.77,0.82,,,,12(O),0/1,consolidated,40
2012-04-01,N06000085,51,Purnadih OCP,Coal,CCL,Jharkhandd,2008-07-01,2013-03-01,2013-03-01,210.98,210.98,34.18,,,,0(O),0/2,consolidated,40
2012-04-01,N06000056,52,RAJMAHAL OC EXP.,Coal,ECL,Multi State,2006-02-01,2011-03-01,2014-03-01,50.08,153.82,23.71,,,,36(O),0/1,consolidated,40
2012-04-01,N06000078,53,RAMAGUNDAM OC-II EXTENSION,Coal,SCCL,Andhra Pradesh,2009-12-01,2012-03-01,2013-03-01,418.97,418.97,86.44,,,,12(O),24/27,consolidated,40
2012-04-01,N06000093,54,RCE OF INDARAM OCP(1.20 MTPA),Coal,SCCL,Andhra Pradesh,2011-07-01,2015-03-01,2015-03-01,162.76,162.76,2.42,,,,0(O),4/29,consolidated,40
2012-04-01,N06000079,55,RKP OCP PHASE-I,Coal,SCCL,Andhra Pradesh,2010-03-01,2015-03-01,2015-03-01,209.78,209.78,21.83,,,,0(O),4/31,consolidated,40
2012-04-01,N06000087,56,Rajrappa RCE OCP,Coal,CCL,Jharkhandd,2009-12-01,2016-03-01,2016-03-01,510.85,510.85,284.57,,,,0(O),1/2,consolidated,40
2012-04-01,N06000017,57,SHANTIKHANI LONGWALL PROJ- SCCL,Coal,SCCL,Andhra Pradesh,2006-10-01,2012-03-01,2012-03-01,249.03,249.03,45.8,,,,0(O),11/42,consolidated,41
2012-04-01,N06000043,58,TALABIRA OCP,Coal,MCL,Orissa,2008-03-01,2016-03-01,2016-03-01,447.72,447.72,47.56,,,2016-03-01,0(O),1/12,consolidated,41
2012-04-01,060100087,59,TPS-II EXPANSION (1470MW TO 1970MW) (NLC),Coal,NLC,Tamil Nadu,2004-10-01,2009-06-01,2013-03-01,2030.78,3027.59,2400.12,,3027.59,,45(O),19/24,consolidated,41
2012-04-01,N06000047,60,TUTICORIN THERMAL POWER PROJECT,Coal,NLC,Tamil Nadu,2008-05-01,2012-03-01,2014-03-01,4904.54,4909.54,2801.35,,4909.54,,24(O),0/39,consolidated,41
2012-04-01,N06000086,61,Tapin OCP,Coal,CCL,Jharkhandd,2008-08-01,2012-03-01,2014-03-01,264.68,264.68,96.89,,,2013-03-01,24(O),0/2,consolidated,41
2012-04-01,N08000005,62,BATHINDA - AMMONIA PLANT FEEDSTOCK CHANGEOVER PROJ,Fertilisers,NFL,Punjab,2010-01-01,2013-01-01,2013-01-01,1294.19,1294.19,551.85,,,,0(O),0/5,consolidated,41
2012-04-01,N08000008,63,CAPACITY ENHANCEMENT OF AMMONIA AND UREA PLANT VIJ,Fertilisers,NFL,Madhya pradesh,2008-09-01,2011-07-01,2012-07-01,438,438,218.37,,,,12(O),0/0,consolidated,41
2012-04-01,N08000007,64,CAPACITY ENHANCEMENT OF VIJAIPUR-I PLANTS,Fertilisers,NFL,Madhya pradesh,2008-09-01,2011-07-01,2012-04-01,325,325,174.37,,,,9(O),0/0,consolidated,41
2012-04-01,N08000006,65,NANGAL - AMMONIA PLANT FEEDSTOCK PROJECT,Fertilisers,NFL,Punjab,2010-01-01,2013-01-01,2013-01-01,1478.63,1478.63,553.49,,,2013-01-01,0(O),8/8,consolidated,41
2012-04-01,N08000004,66,PANIPAT - AMMONIA PLANT FEEDSTOCK CHANGEOVER PROJE,Fertilisers,NFL,Haryana,2010-01-01,2013-01-01,2013-01-01,1292.84,1292.84,544.15,,,,0(O),0/5,consolidated,41
2012-04-01,N08000003,67,THAL AMMONIA REVAMP PROJECT,Fertilisers,RCF,Haryana,2009-01-01,2012-04-01,2012-04-01,488.75,488.75,306.3,,,2012-04-01,0(O),12/22,consolidated,41
2012-04-01,N12000072,68,1.2 MTPA PELLET PLANT DONIMALAI,Steel,NMDC,Karnataka,2011-04-01,2013-04-01,2013-04-01,572,572,,,,,0(O),0/0,consolidated,41
