report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2023-04-01,020100044,1,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",Bhavini Limited,BHAVNI,TAMIL NADU Nuclear Power Corporation Of India Limited,2003-09-01,2010-09-01,2024-12-01,3492,7670,6534.68,,6840,2022-10-01,,,delayed,300
2023-04-01,N02000029,1,KUDANKULAM NUCLEAR POWER PROJECT 5 AND 6,Nuclear Power Corporation Of India Limited,,,2017-06-01,2027-09-01,2027-09-01,49621,49621,9645,,,,,,on_schedule,255
2023-04-01,N06000143,1,HURA - C OC (3 MTY),Eastern Coal Fields Limited,ECL,JHARKHAND Mahanadi Coal Fields Limited,2015-10-01,2022-03-01,2022-03-01,359.69,,,,,,,,without_doc,400
2023-04-01,N18000278,1,KIRU HYDRO ELECTRIC PROJECT,Chenab Velley Power Projects [P] Limited,CVPPPL,JAMMU AND KASHMIR,2019-03-01,2024-08-01,2025-07-01,4287.59,4287.59,1032.94,,,,11(R3),0/0,without_original_doc,421
2023-04-01,N08000019,1,AN MELT PROJECT AT RCF TROMBAY,Rashtriya Chemical & Fertiliser Limited,,,2022-05-01,2024-09-01,2024-07-01,187.27,187.27,18.53,,187.27,,,,ahead,253
2023-04-01,N02000028,2,KUDANKULAM NUCLEAR POWER PROJECT UNIT-3 and 4,Bhavini Limited,NPCIL,TAMIL NADU,2013-03-01,2020-11-01,2023-11-01,39849,39849,37632,,,,,,delayed,300
2023-04-01,N04000099,2,"DEVELOPMENT OF NEW GREENFIELD AIRPORT AT DHOLERA, AHMEDABAD (GUJARAT). PHASE-1.",Airport Authority Of India Limited,,,2022-06-01,2025-12-01,2025-12-01,1305,636.45,,,,,,,on_schedule,255
2023-04-01,N06000225,2,ANANTA OCP EXPANSION PH III,Eastern Coal Fields Limited,MCL,ODISHA,2008-08-01,2012-03-01,2022-03-01,228.08,,,,,2022-03-01,,,without_doc,400
2023-04-01,220100305,2,"KODERMA-TILAIYA (NL), ECR",East Central Railways,ECR,JHARKHAND,2002-04-01,,2024-03-01,459.91,1625.87,1041.3,,1625.87,,,0/0,without_original_doc,421
2023-04-01,N02000027,3,RAJASTHAN ATOMIC POWER PROJECT -7 AND 8 (2X700 MW),Bhavini Limited,NPCIL,RAJASTHAN,2009-10-01,2016-12-01,2023-12-01,12320,17079,16121,,17079,,,,delayed,300
2023-04-01,N06000216,3,REVISED PROJECT REPORT MAGADH EXPANSION OCP,Central Coal Fields Limited,,,2020-08-01,2028-03-01,2028-03-01,7254.37,7254.37,894.16,,,,,,on_schedule,255
2023-04-01,N06000261,3,RPR OF HINGULA -II EXPANSION PH-III,Eastern Coal Fields Limited,MCL,ODISHA,2022-12-01,2029-03-01,,2264.68,,,,,,,,without_doc,400
2023-04-01,N22000180,3,SAKRI-NIRMALI AND JHANJHARPUR- LAUKAHABAZAR AND SAHARSA- FORBESGANJ (GC),East Central Railways,ECR,BIHAR,2004-04-01,,2024-03-01,372.14,1700,1600.14,,1470.5,,,0/0,without_original_doc,421
2023-04-01,N16000409,3,PETROCHEMICAL AND LUBE INTEGRATION PROJECT AT GUJARAT REFINERY,Indian Oil Corporation Limited,Oil India Limited,,2020-09-01,2024-09-01,2024-08-01,18936,18936,3191.9,,,,,,ahead,253
2023-04-01,N02000010,4,KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4,Bhavini Limited,NPCIL,GUJARAT,2009-10-01,2015-12-01,2024-03-01,11459,19220,20107,,19220,,,,delayed,300
2023-04-01,N06000239,4,SIRKA OCP,Central Coal Fields Limited,,,2020-05-01,2025-03-01,2025-03-01,222.82,222.82,139.23,,,,,,on_schedule,255
2023-04-01,N06000249,4,SUBHADRA OCP,Eastern Coal Fields Limited,MCL,ODISHA Neyveli Lignite Corporation,2021-05-01,2027-03-01,,1693.81,,,,,2029-03-01,,,without_doc,400
