report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2021-04-01,020100044,1,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",Bhavini Limited,BHAVNI,TAMIL NADU Nuclear Power Corporation Of India Limited,2003-09-01,2010-09-01,2022-10-01,3492,6840,5935.96,,5677,2016-09-01,,,delayed,332
2021-04-01,N04000086,1,"CO CIVIL AVIATION REASEARCH ORG. (PH-II) AT BEGUMPET AIRPORT, HYDRABAD",Airport Authority Of India Limited,,,2020-05-01,2022-05-01,2022-05-01,353.61,353.61,61.13,,,,,,on_schedule,306
2021-04-01,N06000127,1,PATHERDIH NLW WASHERY,Bharat Coking Coal Limited,BCCL,JHARKHAND,2012-10-01,2014-04-01,2020-04-01,269.82,,,,,,,,without_doc,207
2021-04-01,N06000173,1,SRP OC-II EXPANSION PROJECT,Singareni Colliers Company Limitted,SCCL,TELANGANA,2016-11-01,,2022-03-01,272.73,272.73,153.75,,,,,2/6,without_original_doc,199
2021-04-01,N02000010,2,KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4,Bhavini Limited,NPCIL,GUJARAT,2009-10-01,2015-12-01,2022-02-01,11459,16580,16488,,,,,,delayed,332
2021-04-01,N04000088,2,"C/O NEW GREENFIELD AIRPORT AT HISSAR, RAJKOT, GUJARAT",Airport Authority Of India Limited,,,2018-01-01,2022-08-01,2022-08-01,1405,1405,250.63,,,,,,on_schedule,306
2021-04-01,N06000106,2,NORTH TISRA AND SOUTH TISRA EXPANSION OCP (6MTY),Bharat Coking Coal Limited,BCCL,JHARKHAND Eastern Coal Fields Limited,2014-02-01,2021-03-01,,555.52,,,,,,,,without_doc,207
2021-04-01,N16000318,2,LPG BP PROJECT JODHPUR,Indian Oil Corporation Limited,IOCL,RAJASTHAN,2018-03-01,2022-05-01,2022-05-01,229.8,229.8,81.48,,,,0(R3),17/26,without_original_doc,199
2021-04-01,N02000027,3,RAJASTHAN ATOMIC POWER PROJECT -7 AND 8 (2X700 MW),Bhavini Limited,NPCIL,RAJASTHAN,2009-10-01,2016-12-01,2023-03-01,12320,17079,13206,,,,,,delayed,332
2021-04-01,N04000078,3,CONSTRUCTION OF TERMINAL BUILDING AND ASSOCIATED WORKS AT LEH AIRPORT,Airport Authority Of India Limited,,,2018-07-01,2021-09-01,2021-09-01,346.27,480.33,51.11,,,,,,on_schedule,306
2021-04-01,N06000163,3,RANIGANJ MASTER PLAN,Bharat Coking Coal Limited,ECL,WEST BENGAL Mahanadi Coal Fields Limited,2009-08-01,2019-08-01,,2661.73,,,,,,,,without_doc,207
2021-04-01,N16000336,3,"AUGMENTATION OF LPG IMPORT TERMINAL FROM 0.6 MMTPA TO 2.5 MMTPA AT KANDLA, GUJARAT",Indian Oil Corporation Limited,IOCL,GUJARAT,2018-03-01,2023-05-01,2023-05-01,588.2,730.2,77.3,,730.2,,0(R3),12/17,without_original_doc,199
2021-04-01,N02000028,4,KUDANKULAM NUCLEAR POWER PROJECT UNIT-3 and 4,Bhavini Limited,NPCIL,TAMIL NADU,2013-03-01,2020-11-01,2023-11-01,39849,39849,23925,,,,,,delayed,332
2021-04-01,N04000091,4,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,Airport Authority Of India Limited,,,2020-04-01,2023-03-01,2023-03-01,611.8,611.8,21.25,,,,,,on_schedule,306
2021-04-01,N06000067,4,ANANTA OC EXPANSION PH-III (15.0 MTY),Bharat Coking Coal Limited,MCL,ODISHA Neyveli Lignite Corporation,2008-08-01,2012-03-01,2021-03-01,207.28,,,,,,,,without_doc,207
2021-04-01,N21000019,4,GERIATRICS BLOCK- AIIMS DLEHI,Ltd,HSCC,DELHI,2017-12-01,,2021-06-01,156.56,190.34,143.14,,,,,0/0,without_original_doc,199
2021-04-01,N28000150,4,C/O AIIMS AT AWANTIPORA (KASHMIR) JAMMU AND KASHMIR,Central Public Works Department,,,2019-03-01,2025-09-01,2024-05-01,1828,1828,,,,,,,ahead,196
2021-04-01,N04000073,5,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",Airport Authority Of India Limited,AAI,A & N ISLANDS,2013-10-01,2018-09-01,2021-06-01,417.23,707.73,379.95,,707.73,2020-09-01,NIL,,delayed,332
2021-04-01,N04000079,5,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING, RECONSTRUCTION OF OLD TERMINAL BUILDING, MODIFICAT",Airport Authority Of India Limited,,,2017-03-01,2021-04-01,2021-04-01,475.39,475.39,88.11,,,,,,on_schedule,306
2021-04-01,N06000189,5,TALABIRA II AND III OCP,Bharat Coking Coal Limited,NLC,ODISHA,2017-07-01,2020-07-01,2020-04-01,2401.07,,,,,,,,without_doc,207
2021-04-01,N21000020,5,HOSPITAL AND TEACHING- AIIMS GUNTUR,Ltd,HSCC,ANDHRA PRADESH,2018-03-01,,2021-06-01,601.02,601.02,400.25,,,,,0/0,without_original_doc,199
2021-04-01,N04000084,6,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AND ASSOCIATED WORKS AT AGARTALA AIRPORT,Airport Authority Of India Limited,AAI,TRIPURA,2015-09-01,2019-06-01,2021-06-01,438.28,402,366.61,,,2020-12-01,NIL,,delayed,332
2021-04-01,N06000182,6,NORTH URIMARI EXPANSION OCP,Central Coal Fields Limited,,,2019-03-01,2023-03-01,2023-03-01,1553.06,1553.06,277.47,,,,,,on_schedule,306
2021-04-01,N06000095,6,NEYVELI NEW THERMAL POWER PROJECT(2X500 MW),Bharat Coking Coal Limited,NLC,TAMIL NADU,2011-06-01,2015-12-01,2021-02-01,5907.11,,,,7980.79,,,,without_doc,207
2021-04-01,N21000023,6,HOSPITAL AND TEACHING- AIIMS NAGPUR,Ltd,HSCC,MAHARASHTRA,2018-03-01,,2021-06-01,582.99,582.99,482.32,,,,,0/0,without_original_doc,199
2021-04-01,N04000080,7,CONSTRUCTION OF ATC TOWER AND TECHNICAL BLOCK AT NSCBI AIRPORT KOLKATA,Airport Authority Of India Limited,AAI,WEST BENGAL,2016-01-01,2020-03-01,2021-12-01,458,458,135.6,,,2021-12-01,,,delayed,332
2021-04-01,N06000186,7,TETARIAKHAR EXPANSION OCP,Central Coal Fields Limited,Eastern Coal Fields Limited,,2019-11-01,2023-03-01,2023-03-01,243.52,243.52,39.79,,,,,,on_schedule,306
2021-04-01,N06000144,7,HADLA LIGNITE MINE PROJECT(1.90 MTPA),Bharat Coking Coal Limited,NLC,RAJASTHAN,2015-03-01,2019-09-01,,522.45,,,,,,,,without_doc,207
2021-04-01,N21000024,7,HOSPITAL AND TEACHING- AIIMS KALYANI,Ltd,HSCC,WEST BENGAL,2018-04-01,,2021-06-01,651.99,651.99,503.55,,,,,0/0,without_original_doc,199
2021-04-01,N16000308,7,CAPTIVE NATURAL GAS PIPELINE FROM DAHEJ TO KOYALI REFINERY,Gas Authority Of India Limited,,,2017-08-01,2021-12-01,2021-08-01,315,315,208.09,,,,,,ahead,196
