report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2012-10-01,N02000010,1,KAKRAPAR ATOMIC POWER PROJECT - 3 and 4,Atomic Energy,NPCIL,Gujarat,2009-10-01,2015-12-01,2016-11-01,11459,11459,1956,,,,11(O),0/70,consolidated,51
2012-10-01,020100040,2,KUDANKULAM APP (NPCIL),Atomic Energy,NPCIL,Tamil Nadu,2001-12-01,2008-12-01,2013-03-01,13171,17270,15030,,,,51(O),39/106,consolidated,51
2012-10-01,020100044,3,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",Atomic Energy,BHAVNI,Tamil Nadu,2003-09-01,2010-09-01,,3492,5677,,,,,,8/82,consolidated,51
2012-10-01,N02000027,4,RAJASTHAN ATOMIC POWER PROJECT -7 and 8 (2X700 MW),Atomic Energy,NPCIL,Rajasthan,2009-10-01,2016-12-01,2017-03-01,12320,12320,1199,,,,3(O),0/69,consolidated,51
2012-10-01,N02000007,5,URANIUM ORE MINE and PROCESSING PLANT AT TUMMALAP,Atomic Energy,UCIL,Andhra Pradesh,2007-09-01,2011-04-01,,1106.29,1106.29,1084.24,,,,,0/0,consolidated,51
2012-10-01,N04000037,6,C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT,Civil Aviation,AAI,West Bengal,2008-08-01,2011-05-01,2013-03-01,1942.51,2325,2143.57,,,2012-03-01,22(O),0/0,consolidated,51
2012-10-01,N04000050,7,C/o new Airport at Pakyong(Sikkim) Airport,Civil Aviation,AAI,Sikkim,2009-01-01,2011-01-01,2013-04-01,309.46,309.46,185.2,,,2013-04-01,27(O),0/0,consolidated,51
2012-10-01,N04000069,8,Construction of New International Terminal Building,Civil Aviation,AAI,Goa,2010-05-01,2012-05-01,2012-12-01,335.61,335.61,146.09,,,,7(O),0/0,consolidated,51
2012-10-01,N04000038,9,D/O KAMARAJ DOMESTIC TER-PH-II And EXP. ANNA INT.,Civil Aviation,AAI,Tamil Nadu,2008-08-01,2011-01-01,2012-02-01,1808,2015,1724.62,,2015,2012-02-01,,0/0,consolidated,51
2012-10-01,N04000070,10,DEVELOPMENT OF CHANDIGARH INTERNATIONAL AIRPORT(MO,Civil Aviation,AAI,Punjab,2011-02-01,2015-03-01,2015-03-01,452,452,21.36,,,,0(O),0/0,consolidated,51
2012-10-01,N04000065,11,GAGAN PROJECT,Civil Aviation,AAI,Multi State,2008-09-01,2013-06-01,2013-06-01,626,626,373.07,,,,0(O),0/0,consolidated,51
2012-10-01,N06000016,12,ADRIYALA SHAFT PROJECT,Coal,SCCL,Andhra Pradesh,2009-12-01,2013-03-01,2014-07-01,212.34,779.26,456.78,,779.26,2012-09-01,16(O),7/22,consolidated,51
2012-10-01,N06000082,13,AMLAI OC EXPANSION SECTOR 1.50 MTY,Coal,SECL,Chhatisgarh,2009-11-01,2016-03-01,2016-03-01,150.59,198.59,89.5,,,,0(O),2/6,consolidated,51
2012-10-01,N06000010,14,"AMLOHRI EPR (NCL) (6 MTY , INCR.)",Coal,NCL,Madhya pradesh,2009-12-01,2016-03-01,2016-03-01,1352.04,1143.54,374.26,,1143.54,2016-03-01,0(O),2/2,consolidated,52
2012-10-01,N06000067,15,ANANTA OC EXPANSION PH-III 15.0 Mty,Coal,MCL,Orissa,2008-08-01,2012-03-01,2014-03-01,207.28,207.28,100.02,,,,24(O),5/7,consolidated,52
2012-10-01,060100096,16,ASHOK EXPN.OCP -CCL (10 MTY),Coal,CCL,Jharkhandd,2007-12-01,2011-03-01,2013-03-01,471.66,341.63,108.61,,341.63,,24(O),0/2,consolidated,52
2012-10-01,N06000044,17,"BALRAM OCP EXTENSION,MCL (8.00 Mty)",Coal,MCL,Orissa,2007-12-01,2010-03-01,2015-03-01,172.08,172.08,118.51,,,,60(O),4/4,consolidated,52
2012-10-01,N06000099,18,BAROUD OC EXPANSION (RCE)- 3MTY,Coal,SECL,Chhatisgarh,2012-04-01,2016-03-01,2016-03-01,258.56,258.56,39.81,,,,0(O),0/0,consolidated,52
2012-10-01,N06000034,19,"BHUBANESWARI OCP, MCL (20.0 Mty)",Coal,MCL,Orissa,2007-12-01,2017-03-01,2017-03-01,490,490.1,115.91,,,,0(O),6/12,consolidated,52
2012-10-01,N06000019,20,BINA EXTN. PROJ(6.0 Mtpa),Coal,NCL,Multi State,2006-11-01,2014-03-01,2014-03-01,168.97,168.97,40.35,,168.97,2014-03-01,0(O),1/2,consolidated,52
2012-10-01,N06000009,21,BLOCK-B OCP NCL (3.5 MTY),Coal,NCL,Madhya pradesh,2011-06-01,2015-03-01,2015-03-01,746.04,535.1,162.06,,535.1,2015-03-01,0(O),0/0,consolidated,52
2012-10-01,N06000049,22,Batura OCP (2.0 MTY),Coal,SECL,Madhya pradesh,2008-09-01,2015-03-01,2015-03-01,203.82,203.82,,,,,0(O),1/1,consolidated,52
2012-10-01,N06000046,23,CHURCHA ROUG (1.35MTY),Coal,SECL,Chhatisgarh,2008-06-01,2014-03-01,2014-03-01,462.35,462.35,263.73,,,,0(O),2/7,consolidated,52
2012-10-01,N06000083,24,Churi Benti UG,Coal,CCL,Jharkhandd,2007-08-01,2011-03-01,2014-03-01,163.51,163.51,34.58,,,,36(O),1/2,consolidated,52
2012-10-01,060100094,25,DIPKA EXPANSION OCP (SECL) (20- 25 MTY),Coal,SECL,Chhatisgarh,2009-12-01,2014-03-01,2014-03-01,1943.66,1943.66,1231.48,,,,0(O),6/12,consolidated,52
2012-10-01,060100093,26,GEVRA EXPANSION OCP (SECL) (25- 35) MTY,Coal,SECL,Chhatisgarh,2010-06-01,2014-03-01,2014-03-01,2675.67,2675.67,1391.2,,,,0(O),10/15,consolidated,52
2012-10-01,N06000042,27,GOPAL PRASAD OCP (15MTY),Coal,MCL,Orissa,2008-02-01,2015-03-01,2015-03-01,395.87,395.87,70.82,,,,0(O),2/12,consolidated,52
2012-10-01,N06000068,28,HINGULA OC-II EXP PH-III (15 MTY),Coal,MCL,Orissa,2008-11-01,2013-03-01,2013-03-01,479.63,479.63,110.91,,,,0(O),5/7,consolidated,52
2012-10-01,N06000075,29,JAGANNATHPUR OCP(3.00 MTY),Coal,SECL,Chhatisgarh,2008-09-01,2015-03-01,2017-03-01,152.43,152.43,,,,,24(O),1/6,consolidated,52
2012-10-01,N06000094,30,JALAGAM VENGALA RAO OCP,Coal,SCCL,Andhra Pradesh,2011-07-01,2015-03-01,2015-03-01,447.06,447.06,,,,,0(O),4/31,consolidated,52
2012-10-01,N06000025,31,JALLARAM SHAFT PROJECT,Coal,SCCL,Andhra Pradesh,2007-09-01,2013-03-01,2013-03-01,467.78,467.78,12.31,,,,0(O),4/83,consolidated,52
2012-10-01,N06000020,32,JHANJRA R-VI SEAM PSLW,Coal,ECL,West Bengal,2006-11-01,2011-03-01,2015-03-01,287.18,287.17,0.82,,,,48(O),0/1,consolidated,52
