report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2019-10-01,N02000010,1,KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4,ATOMIC ENERGY,NPCIL,GUJARAT,2009-10-01,2015-12-01,2020-06-01,11459,16580,14137,,16580,,54(O),53/70,consolidated,79
2019-10-01,N02000027,2,RAJASTHAN ATOMIC POWER PROJECT -7 AND 8 (2X700 MW),ATOMIC ENERGY,NPCIL,RAJASTHAN,2009-10-01,2016-12-01,2020-12-01,12320,17079,11387,,17079,,48(O),40/68,consolidated,79
2019-10-01,020100044,3,PROTOTYPE FAST BREEDER REACTOR (BHAVINI 500 MWE),ATOMIC ENERGY,BHAVNI,TAMIL NADU,2003-09-01,2010-09-01,2021-10-01,3492,6840,5830.42,,,,133(O),83/87,consolidated,79
2019-10-01,N02000028,4,KUDANKULAM NUCLEAR POWER PROJECT UNIT-3 and 4,ATOMIC ENERGY,NPCIL,"TAMIL NADU, Central Sector Projects",2013-03-01,2020-11-01,2023-11-01,39849,39849,15706,,,,36(O),23/76,consolidated,79
2019-10-01,N04000073,5,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT PORTBLAIR,CIVIL AVIATION,AAI,A & N ISLANDS,2013-10-01,2018-09-01,2020-06-01,314.61,441.33,85.79,,,,21(O),0/0,consolidated,79
2019-10-01,N04000083,6,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT LGBI AIRPORT GUWAHATI,CIVIL AVIATION,AAI,ASSAM,2016-12-01,2021-03-01,2021-03-01,859.86,860,42.31,,,,0(O),0/0,consolidated,79
2019-10-01,N04000082,7,CONSTRUCTION OF NEW DORNESTIC TERMINAL BUILDING AND OTHER STRUCTURES PHASE I AND II,CIVIL AVIATION,AAI,BIHAR,2018-05-01,2022-10-01,2022-10-01,539.2,539.2,25.64,,,,0(O),0/0,consolidated,79
2019-10-01,N04000076,8,CONSTRUCTION OF COMBINED OPERATIONAL OFFICES FOR DGCA BCAS AAIB AERA AND AAI AT SAFDARJUNG AIRPOR,CIVIL AVIATION,AAI,DELHI,2016-11-01,2020-04-01,2020-12-01,233.38,233.38,84.73,,,,8(O),0/0,consolidated,79
2019-10-01,N04000078,9,CONSTRUCTION OF TERMINAL BUILDING & ASSOCIATED WORKS AT LEH AIRPORT,CIVIL AVIATION,AAI,JAMMU AND KASHMIR,2018-07-01,2021-09-01,2021-09-01,323.19,323.19,10.14,,,,0(O),0/0,consolidated,79
2019-10-01,N04000079,10,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING RECONSTRUCTION OF OLD TERMINAL BUILDING MODIFICAT,CIVIL AVIATION,AAI,MAHARASHTRA,2017-03-01,2021-04-01,2021-04-01,358.89,358.89,29.73,,,,0(O),0/0,consolidated,79
2019-10-01,N04000074,11,MODERNIZATION OF CHENNAI AIRPORT PHASE II CHENNAI,CIVIL AVIATION,AAI,TAMIL NADU,2018-06-01,2022-02-01,2022-08-01,2467,2467,213.17,,,,6(O),0/0,consolidated,79
2019-10-01,N04000075,12,UPGRADATION OF PASSENGER TERMINAL BUILDING AND AIRSIDE FACILITIES AT TIRUCHIRAPALLI INTERNATIONAL AI,CIVIL AVIATION,AAI,TAMIL NADU,2018-08-01,2021-10-01,2021-10-01,951.28,951.28,71.55,,,,0(O),0/0,consolidated,79
