Sl. No,Payment/Receipt,Department,Head,Sub-Head,P/R Code,Work description,Accounts 2017-18,Budget Estimates 2018-19,Revised Estimates 2018-19,2019-20 Revenue,2019-20 Capital,2019-20 Total
357,Payments,06. Horticulture and Environmental Management,Infrastructure,Parks,P3651 ,Maintenance of Rachenahalli lake park,-,-,-,100,-,100
358,Payments,06. Horticulture and Environmental Management,Infrastructure,Parks,P3652 ,Maintenance & Security services for parks in R.T Nagar,-,-,-,100,-,100
359,Payments,06. Horticulture and Environmental Management,Infrastructure,Parks,P3653 ,Development of parks in Jayanagar Assembly Constituency,-,-,-,-,500,500
360,Payments,06. Horticulture and Environmental Management,Infrastructure,Parks,P3654 ,Development of Parks & Play grounds in BTM Layout Assembly Constituency,-,-,-,-,"1,500.00","1,500.00"
361,Payments,06. Horticulture and Environmental Management,Infrastructure,Parks,P3655 ,Development of parks in Jayanagar ward,-,-,-,-,"2,000.00","2,000.00"
362,Payments,06. Horticulture and Environmental Management,Infrastructure,Parks,P3656 ,Development of parks & boulevards in ward no 18.,-,-,-,-,300,300
363,Payments,06. Horticulture and Environmental Management,Infrastructure,Parks,P3657 ,Development of Kempegowda Park in ward no 13 Mallasandra,-,-,-,-,500,500
364,Payments,06. Horticulture and Environmental Management,Infrastructure,Parks,P3658 ,Improvements of Parks & providing children play equipments in Ward No.04 & 05 Rs.3.00 Cr each,-,-,-,-,600,600
365,Payments,06. Horticulture and Environmental Management,Infrastructure,Parks,P3659 ,Development of Parks in Mahalak-shmi Layout Assembly Constituency,-,-,-,-,"1,000.00","1,000.00"
366,Payments,06. Horticulture and Environmental Management,Infrastructure,Parks,P3660 ,Development of Parks in Nandini Layout,-,-,-,-,300,300
367,Payments,06. Horticulture and Environmental Management,Infrastructure,Parks,P3626 ,"Upgrade & development of Road, Medians, Circle boulevard at Ward No.24 & 27 (Rs. 1.50 Cr each) , ward 29 (Rs.2 Cr)",-,-,-,-,500,500
368,Payments,06. Horticulture and Environmental Management,Infrastructure,Parks,P3057 ,Development of Lakshman Rao Bouleward in ward no 168,-,35.5,30,-,-,-
369,Payments,06. Horticulture and Environmental Management,Infrastructure,Parks,P3057 ,Pending Bills,-,-,-,-,120,120
370,Payments,06. Horticulture and Environmental Management,GOI Grants Works,Amrut Project,P3122 ,Development of Parks Under Amrut Project,-,50,50,-,-,-
371,Payments,06. Horticulture and Environmental Management,GOI Grants Works,Amrut Project,P3122 ,Spillover Works,-,-,-,-,600,600
372,Payments,06. Horticulture and Environmental Management,GOI Grants Works,Finance Commission Grants,P3292 ,14th Finance Commission Works -Community Property maintenance (including Parks),-,"2,014.55","2,000.00",-,-,-
373,Payments,06. Horticulture and Environmental Management,GOI Grants Works,Finance Commission Grants,P3292 ,Pending Bills,-,-,-,55,-,55
374,Payments,06. Horticulture and Environmental Management,GOI Grants Works,Finance Commission Grants,P3292 ,Spillover Works,-,-,-,300,-,300
375,Payments,06. Horticulture and Environmental Management,GOI Grants Works,Finance Commission Grants,P3292 ,Current Works (As per Annexure),-,-,-,"2,000.00",-,"2,000.00"
376,Payments,06. Horticulture and Environmental Management,GOI Grants Works,Finance Commission Grants,P3291 ,14th Finance Commission Works -Maintenance of Crematoriums & burial Grounds,-,"2,147.75","2,000.00",-,-,-
377,Payments,06. Horticulture and Environmental Management,GOI Grants Works,Finance Commission Grants,P3291 ,Spillover Works,-,-,-,300,-,300
378,Payments,06. Horticulture and Environmental Management,GOI Grants Works,Finance Commission Grants,P3291 ,Current Works,-,-,-,"2,000.00",-,"2,000.00"
379,Payments,06. Horticulture and Environmental Management,GOI Grants Works,Finance Commission Grants,Total,Total of Horticulture Dept.,"4,618.83","16,406.15","13,940.00","14,946.00","11,828.00","26,774.00"
380,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P0314 ,Avenue Plantation,0,955.5,"1,600.00",-,-,-
381,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P0314 ,Pending Bills,-,-,-,467,-,467
382,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P0314 ,Spillover Works,-,-,-,564,-,564
383,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P0314 ,Current Works,-,-,-,500,-,500
384,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P3216 ,"Tree Survey & Numbering, Identification of diseased tree and its removal",-,100,50,200,-,200
385,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P2290 ,Creation of Tree Parks and Other Works in Ward No. 10,4.77,-,-,-,-,-
386,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1852 ,Identification of Tree Wardens/ Green Police etc.,-,25,5,25,-,25
387,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1855 ,Maintenance of Old Plantation raised in BBMP Areas,-,737,100,-,-,-
388,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1855 ,Pending Bills,-,-,-,151,-,151
389,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1855 ,Spillover Works,-,-,-,235,-,235
390,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1855 ,Current Works,-,-,-,300,-,300
391,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1856 ,Maintenance of Seedlings raised during previous years,"1,291.07",523,250,-,-,-
392,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1856 ,Pending Bills,-,-,-,46,-,46
393,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1856 ,Spillover Works,-,-,-,207,-,207
394,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1856 ,Current Works,-,-,-,250,-,250
395,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1846 ,Production of Seedlings in Nurseries,-,536,100,-,-,-
396,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1846 ,Spillover Works,-,-,-,120,-,120
397,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1846 ,Current Works,-,-,-,300,-,300
398,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P3217 ,Development of Basic infrastructure in lakes and Five (5) new nurseries for seedlings,-,80,50,200,-,200
399,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1701 ,Tree Canopy Management,-,775,600,-,-,-
400,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1701 ,Pending Bills,-,-,-,120,-,120
401,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1701 ,Spillover Works,-,-,-,"1,087.00",-,"1,087.00"
402,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1701 ,Current Works,-,-,-,500,-,500
403,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P3114 ,Watch & Ward of nurseries & depots 6 Nurseries 1 Watcher for both Day and Night,-,100,50,-,-,-
404,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P3114 ,Spillover Works,-,-,-,10,-,10
405,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P3114 ,Current Works,-,-,-,100,-,100
406,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P3218 ,Providing Metal Tree Guards,-,400,200,-,-,-
407,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P3218 ,Spillover Works,-,-,-,285,-,285
408,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P3218 ,Current Works,-,-,-,200,-,200
409,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P3219 ,Beautification & Maintenance of Wilson Garden Burial Ground,-,120,120,-,-,-
410,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P3219 ,Current Works,-,-,-,100,-,100
411,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P3220 ,Animal Rescue Unit,-,50,25,50,-,50
412,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P3221 ,Gardening in Schools & College Grounds,-,25,10,25,-,25
413,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,P1868 ,Rain Water Harvesting & Ground Water Recharging - Buildings / RSD,-,200,100,200,-,200
414,Payments,07. Urban Forestry and Environmental Management,Environmental Management,Afforestation,Total,Total for Urban Forestry & Environmental Management Department,"1,295.84","4,626.50","3,260.00","6,242.00",0,"6,242.00"
415,Payments,08. Lakes,Environmental Management,Lakes Development,P2087 ,Chinnappanahalli Lake,22.5,-,-,-,-,-
416,Payments,08. Lakes,Environmental Management,Lakes Development,P2832 ,Construction of bund wall in Sankey Tank,84.12,151,25,-,-,-
417,Payments,08. Lakes,Environmental Management,Lakes Development,P2832 ,Pending Bills,-,-,-,-,2,2
418,Payments,08. Lakes,Environmental Management,Lakes Development,P2093 ,Dasarahalli kere ,-,227,150,-,-,-
419,Payments,08. Lakes,Environmental Management,Lakes Development,P2093 ,Pending Bills,-,-,-,-,21,21
420,Payments,08. Lakes,Environmental Management,Lakes Development,P2105 ,Development of Hosakere / Halage Vaderahalli Tank,4.37,-,-,-,-,-
421,Payments,08. Lakes,Environmental Management,Lakes Development,P2582 ,Development of Yediyur lake and installation of 32 feet Vivekananda statue,85.71,287.6,75,-,-,-
422,Payments,08. Lakes,Environmental Management,Lakes Development,P2582 ,Pending Bills,-,-,-,-,198,198
423,Payments,08. Lakes,Environmental Management,Lakes Development,P3661 ,Improvement of Yediyur Lake,-,-,-,-,150,150
424,Payments,08. Lakes,Environmental Management,Lakes Development,P3662 ,Development of Balance works at kempambudhi Lake,-,-,-,-,"1,000.00","1,000.00"
425,Payments,08. Lakes,Environmental Management,Lakes Development,P3663 ,Development of Kalkere lake at ward no 26,-,-,-,-,500,500
426,Payments,08. Lakes,Environmental Management,Lakes Development,P3664 ,Improvements & Development of Lakes in KR Puram Assembly Constituency,-,-,-,-,"3,000.00","3,000.00"
427,Payments,08. Lakes,Environmental Management,Lakes Development,P2090 ,Dorekere,3.51,28,-,-,-,-
428,Payments,08. Lakes,Environmental Management,Lakes Development,P2096 ,Nayandahalli Lake,24.81,-,-,-,-,-
429,Payments,08. Lakes,Environmental Management,Lakes Development,P3081 ,Improvements to Dodda Bommasandra kere,4.64,513,550,-,-,-
430,Payments,08. Lakes,Environmental Management,Lakes Development,P3081 ,Pending Bills,-,-,-,-,7,7
431,Payments,08. Lakes,Environmental Management,Lakes Development,P2175,Improvements to New Lakes,439.06,967,650,-,-,-
432,Payments,08. Lakes,Environmental Management,Lakes Development,P2175,Pending Bills,-,-,-,-,449,449
433,Payments,08. Lakes,Environmental Management,Lakes Development,P3028 ,Maintenance of Lakes,475.39,"1,333.00",200,-,-,-
434,Payments,08. Lakes,Environmental Management,Lakes Development,P3028 ,Pending Bills,-,-,-,156,-,156
435,Payments,08. Lakes,Environmental Management,Lakes Development,P3028 ,Spillover Works,-,-,-,250,-,250
436,Payments,08. Lakes,Environmental Management,Lakes Development,P3028 ,Current Works (Escrow Account),-,-,-,"2,500.00",-,"2,500.00"
437,Payments,08. Lakes,Environmental Management,Lakes Development,P3029 ,Providing Security services to Lakes,0,300,350,600,-,600
438,Payments,08. Lakes,Environmental Management,Lakes Development,P0413 ,Sankey Tank (Bridge),-,1.5,-,-,-,-
439,Payments,08. Lakes,Environmental Management,Lakes Development,P2100 ,Uttarahalli Lake,10.67,-,-,-,-,-
440,Payments,08. Lakes,Environmental Management,Lakes Development,P2106 ,Development of Herohalli Tank,2.37,2.5,-,-,-,-
441,Payments,08. Lakes,Environmental Management,Lakes Development,P3462 ,Improvements of Mallathalli Lake in Ward no. 129,-,100,-,-,-,-
442,Payments,08. Lakes,GOK Grants Works,Lakes Development,P2741 ,Improvements of Lakes,"2,072.96","2,511.00","2,000.00",-,-,-
443,Payments,08. Lakes,GOK Grants Works,Lakes Development,P2741 ,Spillover Works,-,-,-,-,"3,500.00","3,500.00"
444,Payments,08. Lakes,GOK Grants Works,Lakes Development,P3106 ,Nagarothana Works,860.54,"5,000.00","5,000.00",-,-,-
445,Payments,08. Lakes,GOK Grants Works,Lakes Development,P3106 ,Pending Bills,-,-,-,-,300,300
446,Payments,08. Lakes,GOK Grants Works,Lakes Development,P3106 ,Spillover Works,-,-,-,-,"5,000.00","5,000.00"
447,Payments,08. Lakes,GOK Grants Works,Lakes Development,Total,Total of Lake Dept.,"4,090.65","11,421.60","9,000.00","3,506.00","14,127.00","17,633.00"
448,Payments,09. Health General ,Health & Sanitation,Public Health,P3568 ,Security Services to the PHC,-,-,-,300,-,300
449,Payments,09. Health General ,Health & Sanitation,Public Health,P0516 ,"Campaigns, Public awarenes, Rallies & IEC programmes",5.14,50,50,60,-,60
450,Payments,09. Health General ,Health & Sanitation,Public Health,P1557 ,Honorarium to Link Workers,149.26,800,500,600,-,600
451,Payments,09. Health General ,Health & Sanitation,Public Health,P3569 ,Honorarium to Grave Diggers,-,-,-,250,-,250
452,Payments,09. Health General ,Health & Sanitation,Animal Control & Management,P3229 ,O & M of Animal Incineerators,-,100,50,100,-,100
453,Payments,09. Health General ,Health & Sanitation,Animal Control & Management,P2166 ,Maintenance of Abattoir,32.71,100,50,-,-,-
454,Payments,09. Health General ,Health & Sanitation,Animal Control & Management,P2166 ,Pending Bills,-,-,-,100,-,100
455,Payments,09. Health General ,Health & Sanitation,Animal Control & Management,P2166 ,Current Works,-,-,-,100,-,100
456,Payments,09. Health General ,Health & Sanitation,Animal Control & Management,P3570 ,Maintanance of ABC Center at Ward no. 116 East & Bommanahalli Zone,-,-,-,50,-,50
457,Payments,09. Health General ,Health & Sanitation,Animal Control & Management,P3031 ,Compensation for Dog bites,-,5,3,5,-,5
458,Payments,09. Health General ,Health & Sanitation,Animal Control & Management,P1822 ,Providing Medicines for Animal Husbandary Hospitals,-,2,2,2,-,2
459,Payments,09. Health General ,Health & Sanitation,Animal Control & Management,P0273 ,Street Dog Management (ABC Programme),315.05,300,550,325,-,325
460,Payments,09. Health General ,Health & Sanitation,-,P0503 ,AIDS Programme Expenses,0.13,10,10,10,-,10
461,Payments,09. Health General ,Health & Sanitation,-,P2167 ,Awareness Programme among College Students against Tobacco,-,3,3,5,-,5
462,Payments,09. Health General ,Health & Sanitation,-,P3463 ,Awareness Programme on Tobacco Control,-,50,50,50,-,50
463,Payments,09. Health General ,Health & Sanitation,-,P3464 ,Providing Bike Ambulance & Mobile application,-,200,50,200,-,200
464,Payments,09. Health General ,Health & Sanitation,-,P2169 ,Disaster Management Unit,-,10,10,10,-,10
465,Payments,09. Health General ,Health & Sanitation,-,P0505 ,Pulse Polio Programme,43.52,200,100,100,-,100
466,Payments,09. Health General ,Health & Sanitation,-,P3223 ,Mosquito Control Programme -Medicines,-,300,150,250,-,250
467,Payments,09. Health General ,Health & Sanitation,-,P1534 ,Mosquito Control Programme (including purchase of MC Equipments & Larvicides),"1,163.23",-,-,-,-,-
468,Payments,09. Health General ,Health & Sanitation,-,P3425 ,MC Programme PILOT Project in Shankar Mutt Ward,-,30,30,30,-,30
469,Payments,09. Health General ,Health & Sanitation,-,P3426 ,E-Health Facilities in ward no 75,-,100,-,-,-,-
470,Payments,09. Health General ,Health & Sanitation,-,P3665 ,Mosquito programme in Manoraya-na palya,-,-,-,40,-,40
471,Payments,09. Health General ,Health & Sanitation,-,P3571 ,Providing Air Purifier to Control Pollution,-,-,-,500,-,500
472,Payments,09. Health General ,Health & Sanitation,-,P3224 ,Mosquito Control Programme -Manpower expenses,-,950,950,"1,000.00",-,"1,000.00"
473,Payments,09. Health General ,Infrastructure,Vehicles,P0993 ,Purchase of Hearse Vans,-,150,50,-,-,-
474,Payments,09. Health General ,Infrastructure,Vehicles,P3380 ,Purchase of Ambulance to BBMP Hospitals,-,100,50,-,-,-
475,Payments,09. Health General ,Infrastructure,Vehicles,P3381 ,Purchase of Freezers for preserving dead boadies,-,300,100,-,-,-
476,Payments,09. Health General ,Infrastructure,Vehicles,P1520 ,Cattle Catching Vehicles,-,50,50,-,50,50
477,Payments,09. Health General ,Infrastructure,Vehicles,P3225 ,Purchase of Hearse Vans for Animals,-,40,25,-,-,-
478,Payments,09. Health General ,Infrastructure,Vehicles,Total,Total of Health -General Deparment,"1,709.04","3,850.00","2,833.00","4,087.00",50,"4,137.00"
479,Payments,10. Health Medical,Administrative Expenses,General Expenses,P0051 ,Disposal of Hospital Waste,24.99,60,50,80,-,80
480,Payments,10. Health Medical,Administrative Expenses,General Expenses,P3117 ,Honorarium to consultants,19.64,600,250,600,-,600
481,Payments,10. Health Medical,Administrative Expenses,General Expenses,P0069 ,Laundry Services,34.37,60,25,62,-,62
482,Payments,10. Health Medical,Administrative Expenses,General Expenses,P0075 ,Management Information System,-,2,2,20,-,20
483,Payments,10. Health Medical,Administrative Expenses,General Expenses,P0098 ,"Security & Cleaning Charges to all General, MHs, Health Centres & Dispensaries",808.87,600,650,600,-,600
484,Payments,10. Health Medical,Administrative Expenses,General Expenses,P0107 ,Training to Staff - HRD,0.09,30,8,13,-,13
485,Payments,10. Health Medical,Administrative Expenses,General Expenses,P3427 ,Pink Baby-First New born Girl child by Normal Delivery at all 24 Maternity BBMP Hospital Rs.5.00 Lakhs Joint Account for Education,-,120,120,-,-,-
486,Payments,10. Health Medical,Health Care Expenses,Family Welfare Expenses,P0497 ,Payment of Incentive,4.44,10,5,10,-,10
487,Payments,10. Health Medical,Health Care Expenses,Family Welfare Expenses,P0498 ,Purchase of Equipments - FW,2.8,25,25,25,-,25
488,Payments,10. Health Medical,Health Care Expenses,Family Welfare Expenses,P0509 ,Purchase of Equipments to RH&MH (General Medical Services Included),-,350,150,200,-,200
489,Payments,10. Health Medical,Health Care Expenses,Maternity Homes & Child Welfare Expenses,P0507 ,M & R to Equipments,-,50,25,50,-,50
490,Payments,10. Health Medical,Health Care Expenses,Maternity Homes & Child Welfare Expenses,P3572 ,M & R to Primary health Center,-,-,-,100,-,100
491,Payments,10. Health Medical,Health Care Expenses,Maternity Homes & Child Welfare Expenses,P1824 ,Post natal care kits for deliveries in BBMP Hospitals (Thayi madilu kits),98.72,150,100,150,-,150
492,Payments,10. Health Medical,Health Care Expenses,Maternity Homes & Child Welfare Expenses,P0512 ,"Purchase of Maternity Equipments, Medicines & Linen",-,50,49,50,-,50
493,Payments,10. Health Medical,Health Care Expenses,Maternity Homes & Child Welfare Expenses,P0513 ,"Supply of Milk, Bread, Diet to Health Centres & Maternity Homes",2.84,15,15,15,-,15
494,Payments,10. Health Medical,Health Care Expenses,Health Programmes,P0062 ,"Cancer, Gyno, etc Medical Services",-,15,15,50,-,50
495,Payments,10. Health Medical,Health Care Expenses,Health Programmes,P3300 ,Providing Stents to Heart patients of Economically Weaker Section,-,400,400,400,-,400
496,Payments,10. Health Medical,Health Care Expenses,Health Programmes,P0506 ,Purchase of Anti-Rabies Vaccine & Serum,5.78,200,200,200,-,200
497,Payments,10. Health Medical,Health Care Expenses,Health Programmes,P3382 ,Providing Iron Content Biscuits to Pregnant Women,-,25,25,-,-,-
498,Payments,10. Health Medical,Health Care Expenses,Health Programmes,P3573 ,Opening of Geriatric Out Patient Day Care Center at Dasappa Hospital,-,-,-,50,-,50
499,Payments,10. Health Medical,Health Care Expenses,Health Programmes,P3574 ,Providing Iron & calcium tablets to pregnant women,-,-,-,25,-,25
500,Payments,10. Health Medical,Health Care Expenses,Health Programmes,P0093 ,Purchase of Drugs & Medicines - Hospitals,5.66,100,100,100,-,100
501,Payments,10. Health Medical,Infrastructure,Public Health,P2663 ,Establishment of Dialysis Units in 6 Refferal Hospitals,-,213.84,100,-,-,-
502,Payments,10. Health Medical,Infrastructure,Public Health,P3575 ,Establishment of Drug De-addiction Centre at Wilson Garden Maternity home building(first floor) with association of NIMHANS,-,-,-,200,-,200
503,Payments,10. Health Medical,Infrastructure,Public Health,P3576 ,Establishment of Dialysis Centre in remaining assembly constituencies,-,-,-,-,"2,000.00","2,000.00"
504,Payments,10. Health Medical,Infrastructure,Public Health,P3577 ,Maintainance of Dialysis Centres of established by BBMP,-,-,-,500,-,500
505,Payments,10. Health Medical,Infrastructure,Public Health,P3578 ,Providing Cancer Detecting Mobile Vans - 1 each for 4 BBMP Zones.,-,-,-,-,300,300
506,Payments,10. Health Medical,Infrastructure,Public Health,P3465 ,Establishment of Dialysis Centre in Rayapuram ward no. 137,-,200,-,-,-,-
507,Payments,10. Health Medical,Infrastructure,Public Health,P3466 ,Establishment of Dialysis Centre in Azadnagar ward no. 141,-,300,-,-,-,-
508,Payments,10. Health Medical,Infrastructure,Public Health,P3666 ,Upgradation of Dialysis centre in Gandhi nagar assembly constituency,-,-,-,-,500,500
509,Payments,10. Health Medical,Infrastructure,Public Health,P3667 ,Construction of Medical centre at Wakf property at KH Road,-,-,-,-,300,300
510,Payments,10. Health Medical,Infrastructure,Public Health,P2661 ,Modernisation of Laboratories,3.72,200,50,100,-,100
511,Payments,10. Health Medical,Infrastructure,Public Health,P3275 ,Opening SNCU - Sick new bom care Unit at H.Siddaiah Referal Hospital,-,110,50,-,-,-
512,Payments,10. Health Medical,Infrastructure,Public Health,P3227 ,Mammogram Equipments provided with Electrical installation at Refferral hospital,-,1,1,-,-,-
513,Payments,10. Health Medical,Infrastructure,Health Buildings,P2413 ,Construction of Hospital Building at Ward No. 63,580.49,553,550,-,-,-
514,Payments,10. Health Medical,Infrastructure,Health Buildings,P2413 ,Spillover Works,-,-,-,-,300,300
515,Payments,10. Health Medical,Infrastructure,Health Buildings,P3281 ,Construction of Hospital Building at Ward No. 63 at Shivajinagar Additional Works,-,-,-,-,-,-
516,Payments,10. Health Medical,Infrastructure,Health Buildings,P3281 ,Pending Bills,-,-,-,-,550,550
517,Payments,10. Health Medical,Infrastructure,Health Buildings,P2226 ,Construction of Referral Hospital at Guttahalli ,-,-,-,-,-,-
518,Payments,10. Health Medical,Infrastructure,Health Buildings,P2226 ,Spillover Works,-,-,-,-,100,100
519,Payments,10. Health Medical,Infrastructure,Health Buildings,P3012 ,Improvements of Tavarekere Maternity Home and providing surgical instruments in Ward No. 172,29.91,-,-,-,-,-
520,Payments,10. Health Medical,Infrastructure,Health Buildings,P2411 ,Construction of Hospital Building at Ward No. 137,38.32,129,-,-,-,-
521,Payments,10. Health Medical,Infrastructure,Health Buildings,P2411 ,Pending Bills,-,-,-,-,43,43
522,Payments,10. Health Medical,Infrastructure,Health Buildings,P0978 ,"Construction of Hospitals, Maternity Homes, Dispensary & Doctors’ Quarters / Clinical Laboratories",2.46,300,100,-,-,-
523,Payments,10. Health Medical,Infrastructure,Health Buildings,P3083 ,Construction of Referal Hospital in Ward 137,111.95,137,50,-,-,-
524,Payments,10. Health Medical,Infrastructure,Health Buildings,P3305 ,"Establishment of Dialysis Units at Sarvagnanagar, Pulakeshinagar, Jayanagara, Rajajinagar, Vijayanagar Assembly Constituencies",-,"1,500.00",175,-,-,-
525,Payments,10. Health Medical,Infrastructure,Health Buildings,P3305 ,Spillover Works,-,-,-,-,83,83
526,Payments,10. Health Medical,Infrastructure,Health Buildings,P3170 ,Improvements of Dialysis centre in ward no. 68,39.63,119.5,25,-,-,-
527,Payments,10. Health Medical,Infrastructure,Health Buildings,P2683 ,Construction of Super speciality Hospital at W-103,-,93,50,-,-,-
528,Payments,10. Health Medical,Infrastructure,Health Buildings,P3383 ,Construction of Primary Health Centre in ward no 75,-,100,-,-,-,-
529,Payments,10. Health Medical,Infrastructure,Health Buildings,P3366 ,Fra Construction of multi-Speciality Hospital in HBR Layout,-,"1,500.00",-,-,-,-
530,Payments,10. Health Medical,Infrastructure,Health Buildings,P3366 ,Spillover Works,-,-,-,-,500,500
531,Payments,10. Health Medical,Infrastructure,Health Buildings,P3467 ,Construction of Refferal Hospital in ward no. 165,-,200,-,-,-,-
532,Payments,10. Health Medical,Infrastructure,Health Buildings,P3468 ,Construction of BBMP Maternity Hospital in Ward No. 61,-,300,-,-,-,-
533,Payments,10. Health Medical,Infrastructure,Health Buildings,P3469 ,Construction of Broadway Multispeciality Hospital in Ward No. 63,-,300,-,-,-,-
534,Payments,10. Health Medical,Infrastructure,Health Buildings,P3470 ,Improvements of maternity home at Thimmaiah road in ward no. 91,-,150,-,-,-,-
535,Payments,10. Health Medical,Infrastructure,Health Buildings,P3471 ,Upgradation of Agrahara Dasara-halli Hospital in ward no. 105,-,100,-,-,-,-
536,Payments,10. Health Medical,Infrastructure,Health Buildings,P3472 ,Upgradation of Hospital in ward no. 157 Gali Anjaneya Ward,-,100,-,-,-,-
537,Payments,10. Health Medical,Infrastructure,Health Buildings,P3473 ,Construction of Health Centre at Hot mix plant in ward no. 148,-,50,-,-,-,-
538,Payments,10. Health Medical,Infrastructure,Health Buildings,P3474 ,Construction of Multispeciality Hospital at Vasanthapura in ward no. 197,-,300,-,-,-,-
539,Payments,10. Health Medical,Infrastructure,Health Buildings,P3579 ,Renovation and Repairs of BBMP Dharma Shala buidling at Kidwai Hospital,-,-,-,500,-,500
540,Payments,10. Health Medical,Infrastructure,Health Buildings,P3580 ,Construction of Dharma Shala buidling at SDS TRC & Rajiv Gandhi Institute of Chest diseases,-,-,-,-,"1,000.00","1,000.00"
541,Payments,10. Health Medical,Infrastructure,Health Buildings,P3625 ,Construction of Hospital at ward no 190,-,-,-,-,500,500
542,Payments,10. Health Medical,Infrastructure,Health Buildings,P0979 ,"M & R of Hospitals, Maternity Homes, Dispensary & Doctors Qtrs / Clinical Laboratories",22.13,361,150,-,-,-
543,Payments,10. Health Medical,Infrastructure,Health Buildings,P0979 ,Pending Bills,-,-,-,87,-,87
544,Payments,10. Health Medical,Infrastructure,Health Buildings,P0979 ,Current Works,-,-,-,200,-,200
545,Payments,10. Health Medical,GOI Grants Works,Health Programmes,P2958 ,National Urban Health Mission,-,500,-,-,-,-
546,Payments,10. Health Medical,GOI Grants Works,Health Programmes,Total,Total of Health Medical Dept.,"1,836.81","10,679.34","3,515.00","4,387.00","6,176.00","10,563.00"
547,Payments,11. Solid Waste Management,Administrative Expenses,General Expenses,P1788 ,Consultancy Charges DPR Preparation(Detail Project Report),22.78,80,20,80,-,80
548,Payments,11. Solid Waste Management,Administrative Expenses,General Expenses,P3228 ,Honorarium Payment towards Marshals,-,"1,000.00",500,"1,000.00",-,"1,000.00"
549,Payments,11. Solid Waste Management,Infrastructure,Scientific disposal of Solid Waste,P0935 ,Approach Roads,-,-,-,-,-,-
550,Payments,11. Solid Waste Management,Infrastructure,Scientific disposal of Solid Waste,P0935 ,Pending Bills,-,-,-,-,293,293
551,Payments,11. Solid Waste Management,Infrastructure,Scientific disposal of Solid Waste,P3384 ,Formation of Compound for RACE TRACK at Bellalli Quary,-,200,-,-,-,-
552,Payments,11. Solid Waste Management,Infrastructure,Scientific disposal of Solid Waste,P1862 ,Establishment of Primary collection centres,-,30,-,-,-,-
553,Payments,11. Solid Waste Management,Infrastructure,Scientific disposal of Solid Waste,P1862 ,Pending Bills,-,-,-,-,6,6
554,Payments,11. Solid Waste Management,Infrastructure,Scientific disposal of Solid Waste,P1789 ,Improvement to Existing Land Fills,10.4,-,-,-,-,-
555,Payments,11. Solid Waste Management,Infrastructure,Scientific disposal of Solid Waste,P1789 ,Pending Bills,-,-,-,103,-,103
556,Payments,11. Solid Waste Management,Infrastructure,Scientific disposal of Solid Waste,P1860 ,Providing Name boards to MSW sites,-,60,10,50,-,50
557,Payments,11. Solid Waste Management,Infrastructure,Scientific disposal of Solid Waste,P1715 ,Solid Waste Management (Transfer station) in Core & in New Areas,145.19,-,170,-,-,-
558,Payments,11. Solid Waste Management,Infrastructure,Scientific disposal of Solid Waste,P1715 ,Pending Bills,-,-,-,350,-,350
